step,phase,gpu_util,cpu_util,gpu_mem_gb,cpu_mem_gb,ram_gb,io_read_gb,io_write_gb
1,forward,4.0,0.0,1.244463104,4.739596288,17.687277568,0.008822784,0.0
1,backward,4.0,91.3,1.3451264,4.759457792,17.687277568,0.009211904,0.0
1,optimizer,10.0,91.4,1.380777984,4.765618176,17.687535616,0.009453568,0.0
2,forward,10.0,231.1,1.380777984,4.765659136,17.687535616,0.011337728,0.0
2,backward,10.0,146.2,1.43949824,4.765659136,17.687273472,0.011337728,0.0
2,optimizer,10.0,0.0,1.43949824,4.765659136,17.687273472,0.011337728,0.0
3,forward,10.0,249.0,1.43949824,4.765749248,17.687273472,0.013262848,0.0
3,backward,10.0,147.0,1.43949824,4.765749248,17.687011328,0.013262848,0.0
3,optimizer,10.0,0.0,1.43949824,4.765749248,17.687011328,0.013262848,0.0
4,forward,10.0,214.3,1.43949824,4.765073408,17.687011328,0.01517568,0.0
4,backward,10.0,98.0,1.43949824,4.765073408,17.687011328,0.01517568,0.0
4,optimizer,10.0,0.0,1.43949824,4.765073408,17.687011328,0.01517568,0.0
5,forward,10.0,298.6,1.43949824,4.765560832,17.687011328,0.017031168,0.0
5,backward,29.0,98.3,1.43949824,4.765560832,17.687011328,0.017031168,0.0
5,optimizer,29.0,0.0,1.43949824,4.765560832,17.687011328,0.017031168,0.0
6,forward,29.0,251.3,1.43949824,4.765745152,17.687011328,0.018907136,0.0
6,backward,29.0,98.5,1.43949824,4.765745152,17.686749184,0.018907136,0.0
6,optimizer,29.0,0.0,1.43949824,4.765745152,17.686749184,0.018907136,0.0
7,forward,29.0,221.2,1.43949824,4.76465152,17.686749184,0.020811776,0.0
7,backward,29.0,98.1,1.43949824,4.76465152,17.686749184,0.020811776,0.0
7,optimizer,29.0,0.0,1.43949824,4.76465152,17.686749184,0.020811776,0.0
8,forward,29.0,273.1,1.43949824,4.7661056,17.686749184,0.022704128,0.0
8,backward,29.0,98.1,1.43949824,4.7661056,17.686749184,0.022704128,0.0
8,optimizer,29.0,0.0,1.43949824,4.7661056,17.686749184,0.022704128,0.0
9,forward,29.0,257.5,1.43949824,4.764512256,17.686749184,0.02463744,0.0
9,backward,29.0,101.4,1.43949824,4.764512256,17.686749184,0.02463744,0.0
9,optimizer,29.0,0.0,1.43949824,4.764512256,17.686749184,0.02463744,0.0
10,forward,29.0,191.8,1.43949824,4.765356032,17.686749184,0.026451968,0.0
10,backward,74.0,99.4,1.43949824,4.765356032,17.686749184,0.026451968,0.0
10,optimizer,74.0,0.0,1.43949824,4.765356032,17.686749184,0.026451968,0.0
11,forward,74.0,273.8,1.43949824,4.765966336,17.686749184,0.028336128,0.0
11,backward,74.0,100.8,1.43949824,4.765966336,17.686749184,0.028336128,0.0
11,optimizer,74.0,0.0,1.43949824,4.765966336,17.686749184,0.028336128,0.0
12,forward,74.0,209.9,1.43949824,4.765577216,17.686749184,0.030236672,0.0
12,backward,74.0,101.3,1.43949824,4.765577216,17.686749184,0.030236672,0.0
12,optimizer,74.0,586.0,1.43949824,4.765577216,17.686749184,0.030236672,0.0
13,forward,74.0,289.6,1.43949824,4.765855744,17.686749184,0.0321536,0.0
13,backward,74.0,50.3,1.43949824,4.765855744,17.686749184,0.0321536,0.0
13,optimizer,74.0,586.7,1.43949824,4.765855744,17.686749184,0.0321536,0.0
14,forward,74.0,167.3,1.43949824,4.765790208,17.686749184,0.034070528,0.0
14,backward,74.0,100.3,1.43949824,4.765790208,17.686749184,0.034070528,0.0
14,optimizer,74.0,0.0,1.43949824,4.765790208,17.686749184,0.034070528,0.0
15,forward,74.0,276.9,1.43949824,4.765442048,17.686749184,0.035954688,0.0
15,backward,73.0,101.2,1.43949824,4.765442048,17.686740992,0.035954688,0.0
15,optimizer,73.0,0.0,1.43949824,4.765442048,17.686740992,0.035954688,0.0
16,forward,73.0,234.9,1.43949824,4.765949952,17.686740992,0.037871616,0.0
16,backward,73.0,99.8,1.43949824,4.765949952,17.686740992,0.037871616,0.0
16,optimizer,73.0,0.0,1.43949824,4.765949952,17.686740992,0.037871616,0.0
17,forward,73.0,276.9,1.43949824,4.765421568,17.686740992,0.039755776,0.0
17,backward,73.0,100.5,1.43949824,4.765421568,17.686740992,0.039755776,0.0
17,optimizer,73.0,0.0,1.43949824,4.765421568,17.686740992,0.039755776,0.0
18,forward,73.0,270.8,1.43949824,4.765089792,17.686224896,0.041607168,0.0
18,backward,73.0,100.7,1.43949824,4.765089792,17.686482944,0.041607168,0.0
18,optimizer,73.0,0.0,1.43949824,4.765089792,17.686482944,0.041607168,0.0
19,forward,73.0,244.6,1.43949824,4.764459008,17.686482944,0.04354048,0.0
19,backward,73.0,99.5,1.43949824,4.764459008,17.686740992,0.04354048,0.0
19,optimizer,73.0,0.0,1.43949824,4.764459008,17.686740992,0.043548672,0.0
20,forward,73.0,201.1,1.43949824,4.765581312,17.686740992,0.045449216,0.0
20,backward,72.0,99.0,1.43949824,4.765581312,17.686740992,0.045449216,0.0
20,optimizer,72.0,0.0,1.43949824,4.765581312,17.686740992,0.045449216,0.0
21,forward,72.0,266.1,1.43949824,4.764934144,17.686740992,0.047382528,0.0
21,backward,72.0,100.8,1.43949824,4.764934144,17.686740992,0.047382528,0.0
21,optimizer,72.0,0.0,1.43949824,4.764934144,17.686740992,0.047382528,0.0
22,forward,72.0,253.7,1.43949824,4.7650816,17.686740992,0.04931584,0.0
22,backward,72.0,99.8,1.43949824,4.7650816,17.686478848,0.04931584,0.0
22,optimizer,72.0,0.0,1.43949824,4.7650816,17.686478848,0.04931584,0.0
23,forward,72.0,230.3,1.43949824,4.764909568,17.685962752,0.051216384,0.0
23,backward,72.0,100.9,1.43949824,4.764909568,17.685962752,0.051216384,0.0
23,optimizer,72.0,0.0,1.43949824,4.764909568,17.685962752,0.051216384,0.0
24,forward,72.0,293.1,1.43949824,4.763906048,17.685962752,0.053149696,0.0
24,backward,72.0,101.9,1.43949824,4.763906048,17.685962752,0.053149696,0.0
24,optimizer,72.0,0.0,1.43949824,4.763906048,17.685962752,0.053149696,0.0
25,forward,72.0,257.2,1.43949824,4.764094464,17.685962752,0.05505024,0.0
25,backward,73.0,101.4,1.43949824,4.764094464,17.685962752,0.05505024,0.0
25,optimizer,73.0,0.0,1.43949824,4.764094464,17.685962752,0.05505024,0.0
26,forward,73.0,243.9,1.43949824,4.764561408,17.685962752,0.056983552,0.0
26,backward,73.0,99.6,1.43949824,4.764561408,17.685962752,0.056983552,0.0
26,optimizer,73.0,0.0,1.43949824,4.764561408,17.685962752,0.056983552,0.0
27,forward,73.0,247.5,1.43949824,4.765093888,17.685962752,0.058867712,0.0
27,backward,73.0,99.5,1.43949824,4.765093888,17.685962752,0.058867712,0.0
27,optimizer,73.0,586.5,1.43949824,4.765093888,17.685962752,0.058867712,0.0
28,forward,73.0,181.5,1.43949824,4.76575744,17.685962752,0.060710912,0.0
28,backward,73.0,99.5,1.43949824,4.76575744,17.685962752,0.060710912,0.0
28,optimizer,73.0,0.0,1.43949824,4.76575744,17.685962752,0.060710912,0.0
29,forward,73.0,276.0,1.43949824,4.765270016,17.685962752,0.062644224,0.0
29,backward,73.0,99.9,1.43949824,4.765270016,17.685962752,0.062644224,0.0
29,optimizer,73.0,0.0,1.43949824,4.765270016,17.685962752,0.062644224,0.0
30,forward,73.0,192.5,1.43949824,4.765749248,17.685962752,0.064495616,0.0
30,backward,73.0,98.9,1.43949824,4.765749248,17.685704704,0.064495616,0.0
30,optimizer,73.0,572.7,1.43949824,4.765749248,17.685704704,0.064495616,0.0
31,forward,74.0,215.3,1.43949824,4.764971008,17.685188608,0.066387968,0.0
31,backward,74.0,100.3,1.43949824,4.764971008,17.685188608,0.066387968,0.0
31,optimizer,74.0,583.6,1.43949824,4.764971008,17.685188608,0.066387968,0.0
32,forward,74.0,261.3,1.43949824,4.764880896,17.685188608,0.068263936,0.0
32,backward,74.0,100.6,1.43949824,4.764880896,17.685188608,0.068263936,0.0
32,optimizer,74.0,0.0,1.43949824,4.764880896,17.685188608,0.068263936,0.0
33,forward,74.0,185.9,1.43949824,4.765261824,17.685188608,0.070197248,0.0
33,backward,74.0,98.9,1.43949824,4.765261824,17.685188608,0.070197248,0.0
33,optimizer,74.0,0.0,1.43949824,4.765261824,17.685188608,0.070197248,0.0
34,forward,74.0,242.0,1.43949824,4.765831168,17.685188608,0.072081408,0.0
34,backward,74.0,99.2,1.43949824,4.765831168,17.685172224,0.072081408,0.0
34,optimizer,74.0,0.0,1.43949824,4.765831168,17.685172224,0.072081408,0.0
35,forward,74.0,256.9,1.43949824,4.764434432,17.685430272,0.073998336,0.0
35,backward,74.0,100.4,1.43949824,4.764434432,17.685430272,0.073998336,0.0
35,optimizer,74.0,0.0,1.43949824,4.764434432,17.685430272,0.073998336,0.0
36,forward,74.0,259.5,1.43949824,4.765188096,17.685430272,0.075931648,0.0
36,backward,74.0,98.2,1.43949824,4.765188096,17.685430272,0.075931648,0.0
36,optimizer,74.0,0.0,1.43949824,4.765188096,17.685430272,0.075931648,0.0
37,forward,74.0,258.0,1.43949824,4.765773824,17.685430272,0.077758464,0.0
37,backward,74.0,98.8,1.43949824,4.765773824,17.685430272,0.077758464,0.0
37,optimizer,74.0,0.0,1.43949824,4.765773824,17.685430272,0.077758464,0.0
38,forward,74.0,223.6,1.43949824,4.765622272,17.685430272,0.079675392,0.0
38,backward,74.0,100.5,1.43949824,4.765622272,17.685430272,0.079675392,0.0
38,optimizer,74.0,0.0,1.43949824,4.765622272,17.685430272,0.079675392,0.0
39,forward,74.0,248.1,1.43949824,4.76524544,17.685430272,0.08155136,0.0
39,backward,74.0,99.6,1.43949824,4.76524544,17.685172224,0.08155136,0.0
