step,forward_ms,backward_ms,optimizer_ms
1,572.801616,171.639758,122.3358
2,15.824688,37.068388,1.724583
3,15.779148,37.657466,1.686102
4,15.994881,38.837141,1.701432
5,16.311425,37.588724,1.689102
6,15.631286,37.449233,1.673872
7,15.94066,38.01645,1.684932
8,15.874219,37.25483,1.688382
9,15.684366,37.570074,1.673412
10,16.018571,37.392781,1.677943
11,15.642646,37.162469,1.680622
12,15.870089,38.065401,1.685492
13,15.92771,37.049057,1.685322
14,15.847628,38.288954,1.733723
15,15.933749,38.062291,1.699043
16,15.926729,37.159759,1.689522
17,15.814238,38.00294,1.706532
18,16.139682,37.709137,1.699212
19,15.864919,37.482233,1.697133
20,15.94945,38.043271,1.679772
21,16.049231,37.603325,1.821424
22,16.381495,37.694846,1.689022
23,15.916739,37.788658,1.845104
24,16.058001,37.095718,1.687262
25,15.862989,38.03216,1.688342
26,15.968521,37.444822,1.683422
27,15.755318,37.430932,1.692382
28,16.130192,37.659366,1.674342
29,15.626986,37.427422,1.674362
30,16.033691,37.647435,1.681022
31,16.328454,37.418503,1.686642
32,15.893029,38.157362,1.681892
33,16.065521,37.479073,1.679012
34,15.720707,37.493083,1.689322
35,15.95462,38.071601,1.775603
36,16.053491,37.643825,1.701392
37,15.780497,37.593984,1.679272
38,15.891519,37.791517,1.697162
39,16.017101,37.2387,1.673342
40,15.845779,38.296503,1.689112
41,16.189873,37.602315,1.720602
42,15.844799,37.643775,1.675062
43,15.9688,38.133172,1.690342
44,16.038821,37.29217,1.695833
45,15.876819,38.076021,1.680272
46,15.97718,37.706966,1.696992
47,15.757237,37.512414,1.697612
48,15.9867,38.090051,1.685122
49,16.017471,37.430333,1.684622
50,15.782848,37.657815,1.684903
51,16.111982,37.856318,1.717583
52,15.909669,37.615066,1.996376
53,15.999411,38.221573,1.721863
54,16.02013,37.497034,1.704233
55,15.823858,37.636705,1.685512
56,15.941049,37.920478,1.692933
57,16.02461,37.528634,1.681532
58,15.877799,37.797268,1.702072
59,15.992551,37.884198,1.685613
60,15.951509,37.342162,1.712593
61,16.044081,38.220943,1.706563
62,16.190184,37.468402,1.683402
63,15.764168,37.469523,1.716923
64,16.035981,37.764897,1.677792
65,15.928549,37.396563,1.692622
66,15.819498,38.261024,1.716753
67,16.122002,37.701116,1.704812
68,15.869259,37.654136,1.683252
69,16.055921,37.518514,1.684482
70,15.858299,37.701986,1.680242
71,16.084082,37.801977,1.698143
72,15.866538,37.320051,1.688162
73,15.786907,37.825108,1.690453
74,15.965141,37.914769,1.704633
75,16.048692,37.378191,1.693342
76,15.835288,38.295385,1.708832
77,16.147482,37.893779,1.703842
78,15.834908,37.480433,1.674912
79,15.866249,38.115072,1.849834
80,16.083622,37.570594,1.685322
81,15.710437,37.440272,1.710343
82,16.106023,37.686645,1.705093
83,15.744787,37.2175,1.685872
84,16.035531,38.240243,1.686093
85,16.036571,37.463203,1.679632
86,15.873208,38.259744,1.706212
87,16.121862,37.851267,1.758923
88,15.884029,37.363381,1.678632
89,16.345324,38.291855,1.715012
90,16.106892,37.615305,1.705753
91,16.004891,38.463966,1.685182
92,16.01251,38.078791,1.679752
93,16.024571,37.567254,1.683602
94,15.832248,37.843878,1.696842
95,16.01108,38.075911,1.717163
96,16.028191,37.317251,1.681802
97,16.029981,38.575477,1.682812
98,16.147522,37.836168,1.690483
99,15.722777,37.577804,1.667932
100,16.089501,37.707416,1.683212
101,15.747877,37.21302,1.701532
102,16.121792,37.937379,1.676562
103,15.9655,37.418252,1.688442
104,15.97563,38.68949,1.696792
105,17.209477,37.394401,1.756084
106,15.896499,38.283924,1.696382
107,16.208714,37.801797,1.722263
108,15.756267,37.169629,1.685672
109,15.95693,38.551087,1.699143
110,16.170683,37.507414,1.685892
111,15.98006,37.898489,1.687192
112,15.97509,38.117982,1.687812
113,16.051111,37.494083,1.676322
114,15.904549,38.449606,1.697503
115,16.091441,37.875579,1.691092
116,15.887889,37.551954,1.701572
117,15.777317,37.113409,1.700632
118,15.96565,38.155252,1.695873
119,16.088862,37.505234,1.717812
120,15.989301,38.608798,1.695673
121,16.229404,37.774717,1.690842
122,15.880829,37.326401,1.718673
123,16.074851,38.572537,1.704642
124,16.162103,37.754326,1.695562
125,15.959541,38.117701,1.706243
126,16.007041,38.01803,1.834564
127,16.094892,37.561055,1.688542
128,16.024821,38.348184,1.677033
129,16.058402,37.798977,1.718603
130,15.95674,37.535184,1.706292
131,15.93336,38.081521,1.697763
132,16.106012,37.549784,1.706963
133,15.93909,38.343614,1.694952
134,16.132672,37.787686,1.681042
135,15.899759,37.731117,1.666932
136,16.036571,38.170992,1.685683
137,16.085831,37.664736,1.686782
138,15.827378,37.760527,1.681432
139,16.084881,37.861968,1.693233
140,15.9405,37.434103,1.717372
141,15.902459,38.090121,1.684072
142,16.061882,37.828478,1.672112
143,15.94913,37.605205,1.668862
144,15.911419,38.478797,1.690462
145,16.272354,37.729606,1.715743
146,15.821528,37.547634,1.702782
147,16.051531,37.854508,1.701912
148,15.94846,37.511363,1.679002
149,15.908679,38.298244,1.679902
150,15.997661,38.00916,1.705533
151,16.104442,37.600945,1.669392
152,15.873799,38.219193,1.677802
153,16.210423,37.94028,1.689112
154,15.904129,37.722456,1.684093
155,16.167623,37.913959,1.691302
156,15.775747,37.146498,1.700882
157,16.161663,38.558597,1.694463
158,16.227444,37.680246,1.684783
159,15.803769,37.703716,1.683192
160,16.146692,38.058241,1.696593
161,15.96417,37.517724,1.689542
162,15.865839,37.912309,1.699252
163,16.091052,37.872418,1.687903
164,15.96334,37.507574,1.673522
165,15.873859,38.244804,1.687392
166,16.165843,37.906649,1.681402
167,15.857059,37.588344,1.684203
168,16.099812,38.02715,1.696612
169,16.04297,37.697676,1.690462
170,15.863739,38.064091,1.708373
171,16.103042,38.207173,1.690712
172,16.048981,37.598095,1.672192
173,15.891639,38.04633,1.673712
174,16.242184,37.828577,1.693922
175,15.805088,37.380272,1.712672
176,15.95429,38.606368,1.715783
177,16.249034,38.02176,1.687952
178,15.792058,37.084398,1.681382
179,16.062961,38.414515,1.684872
180,16.238984,37.798957,1.700092
181,15.695827,37.280291,1.684532
182,16.019731,38.401835,1.697012
183,16.220473,37.720327,1.694202
184,16.00826,38.664629,1.691403
185,16.109462,38.137612,1.700182
186,16.126952,37.769827,1.683742
187,15.92054,38.728909,1.682302
188,16.245964,37.801127,1.683753
189,15.782518,37.24582,1.697203
190,16.053861,38.504347,1.689862
191,16.78439,38.397666,1.712212
192,15.786528,37.421412,1.714873
193,16.158513,38.229973,1.690072
194,16.093702,37.816918,1.679922
195,15.805268,37.716586,1.688743
196,16.039111,37.767697,1.696553
197,15.99364,37.575105,1.714742
198,15.809328,37.730376,1.710343
199,16.041152,38.247303,1.701362
200,15.98692,37.481763,1.723873
201,15.885429,37.506843,1.837024
202,16.124342,38.586168,1.686302
203,16.750061,37.725086,1.692642
204,15.830398,37.330951,1.716472
205,15.98811,38.066841,1.718202
206,16.043651,37.563465,1.711482
207,15.830459,37.734856,1.689482
208,16.164062,38.222563,1.689063
209,16.0275,37.724987,1.699422
210,15.772028,37.677755,1.674922
211,16.170603,37.861979,1.679872
212,15.806257,37.288181,1.701993
213,16.292824,38.277644,1.689522
214,16.00051,37.413832,1.693302
215,15.771487,37.167109,1.684543
216,15.9446,37.859888,1.710422
217,15.939529,37.370122,1.673952
218,15.727846,37.531144,1.691832
219,16.046331,37.390952,1.688352
220,15.703797,37.456963,1.680052
221,15.867848,37.573855,1.691632
222,15.919339,37.135279,1.687782
223,15.788878,38.02694,1.708373
224,15.983261,37.599714,1.855734
225,15.851188,37.17637,1.672522
226,15.797247,37.667636,1.683032
227,15.876019,37.961299,1.707883
228,15.92791,37.21824,1.681302
229,15.97912,37.925129,1.682672
230,15.93081,37.26574,1.703233
231,15.702856,37.432293,1.690033
232,16.033241,37.578974,1.689612
233,15.694566,36.985007,1.683682
234,15.924449,37.843848,1.702342
235,15.92821,37.29221,1.705332
236,15.671866,37.366992,1.693413
237,15.907729,37.912169,1.687262
238,15.97987,37.264381,1.695952
239,15.862109,37.803587,1.682303
240,15.98448,37.430453,1.686002
241,15.838738,38.188372,1.696583
242,15.879569,37.826017,1.691833
243,16.001341,37.067988,1.686132
244,15.852078,38.117882,1.685942
245,15.95721,37.377452,1.695212
246,15.690386,37.075048,1.688222
247,15.875699,38.450536,1.710612
248,16.184343,37.484103,1.693393
249,15.672546,37.398332,1.681092
250,15.823768,37.765697,1.685312
251,15.912219,37.23625,1.696553
252,15.799907,37.885879,1.690943
253,16.076681,37.555314,1.687162
254,15.669946,37.401933,1.851324
255,15.732466,37.872878,1.688082
256,16.076332,37.397822,1.677502
257,15.748967,37.514214,1.692842
258,15.94654,37.413032,1.699673
259,15.731657,37.093838,1.681752
260,15.922079,37.864068,1.677863
261,15.93195,38.02829,1.675962
262,15.839178,38.130702,1.687602
263,16.01247,37.434012,1.693053
264,15.675897,37.290001,1.701512
265,15.94883,38.085831,1.690622
266,15.98269,37.329851,1.717623
267,15.710737,37.351411,1.676622
268,15.96709,37.632626,1.678792
269,16.043101,37.557894,1.697792
270,15.95158,37.746616,1.688952
271,15.92507,37.214279,1.685462
272,15.941299,38.278844,1.686532
273,16.096912,37.350611,1.700593
274,15.729997,37.573325,1.700782
275,16.041802,37.499523,1.697472
276,15.762347,37.471934,1.728923
277,15.915519,37.763417,1.686302
278,16.00533,37.365562,1.681062
279,15.685167,37.476693,1.681432
280,15.912589,37.660746,1.694772
281,15.906089,37.2695,1.699033
282,15.687977,37.395372,1.682922
283,15.953429,37.659276,1.704093
284,15.906339,37.25214,1.683192
285,15.820748,37.924759,1.686652
286,16.053931,37.421453,1.708422
287,15.695486,36.943576,1.694783
288,15.899559,38.464036,1.683992
289,16.129412,37.380712,1.681912
290,15.716097,37.062428,1.701542
291,15.919059,38.297664,1.694822
292,16.028551,37.421712,1.677402
293,15.683446,36.918256,1.712423
294,15.92715,38.221262,1.688032
295,15.96901,37.607774,1.707672
