step,forward_ms,backward_ms,optimizer_ms
1,589.222578,205.814226,121.987851
2,29.806934,76.657868,1.807544
3,29.52168,75.293019,1.803684
4,29.569641,74.412048,1.799864
5,29.791823,75.145637,1.759314
6,29.762103,77.56655,1.762854
7,29.373438,74.769432,1.769624
8,29.52278,75.193948,1.803694
9,29.673332,75.894457,1.764734
10,29.543689,75.449401,1.786994
11,29.54464,76.269813,1.788574
12,29.526199,75.494232,1.795624
13,29.53992,75.901818,1.762394
14,29.54882,75.639264,1.764754
15,29.741932,76.499556,1.813355
16,29.940536,76.194122,1.770074
17,29.887105,75.201468,1.982507
18,29.703102,75.476232,1.787314
19,29.741653,75.410611,1.773854
20,29.824244,75.135988,1.788934
21,30.798067,76.214742,1.787704
22,29.55088,76.11169,1.763154
23,29.54169,75.914897,1.830595
24,29.5712,76.313733,1.762964
25,29.734092,74.835064,1.769084
26,29.580491,74.761222,1.776984
27,29.819964,74.810022,1.789964
28,29.49071,76.005869,1.806855
29,29.771173,75.623284,1.771864
30,29.975216,78.126858,1.792264
31,29.827554,75.493562,1.780814
32,29.58648,75.206598,1.784345
33,29.656172,76.663767,1.780034
34,29.864954,76.552976,1.807085
35,29.812464,75.274729,1.805464
36,29.616791,75.3895,1.781844
37,29.52156,75.250309,1.803644
38,29.488839,74.686731,1.811255
39,29.703942,75.818096,1.817574
40,29.499709,75.892238,1.784414
41,30.22952,76.183592,1.790254
42,29.822093,75.546023,1.799784
43,29.909255,76.206741,1.767174
44,29.53888,75.182148,1.789654
45,29.498929,75.029286,1.836755
46,29.669322,76.341443,1.804615
47,29.53158,76.619467,1.791044
48,29.5407,75.410301,1.811295
49,29.883474,75.637674,1.799245
50,29.887474,75.520503,1.769364
51,29.625321,75.385471,1.776914
52,29.915445,75.834147,1.780214
53,29.566991,76.478165,1.779294
54,29.821944,76.403675,1.816275
55,29.960026,76.08381,1.801545
56,29.549621,75.223628,1.801405
57,29.52198,75.308439,1.829925
58,29.704102,75.854157,1.912246
59,29.907235,76.515746,1.784784
60,29.942075,75.946888,1.774194
61,29.559231,76.183871,1.797685
62,29.56457,75.942238,1.788944
63,29.582281,75.914098,1.788284
64,29.590611,75.005915,1.771034
65,29.576921,75.474401,1.782464
66,29.609581,76.07488,1.963097
67,30.193589,76.467775,1.810805
68,29.647671,75.769936,1.810515
69,29.611961,75.35983,1.803134
