step,gpu_util,cpu_util,gpu_mem_gb,cpu_mem_gb,ram_gb,io_read_gb,io_write_gb
1,10.0,0.0,2.485977088,4.763889664,21.033299968,0.015130624,0.0
2,36.0,0.0,2.523725824,4.7642624,21.03304192,0.022827008,0.0
3,53.0,0.0,2.523725824,4.756688896,21.027364864,0.030326784,0.0
4,69.0,0.0,2.523725824,4.757041152,21.023752192,0.037851136,0.0
5,69.0,0.0,2.523725824,4.764721152,21.029429248,0.045391872,0.0
6,84.0,0.0,2.523725824,4.763283456,21.03046144,0.052928512,0.0
7,57.0,0.0,2.523725824,4.763590656,21.030719488,0.060297216,0.0
8,78.0,0.0,2.523725824,4.740890624,21.007228928,0.067801088,0.0
9,78.0,0.0,2.523725824,4.755922944,21.019983872,0.07522304,0.0
10,78.0,0.0,2.523725824,4.764123136,21.028757504,0.082792448,0.0
11,77.0,0.0,2.523725824,4.763942912,21.0292736,0.090370048,0.0
12,77.0,0.0,2.523725824,4.764852224,21.029761024,0.097742848,0.0
13,81.0,0.0,2.523725824,4.76422144,21.029761024,0.105099264,0.0
14,65.0,0.0,2.523725824,4.764397568,21.030535168,0.112570368,0.0
15,65.0,0.0,2.523725824,4.763856896,21.031051264,0.120131584,0.0
16,81.0,0.0,2.523725824,4.764278784,21.03156736,0.12756992,0.0
17,64.0,0.0,2.523725824,4.7635456,21.032083456,0.135200768,0.0
18,64.0,0.0,2.523725824,4.762632192,21.032083456,0.14286848,0.0
19,80.0,0.0,2.523725824,4.76268544,21.032083456,0.15056896,0.0
20,77.0,0.0,2.523725824,4.747759616,21.017632768,0.158175232,0.0
21,77.0,0.0,2.523725824,4.762759168,21.027807232,0.165834752,0.0
22,77.0,0.0,2.523725824,4.762365952,21.029097472,0.17344512,0.0
23,81.0,0.0,2.523725824,4.762681344,21.02935552,0.181006336,0.0
24,66.0,0.0,2.523725824,4.762619904,21.02935552,0.18855936,0.0
25,66.0,0.0,2.523725824,4.762775552,21.030387712,0.196149248,0.0
26,76.0,0.0,2.523725824,4.762923008,21.030387712,0.203681792,0.0
27,67.0,0.0,2.523725824,4.763287552,21.006618624,0.211009536,0.0
28,77.0,0.0,2.523725824,4.762947584,21.006876672,0.21860352,0.0
29,77.0,0.0,2.523725824,4.763103232,21.007650816,0.226066432,0.0
30,76.0,0.0,2.523725824,4.762882048,21.007650816,0.233603072,0.0
31,45.0,0.0,2.523725824,4.74763264,20.993716224,0.241025024,0.0
32,72.0,0.0,2.523725824,4.7629312,21.004414976,0.24850432,0.0
33,72.0,0.0,2.523725824,4.763144192,21.006221312,0.256049152,0.0
34,78.0,0.0,2.523725824,4.762042368,21.007253504,0.26370048,0.0
35,74.0,0.0,2.523725824,4.762402816,21.007253504,0.271351808,0.0
36,70.0,0.0,2.523725824,4.762714112,21.007511552,0.279035904,0.0
37,70.0,0.0,2.523725824,4.76213248,21.0077696,0.286646272,0.0
38,81.0,0.0,2.523725824,4.746518528,20.961837056,0.294199296,0.0
39,72.0,0.0,2.523725824,4.762025984,20.97238016,0.301785088,0.0
40,72.0,0.0,2.523725824,4.747698176,20.958961664,0.309190656,0.0
41,83.0,0.0,2.523725824,4.76246016,20.972240896,0.316817408,0.0
