step,phase,gpu_util,cpu_util,gpu_mem_gb,cpu_mem_gb,ram_gb,io_read_gb,io_write_gb
1,forward,5.0,0.0,2.2888448,4.737835008,21.032841216,0.01447936,0.0
1,backward,10.0,92.3,2.450325504,4.757827584,21.03332864,0.01490944,0.0
1,optimizer,10.0,90.1,2.485977088,4.763889664,21.033299968,0.015130624,0.0
2,forward,36.0,207.2,2.485977088,4.7642624,21.03304192,0.022749184,0.0
2,backward,36.0,104.4,2.523725824,4.7642624,21.03304192,0.022749184,0.0
2,optimizer,36.0,0.0,2.523725824,4.7642624,21.03304192,0.022749184,0.0
3,forward,53.0,201.0,2.523725824,4.756688896,21.027364864,0.030326784,0.0
3,backward,53.0,106.3,2.523725824,4.756688896,21.027364864,0.030326784,0.0
3,optimizer,53.0,0.0,2.523725824,4.756688896,21.027364864,0.030326784,0.0
4,forward,53.0,177.5,2.523725824,4.757041152,21.023494144,0.037851136,0.0
4,backward,69.0,107.6,2.523725824,4.757041152,21.023494144,0.037851136,0.0
4,optimizer,69.0,0.0,2.523725824,4.757041152,21.023752192,0.037851136,0.0
5,forward,69.0,184.3,2.523725824,4.764721152,21.029429248,0.045391872,0.0
5,backward,69.0,93.2,2.523725824,4.764721152,21.029429248,0.045391872,0.0
5,optimizer,69.0,0.0,2.523725824,4.764721152,21.029429248,0.045391872,0.0
6,forward,84.0,215.9,2.523725824,4.763283456,21.03046144,0.052928512,0.0
6,backward,84.0,103.2,2.523725824,4.763283456,21.03046144,0.052928512,0.0
6,optimizer,84.0,0.0,2.523725824,4.763283456,21.03046144,0.052928512,0.0
7,forward,57.0,199.5,2.523725824,4.763590656,21.030719488,0.060297216,0.0
7,backward,57.0,107.1,2.523725824,4.763590656,21.030719488,0.060297216,0.0
7,optimizer,57.0,0.0,2.523725824,4.763590656,21.030719488,0.060297216,0.0
8,forward,57.0,178.0,2.523725824,4.763713536,21.030453248,0.067801088,0.0
8,backward,57.0,106.4,2.523725824,4.763713536,21.030453248,0.067801088,0.0
8,optimizer,78.0,0.0,2.523725824,4.763713536,21.030453248,0.067801088,0.0
9,forward,78.0,159.9,2.523725824,4.755922944,21.019983872,0.07522304,0.0
9,backward,78.0,92.3,2.523725824,4.755922944,21.019983872,0.07522304,0.0
9,optimizer,78.0,0.0,2.523725824,4.755922944,21.019983872,0.07522304,0.0
10,forward,78.0,187.5,2.523725824,4.764123136,21.028757504,0.082792448,0.0
10,backward,78.0,106.1,2.523725824,4.764123136,21.028757504,0.082792448,0.0
10,optimizer,78.0,0.0,2.523725824,4.764123136,21.028757504,0.082792448,0.0
11,forward,78.0,176.7,2.523725824,4.763942912,21.0292736,0.090370048,0.0
11,backward,77.0,105.0,2.523725824,4.763942912,21.0292736,0.090370048,0.0
11,optimizer,77.0,0.0,2.523725824,4.763942912,21.0292736,0.090370048,0.0
12,forward,77.0,178.7,2.523725824,4.764852224,21.029761024,0.097742848,0.0
12,backward,77.0,92.8,2.523725824,4.764852224,21.029761024,0.097742848,0.0
12,optimizer,77.0,514.8,2.523725824,4.764852224,21.029761024,0.097742848,0.0
13,forward,81.0,199.3,2.523725824,4.76422144,21.029761024,0.105099264,0.0
13,backward,81.0,92.3,2.523725824,4.76422144,21.029761024,0.105099264,0.0
13,optimizer,81.0,0.0,2.523725824,4.76422144,21.029761024,0.105099264,0.0
14,forward,81.0,205.1,2.523725824,4.764397568,21.030535168,0.112570368,0.0
14,backward,65.0,105.8,2.523725824,4.764397568,21.030535168,0.112570368,0.0
14,optimizer,65.0,0.0,2.523725824,4.764397568,21.030535168,0.112570368,0.0
15,forward,65.0,188.0,2.523725824,4.763856896,21.031051264,0.120131584,0.0
15,backward,65.0,104.7,2.523725824,4.763856896,21.031051264,0.120131584,0.0
15,optimizer,65.0,0.0,2.523725824,4.763856896,21.031051264,0.120131584,0.0
16,forward,81.0,188.0,2.523725824,4.764278784,21.03156736,0.12756992,0.0
16,backward,81.0,91.9,2.523725824,4.764278784,21.03156736,0.12756992,0.0
16,optimizer,81.0,524.6,2.523725824,4.764278784,21.03156736,0.12756992,0.0
17,forward,81.0,188.3,2.523725824,4.7635456,21.032083456,0.135200768,0.0
17,backward,64.0,93.1,2.523725824,4.7635456,21.032083456,0.135200768,0.0
17,optimizer,64.0,0.0,2.523725824,4.7635456,21.032083456,0.135200768,0.0
18,forward,64.0,216.2,2.523725824,4.762632192,21.032083456,0.14286848,0.0
18,backward,64.0,92.8,2.523725824,4.762632192,21.032083456,0.14286848,0.0
18,optimizer,64.0,0.0,2.523725824,4.762632192,21.032083456,0.14286848,0.0
19,forward,80.0,192.3,2.523725824,4.76268544,21.032083456,0.15056896,0.0
19,backward,80.0,106.2,2.523725824,4.76268544,21.032083456,0.15056896,0.0
19,optimizer,80.0,0.0,2.523725824,4.76268544,21.032083456,0.15056896,0.0
20,forward,80.0,179.1,2.523725824,4.762824704,21.032083456,0.158175232,0.0
20,backward,77.0,93.2,2.523725824,4.762824704,21.032083456,0.158175232,0.0
20,optimizer,77.0,515.9,2.523725824,4.762824704,21.032083456,0.158175232,0.0
21,forward,77.0,137.3,2.523725824,4.762759168,21.027549184,0.165834752,0.0
21,backward,77.0,105.0,2.523725824,4.762759168,21.027807232,0.165834752,0.0
21,optimizer,77.0,0.0,2.523725824,4.762759168,21.027807232,0.165834752,0.0
22,forward,77.0,203.3,2.523725824,4.762365952,21.029097472,0.17344512,0.0
22,backward,77.0,92.0,2.523725824,4.762365952,21.029097472,0.17344512,0.0
22,optimizer,77.0,0.0,2.523725824,4.762365952,21.029097472,0.17344512,0.0
23,forward,81.0,194.7,2.523725824,4.762681344,21.02935552,0.181006336,0.0
23,backward,81.0,105.5,2.523725824,4.762681344,21.02935552,0.181006336,0.0
23,optimizer,81.0,0.0,2.523725824,4.762681344,21.02935552,0.181006336,0.0
24,forward,81.0,191.2,2.523725824,4.762619904,21.02935552,0.18855936,0.0
24,backward,66.0,104.9,2.523725824,4.762619904,21.02935552,0.18855936,0.0
24,optimizer,66.0,0.0,2.523725824,4.762619904,21.02935552,0.18855936,0.0
25,forward,66.0,204.9,2.523725824,4.762775552,21.030387712,0.196149248,0.0
25,backward,66.0,107.0,2.523725824,4.762775552,21.030387712,0.196149248,0.0
25,optimizer,66.0,0.0,2.523725824,4.762775552,21.030387712,0.196149248,0.0
26,forward,76.0,189.9,2.523725824,4.762923008,21.030387712,0.203681792,0.0
26,backward,76.0,107.1,2.523725824,4.762923008,21.030387712,0.203681792,0.0
26,optimizer,76.0,0.0,2.523725824,4.762923008,21.030387712,0.203681792,0.0
27,forward,76.0,202.3,2.523725824,4.763287552,21.03035904,0.211009536,0.0
27,backward,67.0,93.5,2.523725824,4.763287552,21.006618624,0.211009536,0.0
27,optimizer,67.0,0.0,2.523725824,4.763287552,21.006618624,0.211009536,0.0
28,forward,67.0,185.6,2.523725824,4.762947584,21.006618624,0.21860352,0.0
28,backward,77.0,118.5,2.523725824,4.762947584,21.006876672,0.21860352,0.0
28,optimizer,77.0,0.0,2.523725824,4.762947584,21.006876672,0.21860352,0.0
29,forward,77.0,201.9,2.523725824,4.763103232,21.007650816,0.226066432,0.0
29,backward,77.0,92.7,2.523725824,4.763103232,21.007650816,0.226066432,0.0
29,optimizer,77.0,507.9,2.523725824,4.763103232,21.007650816,0.226066432,0.0
30,forward,76.0,232.5,2.523725824,4.762882048,21.007650816,0.233603072,0.0
30,backward,76.0,102.5,2.523725824,4.762882048,21.007650816,0.233603072,0.0
