step,gpu_util,cpu_util,gpu_mem_gb,cpu_mem_gb,ram_gb,io_read_gb,io_write_gb
1,35.0,0.0,2.485977088,4.651671552,22.429638656,0.015212544,0.0
2,3.0,0.0,2.523725824,4.656050176,22.4340992,0.022970368,0.0
3,3.0,0.0,2.523725824,4.650172416,22.427561984,0.03063808,0.0
4,79.0,0.0,2.523725824,4.654501888,22.430134272,0.038305792,0.0
5,78.0,0.0,2.523725824,4.662685696,22.436880384,0.046006272,0.0
6,78.0,0.0,2.523725824,4.66343936,22.439194624,0.053673984,0.0
7,72.0,0.0,2.523725824,4.66814976,22.44302848,0.061341696,0.0
8,83.0,0.0,2.523725824,4.668547072,22.443442176,0.069042176,0.0
9,83.0,0.0,2.523725824,4.653686784,22.430121984,0.076742656,0.0
10,73.0,0.0,2.523725824,4.668698624,22.441824256,0.084410368,0.0
11,83.0,0.0,2.523725824,4.67009536,22.445031424,0.09207808,0.0
12,83.0,0.0,2.523725824,4.672700416,22.456242176,0.09977856,0.0
13,76.0,0.0,2.523725824,4.673437696,22.457020416,0.107446272,0.0
14,79.0,0.0,2.523725824,4.673052672,22.457716736,0.115146752,0.0
15,79.0,0.0,2.523725824,4.67836928,22.462541824,0.122814464,0.0
16,72.0,0.0,2.523725824,4.664569856,22.448705536,0.130482176,0.0
17,84.0,0.0,2.523725824,4.679852032,22.461210624,0.138182656,0.0
18,84.0,0.0,2.523725824,4.680892416,22.465298432,0.145850368,0.0
19,69.0,0.0,2.523725824,4.680966144,22.466433024,0.153481216,0.0
20,84.0,0.0,2.523725824,4.685570048,22.469967872,0.160968704,0.0
21,84.0,0.0,2.523725824,4.671254528,22.45650432,0.168554496,0.0
22,72.0,0.0,2.523725824,4.686286848,22.46875136,0.176119808,0.0
23,84.0,0.0,2.523725824,4.68692992,22.469312512,0.183627776,0.0
24,84.0,0.0,2.523725824,4.687781888,22.470320128,0.191225856,0.0
25,75.0,0.0,2.523725824,4.690624512,22.474252288,0.198787072,0.0
26,81.0,0.0,2.523725824,4.675457024,22.46074368,0.206352384,0.0
27,81.0,0.0,2.523725824,4.6908416,22.472192,0.213901312,0.0
28,74.0,0.0,2.523725824,4.692803584,22.473515008,0.22142976,0.0
29,81.0,0.0,2.523725824,4.694536192,22.475481088,0.228999168,0.0
30,81.0,0.0,2.523725824,4.69413888,22.47641088,0.236609536,0.0
31,74.0,0.0,2.523725824,4.6959616,22.477979648,0.24397824,0.0
32,81.0,0.0,2.523725824,4.697485312,22.479331328,0.251572224,0.0
33,81.0,0.0,2.523725824,4.698112,22.479925248,0.25911296,0.0
34,72.0,0.0,2.523725824,4.700942336,22.483685376,0.266698752,0.0
35,83.0,0.0,2.523725824,4.70136832,22.484455424,0.27420672,0.0
36,83.0,0.0,2.523725824,4.70898688,22.4928768,0.2817024,0.0
37,68.0,0.0,2.523725824,4.715106304,22.4985088,0.289275904,0.0
38,85.0,0.0,2.523725824,4.719464448,22.50211328,0.296845312,0.0
39,85.0,0.0,2.523725824,4.708827136,22.494285824,0.304402432,0.0
40,69.0,0.0,2.523725824,4.723728384,22.504210432,0.311988224,0.0
41,88.0,0.0,2.523725824,4.729438208,22.509056,0.319553536,0.0
42,88.0,0.0,2.523725824,4.731408384,22.511874048,0.32710656,0.0
43,69.0,0.0,2.523725824,4.739526656,22.52029952,0.334630912,0.0
44,80.0,0.0,2.523725824,4.726800384,22.50995712,0.342294528,0.0
45,70.0,3564.0,2.523725824,4.741824512,22.521311232,0.349995008,0.0
46,70.0,0.0,2.523725824,4.74263552,22.524219392,0.357646336,0.0
47,82.0,0.0,2.523725824,4.74609664,22.527930368,0.365289472,0.0
48,69.0,0.0,2.523725824,4.746371072,22.529511424,0.372862976,0.0
49,69.0,0.0,2.523725824,4.748935168,22.531653632,0.380383232,0.0
50,85.0,0.0,2.523725824,4.749627392,22.533083136,0.387858432,0.0
51,63.0,0.0,2.523725824,4.749840384,22.534135808,0.395444224,0.0
52,63.0,0.0,2.523725824,4.75111424,22.534393856,0.403079168,0.0
53,80.0,0.0,2.523725824,4.750934016,22.53459456,0.410591232,0.0
54,76.0,0.0,2.523725824,4.75215872,22.534705152,0.418111488,0.0
55,76.0,0.0,2.523725824,4.737077248,22.512214016,0.425660416,0.0
56,75.0,0.0,2.523725824,4.752596992,22.52376064,0.43321344,0.0
57,81.0,0.0,2.523725824,4.754620416,22.525947904,0.440782848,0.0
58,81.0,0.0,2.523725824,4.75492352,22.526312448,0.44832768,0.0
59,77.0,0.0,2.523725824,4.755378176,22.526918656,0.45586432,0.0
60,78.0,0.0,2.523725824,4.755275776,22.527565824,0.463450112,0.0
61,78.0,0.0,2.523725824,4.75531264,22.52814336,0.470970368,0.0
62,70.0,0.0,2.523725824,4.755816448,22.528905216,0.478552064,0.0
63,83.0,0.0,2.523725824,4.755673088,22.529777664,0.486150144,0.0
64,83.0,0.0,2.523725824,4.75508736,22.529826816,0.49369088,0.0
65,68.0,0.0,2.523725824,4.754243584,22.52980224,0.501321728,0.0
66,79.0,0.0,2.523725824,4.755931136,22.530056192,0.508788736,0.0
67,67.0,0.0,2.523725824,4.74052608,22.515122176,0.516337664,0.0
68,67.0,0.0,2.523725824,4.755341312,22.527111168,0.523907072,0.0
69,89.0,0.0,2.523725824,4.755791872,22.528135168,0.531460096,0.0
70,68.0,0.0,2.523725824,4.755869696,22.529499136,0.539082752,0.0
71,68.0,0.0,2.523725824,4.755841024,22.529523712,0.546684928,0.0
72,83.0,0.0,2.523725824,4.75604992,22.529531904,0.55416832,0.0
73,69.0,0.0,2.523725824,4.75557888,22.529744896,0.561782784,0.0
74,69.0,0.0,2.523725824,4.754685952,22.529593344,0.569311232,0.0
75,81.0,0.0,2.523725824,4.755812352,22.529814528,0.57694208,0.0
76,75.0,0.0,2.523725824,4.756926464,22.530338816,0.584466432,0.0
77,75.0,0.0,2.523725824,4.757110784,22.530363392,0.591867904,0.0
78,78.0,0.0,2.523725824,4.755800064,22.531526656,0.59928576,0.0
79,78.0,0.0,2.523725824,4.755771392,22.531608576,0.60696576,0.0
80,78.0,0.0,2.523725824,4.756279296,22.531592192,0.614518784,0.0
81,76.0,0.0,2.523725824,4.756836352,22.531735552,0.622067712,0.0
82,80.0,0.0,2.523725824,4.75717632,22.531760128,0.629694464,0.0
83,80.0,0.0,2.523725824,4.755992576,22.531801088,0.637325312,0.0
84,73.0,0.0,2.523725824,4.756762624,22.531825664,0.64485376,0.0
85,84.0,0.0,2.523725824,4.757045248,22.532304896,0.652423168,0.0
86,84.0,0.0,2.523725824,4.757798912,22.532534272,0.659951616,0.0
87,70.0,0.0,2.523725824,4.757663744,22.53254656,0.667561984,0.0
88,78.0,0.0,2.523725824,4.757078016,22.532796416,0.675033088,0.0
89,69.0,0.0,2.523725824,4.7578112,22.53283328,0.682565632,0.0
90,69.0,0.0,2.523725824,4.74261504,22.516342784,0.690061312,0.0
91,83.0,0.0,2.523725824,4.757639168,22.528974848,0.69763072,0.0
92,70.0,0.0,2.523725824,4.757815296,22.531248128,0.70524928,0.0
93,70.0,0.0,2.523725824,4.742967296,22.517338112,0.712822784,0.0
94,83.0,0.0,2.523725824,4.757987328,22.529585152,0.720175104,0.0
95,74.0,0.0,2.523725824,4.758278144,22.530899968,0.727666688,0.0
96,74.0,0.0,2.523725824,4.757704704,22.531395584,0.735219712,0.0
97,83.0,0.0,2.523725824,4.759105536,22.531842048,0.742801408,0.0
98,64.0,0.0,2.523725824,4.758536192,22.532411392,0.750338048,0.0
99,64.0,0.0,2.523725824,4.758331392,22.533533696,0.757972992,0.0
100,78.0,0.0,2.523725824,4.743704576,22.519115776,0.765526016,0.0
101,78.0,0.0,2.523725824,4.758974464,22.530072576,0.773132288,0.0
102,78.0,0.0,2.523725824,4.742627328,22.516621312,0.78071808,0.0
103,77.0,0.0,2.523725824,4.75766784,22.530408448,0.788291584,0.0
104,77.0,0.0,2.523725824,4.759027712,22.532268032,0.795844608,0.0
105,77.0,0.0,2.523725824,4.758761472,22.533050368,0.803352576,0.0
106,76.0,0.0,2.523725824,4.759289856,22.533107712,0.810860544,0.0
107,81.0,0.0,2.523725824,4.758695936,22.53391872,0.818405376,0.0
108,81.0,0.0,2.523725824,4.760354816,22.53400064,0.825921536,0.0
109,67.0,0.0,2.523725824,4.744855552,22.517772288,0.833552384,0.0
110,82.0,0.0,2.523725824,4.760346624,22.530633728,0.841142272,0.0
111,82.0,0.0,2.523725824,4.74462208,22.51737088,0.848617472,0.0
112,72.0,0.0,2.523725824,4.759642112,22.53090816,0.856211456,0.0
113,88.0,0.0,2.523725824,4.758790144,22.531715072,0.86380544,0.0
114,88.0,0.0,2.523725824,4.760150016,22.532251648,0.871297024,0.0
115,67.0,0.0,2.523725824,4.759072768,22.5329152,0.87875584,0.0
116,83.0,0.0,2.523725824,4.760133632,22.533738496,0.88645632,0.0
117,63.0,0.0,2.523725824,4.760875008,22.533779456,0.894124032,0.0
118,63.0,0.0,2.523725824,4.761735168,22.535266304,0.901791744,0.0
119,85.0,0.0,2.523725824,4.761645056,22.535688192,0.909492224,0.0
120,72.0,0.0,2.523725824,4.747010048,22.521245696,0.917168128,0.0
121,72.0,0.0,2.523725824,4.762284032,22.532460544,0.924872704,0.0
122,84.0,0.0,2.523725824,4.762198016,22.533013504,0.932540416,0.0
123,73.0,0.0,2.523725824,4.763086848,22.533308416,0.940240896,0.0
124,73.0,0.0,2.523725824,4.763107328,22.534119424,0.947908608,0.0
125,78.0,0.0,2.523725824,4.763348992,22.534639616,0.95557632,0.0
126,78.0,0.0,2.523725824,4.762591232,22.53539328,0.9632768,0.0
127,78.0,0.0,2.523725824,4.763684864,22.535450624,0.970944512,0.0
128,75.0,0.0,2.523725824,4.7632384,22.535589888,0.978579456,0.0
129,83.0,0.0,2.523725824,4.764626944,22.536470528,0.986263552,0.0
130,83.0,0.0,2.523725824,4.767834112,22.537457664,0.993964032,0.0
131,62.0,0.0,2.523725824,4.751740928,22.520541184,1.001631744,0.0
132,80.0,0.0,2.523725824,4.767014912,22.53420544,1.009332224,0.0
133,68.0,0.0,2.523725824,4.767952896,22.535262208,1.016999936,0.0
134,68.0,0.0,2.523725824,4.767690752,22.535778304,1.024667648,0.0
135,82.0,0.0,2.523725824,4.768256,22.535778304,1.032368128,0.0
136,75.0,0.0,2.523725824,4.767817728,22.536695808,1.040019456,0.0
137,75.0,0.0,2.523725824,4.752674816,22.522503168,1.047711744,0.0
138,75.0,0.0,2.523725824,4.767694848,22.53449216,1.055412224,0.0
139,83.0,0.0,2.523725824,4.767993856,22.534766592,1.063079936,0.0
140,83.0,3310.5,2.523725824,4.768628736,22.53651968,1.070747648,0.0
141,72.0,0.0,2.523725824,4.767440896,22.537003008,1.078448128,0.0
142,83.0,0.0,2.523725824,4.7684608,22.537580544,1.08611584,0.0
143,83.0,0.0,2.523725824,4.76868608,22.5380352,1.093783552,0.0
144,84.0,0.0,2.523725824,4.768694272,22.538317824,1.101463552,0.0
145,84.0,0.0,2.523725824,4.768980992,22.538522624,1.109147648,0.0
146,68.0,0.0,2.523725824,4.7691776,22.538776576,1.11681536,0.0
147,83.0,0.0,2.523725824,4.754571264,22.523600896,1.12451584,0.0
148,83.0,0.0,2.523725824,4.769603584,22.53469696,1.132183552,0.0
149,73.0,0.0,2.523725824,4.772610048,22.537342976,1.139851264,0.0
150,74.0,0.0,2.523725824,4.758306816,22.523539456,1.147551744,0.0
151,74.0,0.0,2.523725824,4.773310464,22.535786496,1.155219456,0.0
152,83.0,0.0,2.523725824,4.773720064,22.53797376,1.162919936,0.0
153,63.0,0.0,2.523725824,4.758818816,22.523580416,1.170587648,0.0
154,88.0,0.0,2.523725824,4.774293504,22.536757248,1.178288128,0.0
155,88.0,0.0,2.523725824,4.775665664,22.539177984,1.18595584,0.0
156,67.0,0.0,2.523725824,4.776054784,22.539505664,1.193623552,0.0
157,75.0,0.0,2.523725824,4.7760384,22.539812864,1.201324032,0.0
158,75.0,0.0,2.523725824,4.762279936,22.525894656,1.208991744,0.0
159,74.0,0.0,2.523725824,4.777299968,22.537109504,1.216659456,0.0
160,80.0,0.0,2.523725824,4.777013248,22.538366976,1.224359936,0.0
161,80.0,0.0,2.523725824,4.762300416,22.52402688,1.232027648,0.0
162,76.0,0.0,2.523725824,4.777529344,22.53692928,1.239728128,0.0
163,80.0,0.0,2.523725824,4.776968192,22.53821952,1.24739584,0.0
164,80.0,3468.3,2.523725824,4.777046016,22.538477568,1.255063552,0.0
165,77.0,0.0,2.523725824,4.777152512,22.538993664,1.262747648,0.0
166,74.0,0.0,2.523725824,4.776681472,22.538960896,1.270431744,0.0
167,80.0,0.0,2.523725824,4.777189376,22.539218944,1.278132224,0.0
168,80.0,0.0,2.523725824,4.7766528,22.539702272,1.285799936,0.0
169,67.0,0.0,2.523725824,4.776357888,22.53989888,1.293467648,0.0
170,83.0,0.0,2.523725824,4.776132608,22.540156928,1.301168128,0.0
171,83.0,3593.5,2.523725824,4.775866368,22.540931072,1.308844032,0.0
172,63.0,0.0,2.523725824,4.776267776,22.540832768,1.316544512,0.0
173,82.0,0.0,2.523725824,4.759584768,22.52638208,1.324212224,0.0
174,82.0,0.0,2.523725824,4.774588416,22.536822784,1.331879936,0.0
175,75.0,0.0,2.523725824,4.760547328,22.524145664,1.339580416,0.0
176,88.0,0.0,2.523725824,4.775825408,22.537392128,1.347248128,0.0
177,88.0,0.0,2.523725824,4.775460864,22.538682368,1.354948608,0.0
178,69.0,0.0,2.523725824,4.774879232,22.539198464,1.36261632,0.0
179,78.0,0.0,2.523725824,4.775088128,22.539423744,1.370284032,0.0
180,78.0,0.0,2.523725824,4.775071744,22.5398784,1.377984512,0.0
181,79.0,0.0,2.523725824,4.758900736,22.529040384,1.385652224,0.0
182,76.0,0.0,2.523725824,4.774158336,22.54022656,1.393319936,0.0
183,76.0,0.0,2.523725824,4.77413376,22.542000128,1.401020416,0.0
184,81.0,0.0,2.523725824,4.77476864,22.542225408,1.408688128,0.0
185,73.0,0.0,2.523725824,4.773793792,22.542225408,1.416388608,0.0
186,73.0,0.0,2.523725824,4.772855808,22.542225408,1.42405632,0.0
187,84.0,0.0,2.523725824,4.774838272,22.542225408,1.431724032,0.0
188,69.0,0.0,2.523725824,4.77485056,22.543163392,1.439424512,0.0
189,78.0,0.0,2.523725824,4.774408192,22.543679488,1.447092224,0.0
190,78.0,0.0,2.523725824,4.7741952,22.543679488,1.454792704,0.0
191,68.0,0.0,2.523725824,4.773720064,22.543904768,1.462464512,0.0
192,83.0,0.0,2.523725824,4.774301696,22.543904768,1.470132224,0.0
193,83.0,0.0,2.523725824,4.77390848,22.543839232,1.477832704,0.0
194,71.0,0.0,2.523725824,4.77329408,22.544068608,1.485533184,0.0
195,78.0,0.0,2.523725824,4.771917824,22.544068608,1.493200896,0.0
196,78.0,0.0,2.523725824,4.772048896,22.544551936,1.500868608,0.0
197,79.0,0.0,2.523725824,4.77257728,22.544748544,1.50853632,0.0
198,74.0,0.0,2.523725824,4.771987456,22.544748544,1.5162368,0.0
199,74.0,0.0,2.523725824,4.772855808,22.544719872,1.523904512,0.0
200,81.0,0.0,2.523725824,4.772564992,22.544719872,1.531572224,0.0
201,69.0,0.0,2.523725824,4.771250176,22.54497792,1.539272704,0.0
202,84.0,0.0,2.523725824,4.77140992,22.54497792,1.546940416,0.0
203,84.0,0.0,2.523725824,4.755734528,22.52814336,1.554640896,0.0
204,74.0,0.0,2.523725824,4.770783232,22.54000128,1.562308608,0.0
205,84.0,0.0,2.523725824,4.771233792,22.541971456,1.56997632,0.0
206,84.0,0.0,2.523725824,4.7557632,22.528036864,1.577672704,0.0
207,73.0,0.0,2.523725824,4.771229696,22.5408,1.5853568,0.0
208,80.0,0.0,2.523725824,4.772278272,22.54231552,1.59305728,0.0
209,80.0,0.0,2.523725824,4.77161472,22.543347712,1.60075776,0.0
210,68.0,0.0,2.523725824,4.771639296,22.544379904,1.608425472,0.0
211,83.0,0.0,2.523725824,4.770578432,22.544379904,1.616093184,0.0
212,83.0,0.0,2.523725824,4.771344384,22.544543744,1.623793664,0.0
213,75.0,0.0,2.523725824,4.770156544,22.544740352,1.631461376,0.0
214,73.0,0.0,2.523725824,4.756078592,22.530289664,1.639129088,0.0
215,73.0,0.0,2.523725824,4.770299904,22.540214272,1.646829568,0.0
216,85.0,0.0,2.523725824,4.769882112,22.541729792,1.65449728,0.0
217,73.0,0.0,2.523725824,4.7702016,22.54198784,1.66219776,0.0
218,73.0,0.0,2.523725824,4.770381824,22.542503936,1.669865472,0.0
219,85.0,0.0,2.523725824,4.76975104,22.542700544,1.677565952,0.0
220,68.0,0.0,2.523725824,4.7694848,22.542893056,1.685233664,0.0
221,68.0,0.0,2.523725824,4.769005568,22.543347712,1.692901376,0.0
222,83.0,0.0,2.523725824,4.755062784,22.52941312,1.700601856,0.0
223,74.0,0.0,2.523725824,4.770062336,22.54036992,1.708269568,0.0
224,80.0,0.0,2.523725824,4.76985344,22.542176256,1.715970048,0.0
225,80.0,0.0,2.523725824,4.76913664,22.542434304,1.72363776,0.0
226,68.0,0.0,2.523725824,4.769247232,22.542692352,1.731305472,0.0
227,84.0,0.0,2.523725824,4.768305152,22.54311424,1.739005952,0.0
228,84.0,0.0,2.523725824,4.76858368,22.543081472,1.746673664,0.0
229,71.0,0.0,2.523725824,4.767870976,22.54333952,1.754374144,0.0
230,83.0,0.0,2.523725824,4.769132544,22.54333952,1.762041856,0.0
231,83.0,0.0,2.523725824,4.768948224,22.5435648,1.769709568,0.0
232,76.0,0.0,2.523725824,4.76919808,22.543822848,1.77737728,0.0
233,76.0,0.0,2.523725824,4.768309248,22.54379008,1.78507776,0.0
234,76.0,0.0,2.523725824,4.76684288,22.543757312,1.792745472,0.0
235,82.0,0.0,2.523725824,4.768018432,22.544531456,1.800413184,0.0
236,71.0,0.0,2.523725824,4.768067584,22.544756736,1.808113664,0.0
237,71.0,0.0,2.523725824,4.767727616,22.544498688,1.815781376,0.0
238,84.0,0.0,2.523725824,4.767432704,22.544723968,1.823490048,0.0
239,64.0,0.0,2.523725824,4.767813632,22.544723968,1.831161856,0.0
240,82.0,0.0,2.523725824,4.766711808,22.54462976,1.838825472,0.0
241,82.0,0.0,2.523725824,4.752867328,22.530695168,1.846509568,0.0
242,73.0,0.0,2.523725824,4.76780544,22.540619776,1.854193664,0.0
243,82.0,0.0,2.523725824,4.766949376,22.541910016,1.86187776,0.0
244,82.0,0.0,2.523725824,4.766093312,22.54262272,1.869565952,0.0
245,69.0,0.0,2.523725824,4.767571968,22.543593472,1.877266432,0.0
246,75.0,0.0,2.523725824,4.766388224,22.543593472,1.884934144,0.0
247,75.0,0.0,2.523725824,4.76680192,22.543560704,1.892601856,0.0
248,83.0,0.0,2.523725824,4.750139392,22.529110016,1.900269568,0.0
249,70.0,0.0,2.523725824,4.765351936,22.54077952,1.907986432,0.0
250,70.0,0.0,2.523725824,4.765544448,22.541553664,1.915604992,0.0
251,84.0,0.0,2.523725824,4.765749248,22.542327808,1.923321856,0.0
252,69.0,0.0,2.523725824,4.765302784,22.542524416,1.931005952,0.0
253,84.0,0.0,2.523725824,4.766027776,22.543040512,1.938673664,0.0
254,84.0,0.0,2.523725824,4.765138944,22.543556608,1.946365952,0.0
255,67.0,0.0,2.523725824,4.764913664,22.544011264,1.9540992,0.0
256,79.0,0.0,2.523725824,4.765507584,22.544211968,1.961750528,0.0
257,79.0,0.0,2.523725824,4.76506112,22.544437248,1.969451008,0.0
258,77.0,0.0,2.523725824,4.765405184,22.544437248,1.977102336,0.0
259,71.0,0.0,2.523725824,4.763930624,22.544437248,1.984770048,0.0
260,71.0,0.0,2.523725824,4.764749824,22.544662528,1.99247872,0.0
261,83.0,0.0,2.523725824,4.765335552,22.54462976,2.000146432,0.0
262,68.0,0.0,2.523725824,4.764565504,22.544371712,2.007830528,0.0
263,82.0,0.0,2.523725824,4.749647872,22.530039808,2.015514624,0.0
264,82.0,0.0,2.523725824,4.764622848,22.540877824,2.023186432,0.0
265,68.0,0.0,2.523725824,4.764041216,22.542426112,2.030903296,0.0
266,83.0,0.0,2.523725824,4.763181056,22.542426112,2.038587392,0.0
267,83.0,0.0,2.523725824,4.76448768,22.543106048,2.046255104,0.0
268,74.0,0.0,2.523725824,4.764626944,22.5440768,2.053922816,0.0
269,67.0,0.0,2.523725824,4.764483584,22.5440768,2.061623296,0.0
270,67.0,0.0,2.523725824,4.748521472,22.529531904,2.069291008,0.0
271,82.0,0.0,2.523725824,4.763922432,22.540746752,2.07695872,0.0
272,71.0,0.0,2.523725824,4.747505664,22.52681216,2.0846592,0.0
273,71.0,3481.9,2.523725824,4.762640384,22.54034944,2.09235968,0.0
274,88.0,0.0,2.523725824,4.76422144,22.541606912,2.100011008,0.0
275,63.0,0.0,2.523725824,4.76379136,22.541606912,2.107674624,0.0
276,77.0,0.0,2.523725824,4.763664384,22.54331904,2.11529728,0.0
277,77.0,0.0,2.523725824,4.748382208,22.528868352,2.122887168,0.0
278,79.0,0.0,2.523725824,4.7635456,22.540341248,2.13045248,0.0
279,67.0,0.0,2.523725824,4.764188672,22.542921728,2.137931776,0.0
280,80.0,0.0,2.523725824,4.748120064,22.528954368,2.145468416,0.0
281,80.0,0.0,2.523725824,4.763660288,22.54094336,2.153160704,0.0
282,67.0,0.0,2.523725824,4.763578368,22.54239744,2.160705536,0.0
283,82.0,0.0,2.523725824,4.763488256,22.542655488,2.168246272,0.0
284,82.0,0.0,2.523725824,4.763643904,22.542655488,2.175705088,0.0
285,76.0,0.0,2.523725824,4.764033024,22.543171584,2.183258112,0.0
286,73.0,0.0,2.523725824,4.74877952,22.528720896,2.190839808,0.0
287,73.0,0.0,2.523725824,4.76368896,22.540193792,2.198401024,0.0
288,85.0,0.0,2.523725824,4.764479488,22.541676544,2.205978624,0.0
289,66.0,0.0,2.523725824,4.763611136,22.541676544,2.213535744,0.0
290,66.0,0.0,2.523725824,4.76409856,22.542614528,2.221047808,0.0
291,79.0,0.0,2.523725824,4.748660736,22.528765952,2.228707328,0.0
292,71.0,0.0,2.523725824,4.763820032,22.540378112,2.236219392,0.0
293,82.0,0.0,2.523725824,4.762488832,22.5419264,2.243772416,0.0
294,82.0,0.0,2.523725824,4.762411008,22.542442496,2.251370496,0.0
295,72.0,0.0,2.523725824,4.764090368,22.542925824,2.258857984,0.0
296,79.0,0.0,2.523725824,4.764377088,22.542925824,2.2663168,0.0
297,79.0,0.0,2.523725824,4.763344896,22.54344192,2.273849344,0.0
298,78.0,0.0,2.523725824,4.762636288,22.543699968,2.28153344,0.0
299,68.0,0.0,2.523725824,4.763287552,22.544121856,2.289016832,0.0
300,68.0,0.0,2.523725824,4.76360704,22.544130048,2.296569856,0.0
301,84.0,0.0,2.523725824,4.76360704,22.544355328,2.304114688,0.0
302,62.0,0.0,2.523725824,4.747296768,22.530134016,2.31161856,0.0
303,80.0,0.0,2.523725824,4.762509312,22.539800576,2.319200256,0.0
304,80.0,0.0,2.523725824,4.763357184,22.541348864,2.326892544,0.0
305,77.0,0.0,2.523725824,4.762861568,22.541606912,2.334470144,0.0
306,64.0,0.0,2.523725824,4.763992064,22.542061568,2.341953536,0.0
307,64.0,0.0,2.523725824,4.763144192,22.542544896,2.349428736,0.0
308,83.0,0.0,2.523725824,4.762181632,22.542544896,2.357010432,0.0
309,66.0,0.0,2.523725824,4.7630336,22.543028224,2.36460032,0.0
310,81.0,0.0,2.523725824,4.76301312,22.543028224,2.3721984,0.0
311,81.0,0.0,2.523725824,4.763119616,22.543028224,2.379911168,0.0
312,77.0,3384.6,2.523725824,4.762136576,22.543998976,2.387533824,0.0
313,66.0,0.0,2.523725824,4.762632192,22.544257024,2.395009024,0.0
314,66.0,0.0,2.523725824,4.76178432,22.544777216,2.402533376,0.0
315,82.0,0.0,2.523725824,4.762218496,22.544777216,2.410057728,0.0
316,65.0,0.0,2.523725824,4.762353664,22.544207872,2.417532928,0.0
317,83.0,0.0,2.523725824,4.762202112,22.534144,2.425040896,0.0
