task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Step #1,2026-04-07T13:27:13,energy-efficiency,8ae4e2ac-4925-48dd-85a3-9601f0f31d4b,1.5739291869103909,8.386939388245558e-07,5.326735076763426e-07,360.0,116.96154295075802,10.0,0.0001574730187654495,5.11622631620412e-05,4.374196049239901e-06,0.0002130094779767306,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #2,2026-04-07T13:27:14,energy-efficiency,8ae4e2ac-4925-48dd-85a3-9601f0f31d4b,0.8279315121471882,4.832265934871775e-07,5.83673108729474e-07,360.0,161.66447200531277,10.0,8.310157656669616e-05,3.731891874281246e-05,2.308237614730994e-06,0.00012272873292423962,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #3,2026-04-07T13:27:15,energy-efficiency,8ae4e2ac-4925-48dd-85a3-9601f0f31d4b,0.8198789283633232,4.844728399941372e-07,5.90875990108995e-07,360.0,170.0603447555666,10.0,8.202062584459783e-05,3.874641987522409e-05,2.2782059075931704e-06,0.00012304525162741504,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #4,2026-04-07T13:27:16,energy-efficiency,8ae4e2ac-4925-48dd-85a3-9601f0f31d4b,0.8208263367414474,5.220725111367664e-07,6.360343500590869e-07,360.0,211.58995757171905,10.0,8.207469247281549e-05,4.824031634598214e-05,2.2797172371712e-06,0.00013259472605596886,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #5,2026-04-07T13:27:17,energy-efficiency,8ae4e2ac-4925-48dd-85a3-9601f0f31d4b,0.8219285793602467,5.060985882189941e-07,6.157638281897474e-07,360.0,191.19363503800218,10.0,8.245516680181026e-05,4.3792257258701284e-05,2.2902833090888133e-06,0.00012853770736960036,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #6,2026-04-07T13:27:18,energy-efficiency,8ae4e2ac-4925-48dd-85a3-9601f0f31d4b,0.8249021507799625,5.077864269649574e-07,6.155668805768819e-07,360.0,192.97637258345296,10.0,8.246820159256462e-05,4.4207535381701746e-05,2.29064363779293e-06,0.00012896638061205934,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #7,2026-04-07T13:27:19,energy-efficiency,8ae4e2ac-4925-48dd-85a3-9601f0f31d4b,0.8253561928868294,5.187326038234283e-07,6.284405454653066e-07,360.0,205.10034224686817,10.0,8.246989585459228e-05,4.6985870937987784e-05,2.2906976027621165e-06,0.00013174646439534214,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #8,2026-04-07T13:27:20,energy-efficiency,8ae4e2ac-4925-48dd-85a3-9601f0f31d4b,0.8265988230705261,4.965248517844362e-07,6.007478803355595e-07,360.0,179.73208078399298,10.0,8.258206956088547e-05,4.123031075664585e-05,2.2938124007648886e-06,0.00012610619271829614,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #9,2026-04-07T13:27:21,energy-efficiency,8ae4e2ac-4925-48dd-85a3-9601f0f31d4b,0.8242473639547825,4.982173613457346e-07,6.046451599513154e-07,360.0,182.9868491415195,10.0,8.237573169171805e-05,4.187225573559772e-05,2.28806481593185e-06,0.00012653605224324771,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #10,2026-04-07T13:27:22,energy-efficiency,8ae4e2ac-4925-48dd-85a3-9601f0f31d4b,0.8237839005887508,4.91813501557982e-07,5.970239107054317e-07,360.0,176.09673469316763,10.0,8.234296701848504e-05,4.02794766785064e-05,2.2871715741025074e-06,0.00012490961527109393,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #11,2026-04-07T13:27:23,energy-efficiency,8ae4e2ac-4925-48dd-85a3-9601f0f31d4b,0.8238874189555645,4.921951240426335e-07,5.973882388272289e-07,360.0,175.30346930148826,10.0,8.252674154937256e-05,4.018753216428195e-05,2.292265122135479e-06,0.00012500653883579,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #12,2026-04-07T13:27:24,energy-efficiency,8ae4e2ac-4925-48dd-85a3-9601f0f31d4b,0.8264348730444908,4.883270721675287e-07,5.909443840913825e-07,360.0,170.53097362243025,10.0,8.260115347802637e-05,3.912864241328862e-05,2.2943443929155684e-06,0.00012402414028423055,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #13,2026-04-07T13:27:25,energy-efficiency,8ae4e2ac-4925-48dd-85a3-9601f0f31d4b,0.8294040150940418,5.007151546630098e-07,6.037100889041129e-07,360.0,184.78813579123414,10.0,8.251998350024227e-05,4.235836721022679e-05,2.292085097481807e-06,0.00012717043580795094,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #14,2026-04-07T13:27:26,energy-efficiency,8ae4e2ac-4925-48dd-85a3-9601f0f31d4b,0.8245326019823551,4.859292526272098e-07,5.893725309538536e-07,360.0,167.4706348996933,10.0,8.266351148486137e-05,3.84555863490732e-05,2.296049986034632e-06,0.00012341514781996914,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
