task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Forward pass #1,2026-04-01T16:46:34,energy-efficiency,64f9c1d1-2c99-4ecf-abdb-43108607a21a,1.829397264868021,8.981223610206981e-07,4.908243933169538e-07,360.0,78.18516971639201,10.0,0.0001832211147993804,3.9792531836724265e-05,5.0893196836113884e-06,0.00022810296631971608,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #1,2026-04-01T16:46:34,energy-efficiency,64f9c1d1-2c99-4ecf-abdb-43108607a21a,0.6074104905128479,3.5371963870605954e-07,5.826642126979935e-07,360.0,165.92752132744147,10.0,6.0345969349145934e-05,2.7814744484544462e-05,1.6761528741982202e-06,8.983686670788844e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #1,2026-04-01T16:46:35,energy-efficiency,64f9c1d1-2c99-4ecf-abdb-43108607a21a,0.09705466032028198,4.636274946061267e-08,4.779323532093068e-07,360.0,76.13303107307568,10.0,9.501581266522195e-06,2.0097238291327812e-06,2.6379497721791935e-07,1.1775100072873058e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #2,2026-04-01T16:46:35,energy-efficiency,64f9c1d1-2c99-4ecf-abdb-43108607a21a,0.24655260890722275,1.5389894764156564e-07,6.244627912135109e-07,360.0,199.62379590820856,10.0,2.4702250584960044e-05,1.3698622069568955e-05,6.860134916173149e-07,3.9086886146145854e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #2,2026-04-01T16:46:35,energy-efficiency,64f9c1d1-2c99-4ecf-abdb-43108607a21a,0.5634443275630474,3.2989461282578126e-07,5.86009467718612e-07,360.0,166.55305722567462,10.0,5.621571429073819e-05,2.6008631920149128e-05,1.561497482988568e-06,8.378584369387546e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #2,2026-04-01T16:46:35,energy-efficiency,64f9c1d1-2c99-4ecf-abdb-43108607a21a,0.009297356009483337,3.1921118025807628e-09,3.672258510110454e-07,360.0,0.0,10.0,7.888976484536625e-07,0.0,2.1827262308859075e-08,8.107249107628875e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #3,2026-04-01T16:46:36,energy-efficiency,64f9c1d1-2c99-4ecf-abdb-43108607a21a,0.24704865738749504,1.4016340425952303e-07,5.67860575981511e-07,360.0,150.9746243369951,10.0,2.4598579481244047e-05,1.0316674917021373e-05,6.831113352543771e-07,3.559836573351939e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #3,2026-04-01T16:46:36,energy-efficiency,64f9c1d1-2c99-4ecf-abdb-43108607a21a,0.562738299369812,3.463964814066148e-07,6.162274737610713e-07,360.0,193.80471517527647,10.0,5.617448017001137e-05,3.024224642445006e-05,1.5602221608989762e-06,8.797694875536076e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #3,2026-04-01T16:46:36,energy-efficiency,64f9c1d1-2c99-4ecf-abdb-43108607a21a,0.00775325670838356,2.360770488425419e-09,3.932075386974003e-07,360.0,0.0,10.0,5.834519863127073e-07,0.0,1.613084847728425e-08,5.995828347904117e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #4,2026-04-01T16:46:37,energy-efficiency,64f9c1d1-2c99-4ecf-abdb-43108607a21a,0.24752727150917053,1.5232993018303212e-07,6.160500645737882e-07,360.0,194.4266493195214,10.0,2.4675594270229424e-05,1.3327510657745734e-05,6.852859217259632e-07,3.868839084970096e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
