task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Step #1,2026-04-01T17:17:04,energy-efficiency-e2e,385fd874-eb15-4afb-8419-cd5ef73689a7,1.150042813271284,5.904312276342236e-07,5.131190859090872e-07,360.0,99.12466507316387,10.0,0.00011507427915930748,3.1685580907492295e-05,3.1964490914510356e-06,0.0001499563091582508,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #2,2026-04-01T17:17:05,energy-efficiency-e2e,385fd874-eb15-4afb-8419-cd5ef73689a7,0.43104076385498047,2.468976846609508e-07,5.723624818049077e-07,360.0,150.26140712422196,10.0,4.339012093842029e-05,1.8111125598352373e-05,1.2052361129058734e-06,6.270648264967854e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #3,2026-04-01T17:17:05,energy-efficiency-e2e,385fd874-eb15-4afb-8419-cd5ef73689a7,0.43528471142053604,2.605717907093881e-07,5.982503740657311e-07,360.0,182.99990553107114,10.0,4.308214858174324e-05,2.1900573059951967e-05,1.1966777137584162e-06,6.617939935545363e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #4,2026-04-01T17:17:06,energy-efficiency-e2e,385fd874-eb15-4afb-8419-cd5ef73689a7,0.43148087337613106,2.4906114322394243e-07,5.767993405196669e-07,360.0,158.06953339633617,10.0,4.31231193244457e-05,1.893501514871332e-05,1.1978182010352612e-06,6.325595267419432e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #5,2026-04-01T17:17:06,energy-efficiency-e2e,385fd874-eb15-4afb-8419-cd5ef73689a7,0.42985741421580315,2.4987191339389616e-07,5.808498049813235e-07,360.0,156.47484571227488,10.0,4.339455217123033e-05,1.8861959532046058e-05,1.2053584369520353e-06,6.346187014022843e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #6,2026-04-01T17:17:07,energy-efficiency-e2e,385fd874-eb15-4afb-8419-cd5ef73689a7,0.4269401766359806,2.3675341952770419e-07,5.541832568347751e-07,360.0,136.50515431962125,10.0,4.273739196360111e-05,1.620556852799382e-05,1.1871059942576627e-06,6.013006648585261e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #7,2026-04-01T17:17:08,energy-efficiency-e2e,385fd874-eb15-4afb-8419-cd5ef73689a7,0.4319804348051548,2.477677266165716e-07,5.731559085810702e-07,360.0,158.71245303181658,10.0,4.284701235592362e-05,1.8890292892592697e-05,1.1901485733687877e-06,6.292745382188518e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #8,2026-04-01T17:17:08,energy-efficiency-e2e,385fd874-eb15-4afb-8419-cd5ef73689a7,0.43233736231923103,2.4182293948451836e-07,5.58857895429411e-07,360.0,140.8247344436339,10.0,4.32833831757307e-05,1.6931957986798807e-05,1.2022698608537506e-06,6.141761102338328e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #9,2026-04-01T17:17:09,energy-efficiency-e2e,385fd874-eb15-4afb-8419-cd5ef73689a7,0.42938150838017464,2.5670087026209994e-07,5.972287226428827e-07,360.0,173.58917569551738,10.0,4.3176944926381087e-05,2.082001665826283e-05,1.19931066615714e-06,6.519627225080101e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #10,2026-04-01T17:17:09,energy-efficiency-e2e,385fd874-eb15-4afb-8419-cd5ef73689a7,0.432843342423439,2.517085613534106e-07,5.810570985078058e-07,360.0,161.28354923202943,10.0,4.331787005066874e-05,1.940723774396247e-05,1.2032297957274653e-06,6.392833759035865e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
