task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Forward pass #1,2026-04-04T13:36:50,energy-efficiency-e2e,3ecc45a0-71f1-4790-895b-175f4bb6cea5,0.7784773632884026,4.0822356508768903e-07,5.244600878790749e-07,360.0,109.20231698741739,10.0,7.788879871368408e-05,2.3627518885405152e-05,2.163325798594289e-06,0.00010367964339768353,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #1,2026-04-04T13:36:51,energy-efficiency-e2e,3ecc45a0-71f1-4790-895b-175f4bb6cea5,0.6592681519687176,3.759965907770681e-07,5.704697208430308e-07,360.0,152.0235354790248,10.0,6.585497371852395e-05,2.78105778193094e-05,1.8291621055040094e-06,9.54947136433374e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #1,2026-04-04T13:36:51,energy-efficiency-e2e,3ecc45a0-71f1-4790-895b-175f4bb6cea5,0.13125164061784744,7.679695083398186e-08,5.863320520183707e-07,360.0,168.61094370649084,10.0,1.3036314770579327e-05,6.106393783511521e-06,3.6199709607495197e-07,1.950470565016579e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #2,2026-04-04T13:36:52,energy-efficiency-e2e,3ecc45a0-71f1-4790-895b-175f4bb6cea5,0.24658065289258957,1.3865092834361852e-07,5.624990164985559e-07,360.0,145.05293503303378,10.0,2.4612908810377107e-05,9.917785718016603e-06,6.835361942648885e-07,3.5214230722658635e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #2,2026-04-04T13:36:52,energy-efficiency-e2e,3ecc45a0-71f1-4790-895b-175f4bb6cea5,0.5669299028813839,3.4204039510426654e-07,6.037106933336075e-07,360.0,183.16983306817548,10.0,5.653449445962907e-05,2.876585634226103e-05,1.5702495868835188e-06,8.68706003887736e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #2,2026-04-04T13:36:52,energy-efficiency-e2e,3ecc45a0-71f1-4790-895b-175f4bb6cea5,0.0034512877464294434,1.4582115510538374e-09,4.242772906084411e-07,360.0,0.0,10.0,3.604069352149933e-07,0.0,9.946142219835107e-09,3.7035307743482756e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #3,2026-04-04T13:36:53,energy-efficiency-e2e,3ecc45a0-71f1-4790-895b-175f4bb6cea5,0.24850696697831154,1.4914666396971905e-07,6.006153396061851e-07,360.0,179.9552963841917,10.0,2.4795724451541924e-05,1.2395565477163473e-05,6.886225918100938e-07,3.787991252051547e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #3,2026-04-04T13:36:53,energy-efficiency-e2e,3ecc45a0-71f1-4790-895b-175f4bb6cea5,0.5647262968122959,3.3325919866377955e-07,5.905002204080979e-07,360.0,170.25501744768766,10.0,5.639991573989391e-05,2.6673910241470367e-05,1.5665471657282773e-06,8.464037314709257e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #3,2026-04-04T13:36:53,energy-efficiency-e2e,3ecc45a0-71f1-4790-895b-175f4bb6cea5,0.007985256612300873,2.079980507410851e-08,2.6201815644110235e-06,360.0,5692.187468116504,10.0,3.1266696751120187e-07,4.9613928467806545e-06,8.624864535200093e-09,5.282684678827043e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #4,2026-04-04T13:36:54,energy-efficiency-e2e,3ecc45a0-71f1-4790-895b-175f4bb6cea5,0.24796010553836823,1.4474550129017174e-07,5.841709604332005e-07,360.0,165.55523414539087,10.0,2.4711119011044524e-05,1.1364731307139664e-05,6.862654454178282e-07,3.676211576360202e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
