step,forward_ms,backward_ms,optimizer_ms
1,1864.39246,1251.302916,95.446127
2,5.163917,3.440916,1.576841
3,5.914518,4.202365,2.651635
4,3.659878,4.264047,1.129085
5,4.095074,4.109575,1.688182
6,6.505055,3.582198,3.434525
7,3.372664,4.116395,1.610811
8,4.189405,3.563187,2.644025
9,3.499506,4.148364,1.183665
10,5.909408,7.123733,2.791277
11,4.384838,4.055984,1.138135
12,3.177602,4.142384,1.52635
13,4.435228,4.172195,1.678552
14,3.82697,4.437729,1.412518
15,3.963652,7.017113,1.328647
16,4.020982,6.925421,1.434819
17,3.323504,4.248716,1.54356
18,4.027583,7.178785,1.44325
19,3.573667,6.87868,1.602001
20,3.77212,7.467741,1.293407
21,3.179083,4.103845,1.181726
22,3.570978,6.933923,2.26339
23,3.598258,6.894953,1.785003
24,3.74164,7.003125,2.074197
25,4.062854,4.040334,2.002267
26,4.809194,7.184226,2.576104
27,3.937443,7.436159,1.43518
28,3.439756,6.951633,1.271387
29,4.211587,5.416852,1.737194
30,4.163276,4.246106,1.724553
31,23.951811,7.003254,18.415756
32,4.084554,4.394809,2.418643
33,3.556818,3.602208,2.23514
34,3.591628,3.364886,2.371811
35,3.734841,2.958809,2.117819
36,3.980413,2.95746,1.756253
37,3.343675,3.244663,1.167086
38,2.852038,2.894689,1.382668
39,2.956029,2.784978,1.290607
40,3.183392,3.081212,0.998173
41,2.737797,2.794377,1.416749
42,3.078841,2.856698,0.845922
43,35.915901,45.483419,1.432379
