step,gpu_util_pct,gpu_mem_util_pct,gpu_power_w,gpu_mem_alloc_mb,gpu_mem_reserved_mb,cpu_util_pct,cpu_mem_mb,disk_read_mb,disk_write_mb
1,57.0,23.0,186.371,140.25634765625,11112.0,119.7,4553.78125,65.96484375,0.0
2,100.0,35.0,174.114,140.35009765625,11112.0,142.7,4493.640625,124.61328125,0.0
3,100.0,35.0,183.411,140.35009765625,11112.0,129.9,4492.7109375,183.20703125,0.0
4,100.0,37.0,178.629,140.35009765625,11112.0,143.2,4492.53125,241.78515625,0.0
5,100.0,40.0,183.826,140.35009765625,11112.0,143.7,4491.65625,300.34765625,0.0
6,100.0,35.0,184.34,140.35009765625,11112.0,137.7,4490.96484375,358.94140625,0.0
7,100.0,35.0,182.766,140.35009765625,11112.0,139.6,4491.00390625,417.21484375,0.0
8,100.0,40.0,185.94,140.35009765625,11112.0,137.6,4490.18359375,475.171875,0.0
9,100.0,37.0,191.284,140.35009765625,11112.0,126.0,4489.33984375,533.703125,0.0
10,100.0,35.0,188.826,140.35009765625,11112.0,123.6,4489.5234375,591.9609375,0.0
11,100.0,39.0,191.538,140.35009765625,11112.0,130.0,4489.1640625,650.09375,0.0
12,100.0,35.0,187.311,140.35009765625,11112.0,129.2,4488.41015625,708.65234375,0.0
13,100.0,39.0,190.067,140.35009765625,11112.0,125.8,4487.75390625,767.2109375,0.0
14,100.0,35.0,192.424,140.35009765625,11112.0,125.1,4487.765625,825.80078125,0.0
15,100.0,37.0,189.144,140.35009765625,11112.0,130.8,4487.21484375,884.39453125,0.0
16,100.0,35.0,183.094,140.35009765625,11112.0,134.5,4485.28515625,942.9921875,0.0
17,100.0,38.0,188.761,140.35009765625,11112.0,137.0,4485.7265625,1001.6171875,0.0
18,100.0,35.0,187.167,140.35009765625,11112.0,131.1,4483.9140625,1060.2265625,0.0
19,100.0,35.0,187.256,140.35009765625,11112.0,130.6,4483.83203125,1118.8203125,0.0
20,100.0,35.0,191.606,140.35009765625,11112.0,127.6,4483.96484375,1177.38671875,0.0
