step,gpu_util,cpu_util,gpu_mem_gb,cpu_mem_gb,ram_gb,io_read_gb,io_write_gb
1,88,115.6,6.80820736,4.778889216,27.450114048,0.038453248,0.0
2,100,142.0,6.80820736,4.746907648,27.37799168,0.069238784,0.0
3,69,126.4,6.80820736,4.746952704,25.602879488,0.099975168,0.0
4,100,125.8,6.80820736,4.77786112,25.6637952,0.130678784,0.0
5,100,127.1,6.80820736,4.777037824,25.654464512,0.161415168,0.0
6,100,130.1,6.80820736,4.77673472,25.869733888,0.192086016,0.0
7,81,123.9,6.80820736,4.776275968,25.920569344,0.222838784,0.0
8,100,150.3,6.80820736,4.774105088,25.990979584,0.253509632,0.0
9,74,123.3,6.80820736,4.774887424,26.005028864,0.284229632,0.0
10,100,126.4,6.80820736,4.774350848,26.007093248,0.314933248,0.0
11,100,120.3,6.80820736,4.774469632,26.059198464,0.345636864,0.0
12,100,130.7,6.80820736,4.773187584,26.104836096,0.376336384,0.0
13,91,128.7,6.80820736,4.772118528,26.128310272,0.407064576,0.0
14,100,131.6,6.80820736,4.772036608,26.285236224,0.437600256,0.0
15,100,133.0,6.80820736,4.771237888,26.852655104,0.46759936,0.0
16,100,123.2,6.80820736,4.771753984,27.007942656,0.498130944,0.0
17,82,129.3,6.80820736,4.770250752,27.038367744,0.528777216,0.0
18,100,120.5,6.80820736,4.770066432,27.069079552,0.559448064,0.0
19,100,144.2,6.80820736,4.770144256,27.069853696,0.590200832,0.0
20,100,123.3,6.80820736,4.769390592,27.070369792,0.620847104,0.0
21,77,127.9,6.80820736,4.768346112,27.069595648,0.651452416,0.0
22,100,127.0,6.80820736,4.768571392,27.068305408,0.682131456,0.0
23,100,147.7,6.80820736,4.767965184,27.007352832,0.71286784,0.0
24,100,123.4,6.80820736,4.767842304,27.394166784,0.74348544,0.0
25,80,129.8,6.80820736,4.765925376,27.394166784,0.774180864,0.0
26,83,149.4,6.80820736,4.766851072,27.393650688,0.80482304,0.0
27,100,133.4,6.80820736,4.766150656,27.394166784,0.835555328,0.0
28,100,124.3,6.80820736,4.76545024,27.393650688,0.866291712,0.0
29,75,128.2,6.80820736,4.764991488,27.394166784,0.896995328,0.0
30,100,127.5,6.80820736,4.765339648,27.394940928,0.927748096,0.0
31,100,136.4,6.80820736,4.763066368,27.393908736,0.958451712,0.0
32,100,125.7,6.80820736,4.763439104,27.393908736,0.989032448,0.0
33,63,136.9,6.80820736,4.76284928,27.394166784,1.019768832,0.0
34,91,128.9,6.80820736,4.762247168,27.676729344,1.050472448,0.0
35,93,130.6,6.80820736,4.761653248,27.67724544,1.081208832,0.0
36,100,131.4,6.80820736,4.760113152,27.677761536,1.111912448,0.0
37,100,130.2,6.80820736,4.760543232,27.67724544,1.142648832,0.0
38,72,128.1,6.80820736,4.759707648,27.676987392,1.173352448,0.0
39,82,137.8,6.80820736,4.759420928,27.676987392,1.204056064,0.0
40,100,129.8,6.80820736,4.696743936,27.613249536,1.234792448,0.0
41,61,111.2,6.80820736,4.757962752,27.67190016,1.265528832,0.0
42,74,128.6,6.80820736,4.757327872,27.67448064,1.296265216,0.0
43,100,126.7,6.80820736,4.757929984,27.684769792,1.326968832,0.0
44,100,140.3,6.80820736,4.757127168,27.684769792,1.357705216,0.0
45,100,126.0,6.80820736,4.696059904,27.624075264,1.3882368,0.0
46,100,127.6,6.80820736,4.757311488,27.68136192,1.41879296,0.0
47,100,135.1,6.80820736,4.75648,27.684200448,1.449517056,0.0
48,100,128.8,6.80820736,4.756115456,27.684974592,1.48025344,0.0
49,100,150.0,6.80820736,4.693663744,27.62479616,1.510957056,0.0
50,100,111.3,6.80820736,4.75467776,27.681308672,1.54169344,0.0
51,100,142.1,6.80820736,4.754907136,27.683115008,1.572397056,0.0
52,100,127.3,6.80820736,4.755050496,27.684405248,1.60313344,0.0
53,100,128.9,6.80820736,4.754485248,27.731369984,1.633837056,0.0
54,100,128.7,6.80820736,4.753178624,27.732144128,1.664540672,0.0
55,100,123.7,6.80820736,4.752789504,27.732402176,1.695244288,0.0
56,100,129.1,6.80820736,4.752252928,27.732144128,1.725980672,0.0
57,100,139.1,6.80820736,4.751560704,27.732402176,1.75663104,0.0
58,100,125.6,6.80820736,4.750651392,27.731628032,1.787219968,0.0
59,100,135.3,6.80820736,4.751409152,27.732402176,1.817534464,0.0
60,100,123.5,6.80820736,4.751368192,27.733434368,1.848029184,0.0
61,100,134.6,6.80820736,4.75090944,27.733950464,1.878401024,0.0
62,100,126.5,6.80820736,4.750823424,27.7680128,1.908764672,0.0
63,100,148.1,6.80820736,4.75099136,27.7680128,1.938726912,0.0
64,100,126.3,6.80820736,4.750041088,27.768270848,1.968869376,0.0
65,100,137.4,6.80820736,4.749975552,27.768528896,1.99923712,0.0
66,100,131.7,6.80820736,4.750790656,27.768270848,2.029473792,0.0
67,100,136.3,6.80820736,4.750319616,27.768270848,2.059784192,0.0
68,100,154.7,6.80820736,4.74918912,27.768786944,2.090196992,0.0
69,100,123.8,6.80820736,4.751618048,27.769479168,2.120159232,0.0
70,100,165.8,6.80820736,4.77239296,27.771056128,2.150408192,0.0
71,100,172.2,6.80820736,4.79184896,27.771056128,2.181177344,0.0
72,100,126.6,6.80820736,4.791861248,27.771314176,2.211848192,0.0
73,100,127.2,6.80820736,4.791791616,27.771314176,2.242584576,0.0
74,100,130.2,6.80820736,4.790706176,27.77079808,2.273288192,0.0
75,100,139.5,6.80820736,4.790562816,27.770540032,2.304024576,0.0
76,100,137.4,6.80820736,4.789817344,27.771830272,2.334728192,0.0
77,100,126.5,6.80820736,4.72881152,27.70868224,2.365464576,0.0
78,100,113.2,6.80820736,4.789735424,27.767001088,2.396209152,0.0
79,100,157.2,6.80820736,4.789264384,27.77061376,2.426929152,0.0
80,100,140.4,6.80820736,4.787912704,27.771068416,2.457616384,0.0
81,100,127.6,6.80820736,4.788084736,27.799195648,2.488352768,0.0
82,100,143.2,6.80820736,4.72532992,27.737264128,2.519089152,0.0
83,100,114.1,6.80820736,4.786327552,27.795914752,2.549792768,0.0
84,100,128.4,6.80820736,4.725346304,27.73702656,2.580529152,0.0
85,100,118.9,6.80820736,4.786536448,27.795587072,2.611232768,0.0
86,100,130.6,6.80820736,4.78588928,27.798167552,2.641973248,0.0
87,100,122.2,6.80820736,4.78509056,27.799457792,2.672676864,0.0
88,100,126.0,6.80820736,4.78476288,27.799457792,2.703417344,0.0
89,100,134.5,6.80820736,4.784504832,27.79971584,2.734153728,0.0
90,100,131.9,6.80820736,4.782555136,27.799973888,2.764857344,0.0
91,100,128.1,6.80820736,4.78226432,27.800489984,2.795593728,0.0
92,100,124.6,6.80820736,4.781826048,27.800231936,2.826297344,0.0
93,100,131.1,6.80820736,4.781031424,27.80100608,2.857017344,0.0
94,100,133.8,6.80820736,4.781518848,27.800489984,2.887753728,0.0
95,100,129.8,6.80820736,4.780552192,27.800489984,2.918490112,0.0
96,100,126.3,6.80820736,4.718485504,27.738042368,2.949193728,0.0
97,99,118.1,6.80820736,4.779548672,27.7956608,2.979930112,0.0
98,100,138.8,6.80820736,4.780040192,27.797725184,3.010678784,0.0
99,100,125.7,6.80820736,4.779360256,27.798499328,3.0413824,0.0
100,99,126.7,6.80820736,4.778962944,27.79953152,3.072118784,0.0
101,100,125.9,6.80820736,4.778340352,27.800563712,3.1028224,0.0
102,100,137.6,6.80820736,4.777816064,27.800305664,3.133558784,0.0
103,100,120.7,6.80820736,4.716691456,27.737157632,3.164295168,0.0
104,100,144.1,6.80820736,4.77810688,27.795992576,3.195031552,0.0
105,100,127.8,6.80820736,4.7767552,27.79805696,3.225735168,0.0
106,100,117.9,6.80820736,4.777025536,27.798573056,3.256471552,0.0
107,100,131.5,6.80820736,4.775682048,27.800121344,3.287171072,0.0
108,100,130.4,6.80820736,4.775088128,27.800379392,3.317968896,0.0
109,100,125.7,6.80820736,4.713824256,27.738447872,3.34872576,0.0
110,100,127.0,6.80820736,4.774600704,27.79529216,3.379437568,0.0
111,100,131.8,6.80820736,4.774969344,27.797614592,3.41018624,0.0
112,100,121.9,6.80820736,4.77530112,27.796189184,3.440939008,0.0
113,100,128.3,6.80820736,4.774158336,27.796963328,3.471663104,0.0
114,100,126.1,6.80820736,4.774178816,27.797737472,3.50240768,0.0
115,90,129.6,6.80820736,4.772864,27.797737472,3.533156352,0.0
116,100,128.5,6.80820736,4.772048896,27.79799552,3.563876352,0.0
117,100,136.8,6.80820736,4.770746368,27.79799552,3.594661888,0.0
118,100,133.0,6.80820736,4.771549184,27.79799552,3.625394176,0.0
119,100,135.0,6.80820736,4.771094528,27.798253568,3.65613056,0.0
120,100,125.9,6.80820736,4.770484224,27.798253568,3.68687104,0.0
121,100,127.2,6.80820736,4.769640448,27.798253568,3.717582848,0.0
