step,phase,gpu_util,cpu_util,gpu_mem_gb,cpu_mem_gb,ram_gb,io_read_gb,io_write_gb
1,forward,73.0,138.5,22.717202432,4.744753152,24.625524736,0.129536,0.0
1,backward,100.0,98.6,23.91048192,4.763017216,24.625733632,0.12996608,0.0
1,optimizer,81.0,95.5,23.9419392,4.769366016,24.625733632,0.13017088,0.0
2,forward,100.0,164.6,23.9419392,4.64689152,24.50100224,0.25116672,0.0
2,backward,100.0,99.3,23.9419392,4.64717824,24.500891648,0.25116672,0.0
2,optimizer,100.0,421.2,23.9419392,4.647186432,24.500891648,0.25116672,0.0
3,forward,100.0,143.7,23.9419392,4.647542784,24.50192384,0.372445184,0.0
3,backward,100.0,100.6,23.9419392,4.647542784,24.501702656,0.372445184,0.0
3,optimizer,100.0,0.0,23.9419392,4.647542784,24.501702656,0.372445184,0.0
4,forward,100.0,142.9,23.9419392,4.648235008,24.502448128,0.494108672,0.0
4,backward,100.0,100.0,23.9419392,4.648235008,24.501710848,0.494108672,0.0
4,optimizer,100.0,0.0,23.9419392,4.648235008,24.501710848,0.494108672,0.0
5,forward,100.0,144.3,23.9419392,4.648665088,24.499294208,0.616275968,0.0
5,backward,100.0,100.6,23.9419392,4.648665088,24.499552256,0.616275968,0.0
5,optimizer,100.0,0.0,23.9419392,4.648681472,24.499552256,0.616275968,0.0
6,forward,100.0,143.1,23.9419392,4.647858176,24.500068352,0.738369536,0.0
6,backward,100.0,100.1,23.9419392,4.647858176,24.491712512,0.738369536,0.0
6,optimizer,100.0,0.0,23.9419392,4.647862272,24.491712512,0.738369536,0.0
7,forward,100.0,145.3,23.9419392,4.647305216,24.4941824,0.861216768,0.0
7,backward,100.0,99.6,23.9419392,4.647305216,24.493961216,0.861216768,0.0
7,optimizer,100.0,0.0,23.9419392,4.647305216,24.493961216,0.861216768,0.0
8,forward,100.0,144.5,23.9419392,4.6462976,24.491896832,0.983977984,0.0
8,backward,100.0,100.2,23.9419392,4.6462976,24.492290048,0.983977984,0.0
8,optimizer,100.0,0.0,23.9419392,4.6462976,24.492290048,0.983977984,0.0
9,forward,100.0,142.6,23.9419392,4.645367808,24.494944256,1.106079744,0.0
9,backward,100.0,100.0,23.9419392,4.645367808,24.494317568,1.106079744,0.0
9,optimizer,100.0,0.0,23.9419392,4.645367808,24.494317568,1.106079744,0.0
10,forward,100.0,144.6,23.9419392,4.645339136,24.494075904,1.228959744,0.0
10,backward,100.0,101.1,23.9419392,4.645339136,24.493899776,1.228959744,0.0
10,optimizer,100.0,0.0,23.9419392,4.645339136,24.493899776,1.228959744,0.0
11,forward,100.0,143.5,23.9419392,4.64441344,24.491966464,1.351872512,0.0
11,backward,100.0,99.8,23.9419392,4.64441344,24.491966464,1.351872512,0.0
11,optimizer,100.0,0.0,23.9419392,4.64441344,24.491966464,1.351872512,0.0
12,forward,100.0,143.6,23.9419392,4.64351232,24.494583808,1.474084864,0.0
12,backward,100.0,100.4,23.9419392,4.64351232,24.494583808,1.474084864,0.0
12,optimizer,100.0,0.0,23.9419392,4.64351232,24.494583808,1.474084864,0.0
13,forward,100.0,145.1,23.9419392,4.643250176,24.49358848,1.596317696,0.0
13,backward,100.0,100.3,23.9419392,4.643250176,24.49373184,1.596317696,0.0
13,optimizer,100.0,0.0,23.9419392,4.643250176,24.49373184,1.596317696,0.0
14,forward,100.0,145.3,23.9419392,4.64173056,24.494129152,1.718996992,0.0
14,backward,100.0,99.4,23.9419392,4.64173056,24.485756928,1.718996992,0.0
14,optimizer,100.0,0.0,23.9419392,4.64173056,24.485756928,1.718996992,0.0
15,forward,100.0,144.3,23.9419392,4.641767424,24.482676736,1.841872896,0.0
15,backward,100.0,100.1,23.9419392,4.641767424,24.48308224,1.841872896,0.0
15,optimizer,100.0,0.0,23.9419392,4.64177152,24.48308224,1.841872896,0.0
16,forward,100.0,143.9,23.9419392,4.640825344,24.48492544,1.964290048,0.0
16,backward,100.0,100.1,23.9419392,4.640833536,24.484667392,1.964290048,0.0
16,optimizer,100.0,0.0,23.9419392,4.640837632,24.484667392,1.964290048,0.0
17,forward,100.0,178.9,23.9419392,4.66784256,24.489115648,2.08713728,0.0
17,backward,100.0,99.9,23.9419392,4.667908096,23.9685632,2.087145472,0.0
17,optimizer,100.0,0.0,23.9419392,4.667912192,23.9685632,2.087153664,0.0
18,forward,100.0,147.7,23.9419392,4.666290176,22.28424704,2.210000896,0.0
18,backward,100.0,100.1,23.9419392,4.666290176,22.297219072,2.210000896,0.0
18,optimizer,100.0,0.0,23.9419392,4.666290176,22.297219072,2.210000896,0.0
19,forward,100.0,147.8,23.9419392,4.665778176,22.540181504,2.332880896,0.0
19,backward,100.0,100.6,23.9419392,4.665778176,22.634561536,2.332880896,0.0
19,optimizer,100.0,0.0,23.9419392,4.665778176,22.634561536,2.332880896,0.0
20,forward,100.0,144.9,23.9419392,4.663926784,22.638047232,2.455793664,0.0
20,backward,100.0,100.9,23.9419392,4.663926784,22.716747776,2.455793664,0.0
