step,gpu_util_pct,gpu_mem_util_pct,gpu_power_w,gpu_mem_alloc_mb,gpu_mem_reserved_mb,cpu_util_pct,cpu_mem_mb,disk_read_mb,disk_write_mb
1,0.0,0.0,60.5,32.06396484375,52.0,204.9,4450.58203125,115.8984375,0.0
2,0.0,0.0,123.979,139.94384765625,22032.0,116.2,4390.80859375,238.51953125,0.0
3,0.0,0.0,161.982,139.31884765625,22032.0,115.4,4408.5234375,354.1171875,0.0
4,0.0,0.0,162.262,139.31884765625,22032.0,114.4,4436.69140625,470.09765625,0.0
5,0.0,0.0,160.358,139.31884765625,22032.0,118.1,4431.54296875,586.0390625,0.0
6,0.0,0.0,162.66,139.31884765625,22032.0,121.3,4382.65625,702.34375,0.0
7,0.0,0.0,166.743,139.31884765625,22032.0,116.5,4419.3984375,819.4296875,0.0
8,0.0,0.0,161.52,139.31884765625,22032.0,116.3,4406.21484375,936.6171875,0.0
9,0.0,0.0,175.617,139.31884765625,22032.0,116.4,4443.984375,1053.08984375,0.0
10,0.0,0.0,178.86,139.31884765625,22032.0,119.2,4444.1328125,1170.30859375,0.0
11,0.0,0.0,174.38,139.31884765625,22032.0,118.7,4443.1640625,1287.49609375,0.0
12,0.0,0.0,172.523,139.31884765625,22032.0,119.7,4442.5390625,1404.4609375,0.0
13,0.0,0.0,171.723,139.31884765625,22032.0,120.1,4441.046875,1521.6484375,0.0
14,0.0,0.0,177.385,139.31884765625,22032.0,119.9,4440.31640625,1638.8671875,0.0
15,0.0,0.0,176.573,139.31884765625,22032.0,118.7,4439.01953125,1756.0546875,0.0
16,3.0,2.0,172.592,139.31884765625,22032.0,120.0,4438.30859375,1873.2421875,0.0
17,0.0,0.0,142.153,139.31884765625,22032.0,142.6,4453.30078125,1990.7734375,0.0
18,0.0,0.0,174.894,139.31884765625,22032.0,121.5,4452.05078125,2108.015625,0.0
19,0.0,0.0,176.357,139.31884765625,22032.0,121.4,4451.48828125,2225.20703125,0.0
20,0.0,0.0,169.345,139.31884765625,22032.0,121.8,4449.7734375,2342.4296875,0.0
21,0.0,0.0,174.779,139.31884765625,22032.0,120.6,4449.19921875,2459.5859375,0.0
22,0.0,0.0,176.891,139.31884765625,22032.0,120.7,4447.953125,2576.8046875,0.0
23,0.0,0.0,170.283,139.31884765625,22032.0,121.0,4447.83203125,2694.0234375,0.0
24,5.0,3.0,184.314,139.31884765625,22032.0,119.8,4447.28515625,2811.21484375,0.0
25,0.0,0.0,173.559,139.31884765625,22032.0,120.0,4446.93359375,2928.40234375,0.0
26,0.0,0.0,184.85,139.31884765625,22032.0,118.2,4446.3359375,3045.640625,0.0
27,0.0,0.0,181.245,139.31884765625,22032.0,121.1,4445.37890625,3162.9140625,0.0
28,0.0,0.0,173.878,139.31884765625,22032.0,120.2,4444.2578125,3280.10546875,0.0
29,0.0,0.0,174.851,139.31884765625,22032.0,120.0,4443.03125,3397.3203125,0.0
30,0.0,0.0,176.66,139.31884765625,22032.0,120.9,4437.25,3514.6328125,0.0
31,0.0,0.0,191.554,139.31884765625,22032.0,110.3,4441.96484375,3631.8984375,0.0
32,0.0,0.0,177.16,139.31884765625,22032.0,120.9,4433.7265625,3749.22265625,0.0
33,0.0,0.0,161.586,139.31884765625,22032.0,121.3,4433.2421875,3865.96484375,0.0
34,0.0,0.0,175.121,139.31884765625,22032.0,113.3,4434.49609375,3982.7265625,0.0
35,24.0,19.0,177.82,139.31884765625,22032.0,110.0,4435.4375,4099.1875,0.0
36,0.0,0.0,177.447,139.31884765625,22032.0,112.0,4436.77734375,4215.44921875,0.0
37,28.0,20.0,178.184,139.31884765625,22032.0,110.3,4437.5390625,4332.19921875,0.0
38,0.0,0.0,178.276,139.31884765625,22032.0,111.1,4438.32421875,4448.9296875,0.0
39,29.0,21.0,178.697,139.31884765625,22032.0,110.4,4438.5078125,4565.91015625,0.0
40,0.0,0.0,169.368,139.31884765625,22032.0,115.9,4438.296875,4682.93359375,0.0
41,0.0,0.0,178.767,139.31884765625,22032.0,111.3,4439.35546875,4799.671875,0.0
42,0.0,0.0,181.378,139.31884765625,22032.0,110.7,4440.58203125,4916.37109375,0.0
43,0.0,0.0,191.115,139.31884765625,22032.0,109.9,4441.578125,5029.08984375,0.0
