step,gpu_util,cpu_util,gpu_mem_gb,cpu_mem_gb,ram_gb,io_read_gb,io_write_gb
1,0.0,0.0,1.781334016,4.750987264,26.529415168,0.011603968,0.0
2,0.0,1.2,1.781334016,4.758642688,26.4681472,0.01550336,0.0
3,0.0,0.0,1.781334016,4.766449664,26.493689856,0.019349504,0.0
4,0.0,0.0,1.781334016,4.770414592,26.528800768,0.02318336,0.0
5,66.0,0.0,1.781334016,4.774121472,26.52905472,0.027017216,0.0
6,66.0,0.0,1.781334016,4.778057728,26.52905472,0.03088384,0.0
7,0.0,5.9,1.781334016,4.71492608,26.535489536,0.034717696,0.0
8,4.0,0.0,1.781334016,4.718854144,26.471735296,0.038551552,0.0
9,4.0,0.0,1.781334016,4.722561024,26.56126976,0.042385408,0.0
10,66.0,6.7,1.781334016,4.726255616,26.532569088,0.046219264,0.0
11,66.0,0.0,1.781334016,4.730421248,26.531528704,0.05005312,0.0
12,66.0,0.0,1.781334016,4.734128128,26.544349184,0.053919744,0.0
13,60.0,0.0,1.781334016,4.738052096,26.615353344,0.0577536,0.0
14,60.0,0.0,1.781334016,4.742025216,26.616266752,0.061587456,0.0
15,67.0,6.7,1.781334016,4.745736192,26.55903744,0.065421312,0.0
16,67.0,0.0,1.781334016,4.749684736,26.613727232,0.069255168,0.0
17,62.0,0.0,1.781334016,4.753412096,26.61371904,0.073089024,0.0
18,62.0,10.0,1.781334016,4.757159936,26.57234944,0.076967936,0.0
19,62.0,0.0,1.781334016,4.76092416,26.52829696,0.080801792,0.0
20,63.0,0.0,1.781334016,4.764925952,26.589302784,0.084668416,0.0
21,63.0,0.0,1.781334016,4.768923648,26.67730944,0.088502272,0.0
22,65.0,0.0,1.781334016,4.77267968,26.748796928,0.092336128,0.0
23,65.0,0.0,1.781334016,4.776415232,26.748780544,0.096169984,0.0
24,0.0,0.0,1.781334016,4.6959616,26.560434176,0.10000384,0.0
25,0.0,0.0,1.781334016,4.699713536,26.534170624,0.103837696,0.0
26,0.0,0.0,1.781334016,4.703465472,26.533113856,0.10770432,0.0
27,69.0,0.0,1.781334016,4.707201024,26.531794944,0.111538176,0.0
28,69.0,0.0,1.781334016,4.711370752,26.52915712,0.115372032,0.0
29,69.0,0.0,1.781334016,4.715118592,26.528100352,0.119205888,0.0
30,60.0,12.5,1.781334016,4.71885824,26.528083968,0.123039744,0.0
31,60.0,0.0,1.781334016,4.722806784,26.527797248,0.126906368,0.0
32,73.0,0.0,1.781334016,4.72651776,26.527531008,0.130719744,0.0
33,73.0,0.0,1.781334016,4.730486784,26.527780864,0.134586368,0.0
34,73.0,0.0,1.781334016,4.734472192,26.527780864,0.138420224,0.0
35,68.0,0.0,1.781334016,4.738199552,26.543505408,0.14225408,0.0
36,68.0,0.0,1.781334016,4.741935104,26.527961088,0.146087936,0.0
37,68.0,0.0,1.781334016,4.745658368,26.527961088,0.149921792,0.0
38,80.0,0.0,1.781334016,4.749389824,26.528423936,0.153772032,0.0
39,80.0,0.0,1.781334016,4.75336704,26.528415744,0.157622272,0.0
40,80.0,0.0,1.781334016,4.757090304,26.528415744,0.161456128,0.0
41,80.0,0.0,1.781334016,4.761071616,26.528923648,0.165289984,0.0
42,80.0,0.0,1.781334016,4.765024256,26.528923648,0.16912384,0.0
43,80.0,0.0,1.781334016,4.768780288,26.528657408,0.172990464,0.0
44,80.0,0.0,1.781334016,4.772769792,26.528391168,0.17682432,0.0
45,80.0,0.0,1.781334016,4.77650944,26.528124928,0.180666368,0.0
46,80.0,0.0,1.781334016,4.780244992,26.528116736,0.184500224,0.0
47,80.0,0.0,1.781334016,4.780544,26.528116736,0.18833408,0.0
48,80.0,0.0,1.781334016,4.780744704,26.528079872,0.192167936,0.0
49,80.0,12.5,1.781334016,4.779626496,26.528534528,0.196001792,0.0
50,73.0,0.0,1.781334016,4.780032,26.528526336,0.19984384,0.0
51,73.0,0.0,1.781334016,4.780818432,26.528526336,0.203677696,0.0
52,73.0,0.0,1.781334016,4.78083072,26.529042432,0.207511552,0.0
53,77.0,0.0,1.781334016,4.780855296,26.528989184,0.211378176,0.0
54,77.0,0.0,1.781334016,4.779798528,26.528411648,0.215212032,0.0
55,76.0,0.0,1.781334016,4.780367872,26.528669696,0.219029504,0.0
56,76.0,0.0,1.781334016,4.780232704,26.528669696,0.222879744,0.0
57,76.0,6.7,1.781334016,4.780163072,26.528669696,0.2267136,0.0
58,73.0,0.0,1.781334016,4.779798528,26.528669696,0.230580224,0.0
