step,forward_ms,backward_ms,optimizer_ms
1,1773.838449,653.526894,52.086314
2,245.864109,567.217419,3.601219
3,247.3698,571.084131,2.126459
4,247.688184,568.117501,2.167799
5,246.911484,565.889011,3.483937
6,246.110363,566.59586,2.294761
7,246.349146,568.854721,3.205194
8,247.861846,568.73305,3.978973
9,244.818495,562.039198,1.956247
10,244.675454,563.339556,2.733327
11,246.942814,563.317496,1.962746
12,245.490474,563.881313,2.28332
13,245.97646,565.701347,3.74083
14,246.393447,563.60415,3.597109
15,244.865286,564.249559,1.972107
16,247.138047,566.130934,1.907346
17,247.378401,565.966541,1.966047
18,247.35615,565.980032,1.982857
19,247.228659,564.776395,1.866925
20,246.959415,565.715428,1.770364
21,246.476728,567.551443,1.766984
22,247.296789,565.969482,2.384522
23,246.954104,566.456208,1.792434
24,247.500942,569.021113,1.775454
25,247.905646,569.053643,1.850615
26,248.034759,568.136031,1.954596
27,248.024199,567.866687,1.784014
28,248.726768,568.821039,1.988496
29,249.011562,569.56299,1.781314
30,248.679668,570.836167,1.763443
31,248.015759,570.26826,1.885885
32,248.237082,570.910958,1.800874
33,248.683227,569.261166,1.802255
34,249.006842,571.276883,2.077387
35,248.701349,571.503896,1.801314
36,248.927521,571.992663,1.772933
37,250.263359,572.350487,1.788334
38,248.033238,571.829071,2.134149
39,249.319296,571.955243,1.776914
40,249.845964,571.540816,2.020318
41,248.609926,569.990766,1.789014
42,249.878154,571.617208,2.291881
43,249.093673,572.945355,1.779274
44,248.699798,573.638055,3.478267
45,250.28334,571.980562,1.780914
46,248.947071,573.418893,2.110498
47,250.324589,574.832032,1.887965
48,250.231349,574.246364,2.039227
49,249.149935,575.272957,1.834725
50,252.370217,575.242337,2.556355
51,251.275823,575.252247,1.779784
52,248.88363,575.367569,1.808514
53,251.186151,573.924759,1.769824
54,249.137685,575.007343,1.912296
55,251.76495,577.665939,1.980896
56,255.067954,575.836925,1.800115
57,254.7968,574.020021,1.784714
58,250.117947,576.044227,1.937317
59,251.522816,577.503707,1.895126
60,252.642961,576.833399,2.26726
61,252.948275,578.43958,1.813915
62,252.938015,577.65025,1.929916
63,251.428594,577.893143,1.803034
64,251.507955,577.158873,1.801685
65,251.384164,579.2029,1.957097
66,252.549699,579.597366,1.855465
67,252.422678,579.569925,1.777554
68,253.217739,577.835302,2.011917
69,252.861694,578.318078,1.776804
70,252.243696,578.292278,1.779544
71,251.627827,578.575692,2.094038
72,250.877078,577.944353,1.776814
73,253.153858,580.073442,1.804614
74,253.257559,578.545102,1.983117
75,252.785953,579.089059,1.785124
76,252.675301,578.234938,2.044177
77,251.847041,579.97904,2.069178
78,251.879771,578.846856,1.766024
79,252.766873,580.415686,1.803784
80,253.376791,580.497787,1.907386
81,252.914625,580.507858,1.810555
82,253.092607,580.144764,1.827514
83,252.232096,579.045898,1.919476
84,252.164115,580.589689,1.969047
85,253.481133,581.229857,1.793965
86,258.318198,546.534899,1.810715
