step,gpu_util,cpu_util,gpu_mem_gb,cpu_mem_gb,ram_gb,io_read_gb,io_write_gb
1,4.0,0.0,1.380777984,1.949933568,17.793544192,0.0,0.0
2,4.0,0.0,1.41852672,1.951789056,17.795608576,0.0,0.0
3,15.0,0.0,1.41852672,1.953693696,17.797414912,0.0,0.0
4,15.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
5,15.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
6,15.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
7,15.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
8,15.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
9,78.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
10,78.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
11,78.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
12,78.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
13,78.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
14,78.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
15,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
16,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
17,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
18,91.0,3250.9,1.41852672,1.953968128,17.797414912,0.0,0.0
19,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
20,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
21,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
22,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
23,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
24,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
25,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
26,91.0,3180.0,1.41852672,1.953968128,17.797414912,0.0,0.0
27,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
28,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
29,91.0,3306.8,1.41852672,1.953968128,17.797414912,0.0,0.0
30,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
31,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
32,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
33,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
34,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
35,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
36,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
37,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
38,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
39,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
40,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
41,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
42,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
43,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
44,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
45,90.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
46,90.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
47,90.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
48,90.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
49,90.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
50,90.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
51,90.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
52,91.0,3219.8,1.41852672,1.953968128,17.797414912,0.0,0.0
53,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
54,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
55,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
56,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
57,91.0,3273.5,1.41852672,1.953968128,17.797414912,0.0,0.0
58,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
59,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
60,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
61,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
62,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
63,91.0,0.0,1.41852672,1.953968128,17.797414912,0.0,0.0
