step,forward_ms,backward_ms,optimizer_ms
1,217.027796,85.789223,36.722925
2,15.717568,38.436617,1.744013
3,16.391737,39.4081,1.768843
4,16.508538,38.296776,1.704172
5,16.456237,38.884553,1.710623
6,16.532218,38.814612,1.711582
7,16.426507,38.65924,1.701343
8,16.431257,38.503418,1.705963
9,16.373576,38.329256,1.740182
10,16.351926,38.287176,1.702623
11,16.207963,38.164414,1.705263
12,16.129543,38.023442,1.712773
13,16.078252,38.764282,1.716133
14,16.288665,38.802353,1.711393
15,16.302306,38.61683,1.723633
16,16.298125,38.327426,1.725123
17,16.316296,38.329046,1.710093
18,16.339316,38.421657,1.707513
19,16.222034,38.026882,1.701603
20,16.106294,38.059592,1.706663
21,16.122973,38.120333,1.714543
22,16.073472,38.528089,1.707963
23,16.194004,38.850483,1.722703
24,16.311886,38.837532,1.708783
25,16.373416,38.58775,1.715333
26,16.365326,38.366566,1.724792
27,16.334315,38.440278,1.717543
28,16.344905,38.237274,1.708742
29,16.220494,37.995022,1.706333
30,16.134013,38.028062,1.705373
31,16.201534,38.009302,1.766433
32,16.231604,39.210207,1.726843
33,16.471267,39.113966,1.719682
34,16.402367,39.096856,1.714873
35,16.438557,38.892004,1.711533
36,16.425117,38.417777,1.704902
37,16.378807,38.427607,1.710333
38,16.378746,38.379867,1.710062
39,16.368116,38.322945,1.708463
40,16.256175,38.326326,1.701713
41,16.293505,38.157684,1.716183
42,16.166743,38.265095,1.713532
43,16.147174,39.078316,1.705153
44,16.461537,39.107216,1.711253
45,16.445927,38.858753,1.719853
46,16.403947,38.707431,1.701943
47,16.293416,38.332976,1.705732
48,16.338816,38.61793,1.710112
49,16.359346,38.252625,1.702522
50,16.285975,38.140854,1.714263
51,16.159493,38.039143,1.723133
52,16.144563,39.063656,1.712712
53,16.440927,38.851644,1.702262
54,16.272895,39.008196,1.719962
55,16.373477,39.080716,1.714392
56,16.441757,38.976375,1.713472
57,16.435678,38.691251,1.711762
58,16.322796,38.497379,1.858494
59,16.400427,38.565299,1.704103
60,16.398987,38.451837,1.698122
61,16.341856,38.349296,1.707443
62,16.257095,38.269655,1.705823
63,16.250844,38.311825,1.727392
64,16.187023,38.546119,1.709633
65,16.230125,39.227767,1.709112
66,16.436466,39.127498,1.705962
67,16.445137,38.987345,1.722573
68,16.495918,38.863363,1.720443
69,16.445317,38.487188,1.712803
70,16.357386,38.686601,1.723873
71,16.459567,38.637351,1.716993
72,16.392436,38.430988,1.704922
73,16.396657,38.314445,1.712982
74,16.240004,38.300576,1.722263
75,16.279275,38.313506,1.718983
76,16.178264,38.862693,1.701873
77,16.285325,39.236598,1.727903
78,16.450587,39.115826,1.716333
79,16.474297,39.033746,1.719532
80,16.470897,38.853413,1.731273
81,16.437317,38.461768,1.718783
82,16.368936,38.513048,1.710032
83,16.384207,38.491338,1.709043
84,16.346496,38.311216,1.709293
85,16.255645,38.311676,1.705373
86,16.243885,38.365286,1.856345
87,16.128612,38.361157,1.715723
88,16.273795,39.037496,1.705833
89,16.310575,38.986005,1.697013
90,16.408546,39.168027,1.716472
91,16.486888,38.810872,1.720923
92,16.431457,38.707021,1.710853
93,16.430967,38.664241,1.711593
94,16.463667,38.61168,1.716473
95,16.392156,38.404087,1.705873
96,16.363016,38.332756,1.701112
97,16.275275,38.326186,1.709682
98,16.298015,38.336336,1.713052
99,16.206254,38.909813,1.708452
100,16.297516,39.165217,1.735323
101,16.457047,39.120627,1.733853
102,16.462127,39.061677,1.704432
103,16.532539,38.979864,1.726753
104,16.416966,38.690951,1.718403
105,16.436437,38.628569,1.700933
106,16.468187,38.657851,1.721373
107,16.375846,38.469707,1.712363
108,16.393247,38.345596,1.696053
109,16.285525,38.288596,1.707472
110,16.273505,38.320376,1.721542
111,16.188064,38.846483,1.713063
112,16.342096,39.213518,1.706692
113,16.445937,39.304809,1.737843
114,16.460918,39.128327,1.717962
115,16.456277,38.859113,1.712723
116,16.433137,38.738422,1.715443
117,16.445377,38.68789,1.715202
118,16.486789,38.64381,1.711872
119,16.399877,38.533339,1.706902
120,16.375607,38.309866,1.710182
121,16.304495,38.317956,1.712752
122,18.768579,38.498098,1.864335
123,16.339235,38.280576,1.720763
124,16.176553,38.318547,1.711932
125,16.234134,39.267129,1.714313
126,16.435007,39.226618,1.718063
127,16.450267,38.997215,1.716093
128,16.453327,39.106397,1.712052
129,16.529098,38.960685,1.713702
130,16.404887,38.701971,1.735903
131,16.470057,38.575449,1.730553
132,16.478548,38.832072,1.712903
133,16.476908,38.61289,1.726463
134,16.410237,38.374676,1.714363
135,16.271684,38.252966,1.705652
136,16.281024,38.299535,1.713913
137,16.208195,38.554379,1.728753
138,16.253445,39.200098,1.726453
139,16.455328,39.249928,1.712433
140,16.440327,39.082586,1.731882
141,16.505439,38.955834,1.706843
142,16.413717,38.758902,1.698973
143,16.444137,38.680352,1.724922
144,16.475888,38.811302,1.730762
145,16.490728,38.567889,1.703842
146,16.384457,38.297196,1.726632
147,16.292915,38.346976,1.725963
148,16.261844,38.350567,1.709362
149,16.252295,39.264888,1.718703
150,16.464868,39.267709,1.722323
151,16.498458,39.189268,1.709372
152,16.521258,38.830513,1.715812
153,16.457077,38.751162,1.734603
154,16.480598,38.787962,1.717273
155,16.467368,38.60753,1.713623
156,16.367606,38.61352,1.723893
157,16.375787,38.509288,1.712943
158,16.218755,38.700591,1.736813
159,16.438777,38.499869,1.727353
160,16.266305,38.748262,1.721493
161,16.325905,38.797983,1.720283
162,16.383877,38.463778,1.721442
163,16.329176,38.407117,1.719653
164,16.343876,38.515218,1.721253
165,16.343407,38.244284,1.715063
166,16.244095,38.073583,1.716633
167,16.130043,38.097143,1.704082
168,16.137913,38.104503,1.713763
169,16.112723,38.960815,1.725583
170,16.312415,38.975565,1.717422
171,16.346156,38.768512,1.709952
172,16.280505,38.346616,1.714993
173,16.303336,38.479738,1.718362
174,16.349056,38.472868,1.712373
175,16.327745,38.280135,1.705602
176,16.252135,38.077472,1.714602
177,16.158523,38.085573,1.702483
178,16.137263,38.233085,1.721763
179,16.124763,38.974124,1.712753
180,16.323256,38.830873,1.707542
181,16.371026,38.6374,1.711452
182,16.258764,38.385727,1.714152
183,16.344505,38.333947,1.729193
184,16.265075,38.151054,1.721503
185,16.222325,38.099252,1.719423
186,16.133663,38.055733,1.714543
187,16.133983,38.243965,1.714293
