step,phase,gpu_util,cpu_util,gpu_mem_gb,cpu_mem_gb,ram_gb,io_read_gb,io_write_gb
1,forward,4.0,0.0,1.634533376,1.960460288,17.838997504,0.0,0.0
1,backward,4.0,88.3,1.745682432,2.042703872,17.900929024,0.0,0.0
1,optimizer,4.0,105.7,1.781334016,2.085134336,17.936769024,0.0,0.0
2,forward,4.0,233.4,1.781334016,2.088988672,17.940897792,0.0,0.0
2,backward,4.0,107.0,1.781334016,2.088988672,17.94115584,0.0,0.0
2,optimizer,4.0,0.0,1.781334016,2.088988672,17.94115584,0.0,0.0
3,forward,4.0,325.4,1.781334016,2.092908544,17.944768512,0.0,0.0
3,backward,4.0,103.3,1.781334016,2.092908544,17.94502656,0.0,0.0
3,optimizer,4.0,0.0,1.781334016,2.092908544,17.94502656,0.0,0.0
4,forward,41.0,269.9,1.781334016,2.096832512,17.948381184,0.0,0.0
4,backward,41.0,103.5,1.781334016,2.096832512,17.948381184,0.0,0.0
4,optimizer,41.0,0.0,1.781334016,2.096832512,17.948381184,0.0,0.0
5,forward,41.0,324.6,1.781334016,2.100621312,17.952509952,0.0,0.0
5,backward,41.0,104.0,1.781334016,2.100621312,17.952509952,0.0,0.0
5,optimizer,41.0,0.0,1.781334016,2.100621312,17.952509952,0.0,0.0
6,forward,41.0,344.7,1.781334016,2.100944896,17.952509952,0.0,0.0
6,backward,41.0,77.8,1.781334016,2.100944896,17.952509952,0.0,0.0
6,optimizer,41.0,547.7,1.781334016,2.100944896,17.952509952,0.0,0.0
7,forward,41.0,286.3,1.781334016,2.100944896,17.952509952,0.0,0.0
7,backward,93.0,103.2,1.781334016,2.100944896,17.952509952,0.0,0.0
7,optimizer,93.0,0.0,1.781334016,2.100944896,17.952509952,0.0,0.0
8,forward,93.0,285.0,1.781334016,2.100944896,17.952509952,0.0,0.0
8,backward,93.0,102.6,1.781334016,2.100944896,17.952509952,0.0,0.0
8,optimizer,93.0,0.0,1.781334016,2.100944896,17.952509952,0.0,0.0
9,forward,93.0,287.0,1.781334016,2.100944896,17.952509952,0.0,0.0
9,backward,93.0,102.4,1.781334016,2.100944896,17.952509952,0.0,0.0
9,optimizer,93.0,0.0,1.781334016,2.100944896,17.952509952,0.0,0.0
10,forward,93.0,341.8,1.781334016,2.100944896,17.952509952,0.0,0.0
10,backward,93.0,102.0,1.781334016,2.100944896,17.952509952,0.0,0.0
10,optimizer,93.0,0.0,1.781334016,2.100944896,17.952509952,0.0,0.0
11,forward,93.0,283.0,1.781334016,2.100944896,17.952509952,0.0,0.0
11,backward,93.0,102.4,1.781334016,2.100944896,17.952509952,0.0,0.0
11,optimizer,93.0,0.0,1.781334016,2.100944896,17.952509952,0.0,0.0
12,forward,93.0,282.9,1.781334016,2.100944896,17.952509952,0.0,0.0
12,backward,93.0,102.0,1.781334016,2.100944896,17.952509952,0.0,0.0
12,optimizer,93.0,0.0,1.781334016,2.100944896,17.952509952,0.0,0.0
13,forward,93.0,338.8,1.781334016,2.100944896,17.952509952,0.0,0.0
13,backward,93.0,102.9,1.781334016,2.100944896,17.952509952,0.0,0.0
13,optimizer,93.0,0.0,1.781334016,2.100944896,17.952509952,0.0,0.0
14,forward,93.0,339.5,1.781334016,2.100944896,17.952509952,0.0,0.0
14,backward,94.0,103.5,1.781334016,2.100944896,17.952509952,0.0,0.0
14,optimizer,94.0,0.0,1.781334016,2.100944896,17.952509952,0.0,0.0
15,forward,94.0,284.7,1.781334016,2.100944896,17.952509952,0.0,0.0
15,backward,94.0,103.3,1.781334016,2.100944896,17.952509952,0.0,0.0
15,optimizer,94.0,0.0,1.781334016,2.100944896,17.952509952,0.0,0.0
16,forward,94.0,337.3,1.781334016,2.100944896,17.952509952,0.0,0.0
16,backward,94.0,103.4,1.781334016,2.100944896,17.952509952,0.0,0.0
16,optimizer,94.0,0.0,1.781334016,2.100944896,17.952509952,0.0,0.0
17,forward,94.0,228.3,1.781334016,2.100944896,17.952509952,0.0,0.0
17,backward,93.0,104.3,1.781334016,2.100944896,17.952509952,0.0,0.0
17,optimizer,93.0,0.0,1.781334016,2.100944896,17.952509952,0.0,0.0
18,forward,93.0,342.3,1.781334016,2.100944896,17.952509952,0.0,0.0
18,backward,93.0,78.4,1.781334016,2.100944896,17.952509952,0.0,0.0
18,optimizer,93.0,546.4,1.781334016,2.100944896,17.952509952,0.0,0.0
19,forward,93.0,287.1,1.781334016,2.100944896,17.952509952,0.0,0.0
19,backward,93.0,104.6,1.781334016,2.100944896,17.952768,0.0,0.0
19,optimizer,93.0,0.0,1.781334016,2.100944896,17.952768,0.0,0.0
20,forward,93.0,286.2,1.781334016,2.100944896,17.952768,0.0,0.0
20,backward,93.0,104.7,1.781334016,2.100944896,17.952768,0.0,0.0
20,optimizer,93.0,0.0,1.781334016,2.100944896,17.952768,0.0,0.0
21,forward,93.0,346.4,1.781334016,2.100944896,17.952768,0.0,0.0
21,backward,94.0,77.6,1.781334016,2.100944896,17.952768,0.0,0.0
21,optimizer,94.0,549.0,1.781334016,2.100944896,17.952768,0.0,0.0
22,forward,94.0,285.4,1.781334016,2.100944896,17.952768,0.0,0.0
22,backward,94.0,101.6,1.781334016,2.100944896,17.952768,0.0,0.0
22,optimizer,94.0,0.0,1.781334016,2.100944896,17.952768,0.0,0.0
23,forward,94.0,282.4,1.781334016,2.100944896,17.952768,0.0,0.0
23,backward,94.0,101.9,1.781334016,2.100944896,17.952768,0.0,0.0
23,optimizer,94.0,0.0,1.781334016,2.100944896,17.952768,0.0,0.0
24,forward,94.0,339.8,1.781334016,2.100944896,17.952768,0.0,0.0
24,backward,93.0,102.0,1.781334016,2.100944896,17.952768,0.0,0.0
24,optimizer,93.0,0.0,1.781334016,2.100944896,17.952768,0.0,0.0
25,forward,93.0,340.2,1.781334016,2.100944896,17.952768,0.0,0.0
25,backward,93.0,102.3,1.781334016,2.100944896,17.952768,0.0,0.0
25,optimizer,93.0,0.0,1.781334016,2.100944896,17.952768,0.0,0.0
26,forward,93.0,283.0,1.781334016,2.100944896,17.952768,0.0,0.0
26,backward,93.0,103.1,1.781334016,2.100944896,17.952768,0.0,0.0
26,optimizer,93.0,0.0,1.781334016,2.100944896,17.952768,0.0,0.0
27,forward,93.0,284.4,1.781334016,2.100944896,17.952768,0.0,0.0
27,backward,93.0,103.3,1.781334016,2.100944896,17.952768,0.0,0.0
27,optimizer,93.0,0.0,1.781334016,2.100944896,17.952768,0.0,0.0
28,forward,94.0,282.8,1.781334016,2.100944896,17.952768,0.0,0.0
28,backward,94.0,103.0,1.781334016,2.100944896,17.952768,0.0,0.0
28,optimizer,94.0,0.0,1.781334016,2.100944896,17.952768,0.0,0.0
29,forward,94.0,339.8,1.781334016,2.100944896,17.952768,0.0,0.0
29,backward,94.0,103.4,1.781334016,2.100944896,17.952768,0.0,0.0
29,optimizer,94.0,0.0,1.781334016,2.100944896,17.952768,0.0,0.0
30,forward,94.0,282.4,1.781334016,2.100944896,17.952768,0.0,0.0
30,backward,94.0,103.4,1.781334016,2.100944896,17.952768,0.0,0.0
30,optimizer,94.0,0.0,1.781334016,2.100944896,17.952768,0.0,0.0
31,forward,94.0,340.9,1.781334016,2.100944896,17.952768,0.0,0.0
31,backward,94.0,103.8,1.781334016,2.100944896,17.952768,0.0,0.0
31,optimizer,94.0,0.0,1.781334016,2.100944896,17.952768,0.0,0.0
32,forward,94.0,284.3,1.781334016,2.100944896,17.952768,0.0,0.0
32,backward,94.0,104.6,1.781334016,2.100944896,17.952768,0.0,0.0
32,optimizer,94.0,0.0,1.781334016,2.100944896,17.952768,0.0,0.0
33,forward,94.0,287.9,1.781334016,2.100944896,17.952768,0.0,0.0
33,backward,94.0,104.7,1.781334016,2.100944896,17.952768,0.0,0.0
33,optimizer,94.0,0.0,1.781334016,2.100944896,17.952768,0.0,0.0
34,forward,94.0,343.9,1.781334016,2.100944896,17.952768,0.0,0.0
34,backward,94.0,78.3,1.781334016,2.100944896,17.952768,0.0,0.0
34,optimizer,94.0,0.0,1.781334016,2.100944896,17.952768,0.0,0.0
35,forward,93.0,288.1,1.781334016,2.100944896,17.952768,0.0,0.0
35,backward,93.0,102.4,1.781334016,2.100944896,17.952768,0.0,0.0
35,optimizer,93.0,0.0,1.781334016,2.100944896,17.952768,0.0,0.0
36,forward,93.0,283.9,1.781334016,2.100944896,17.952768,0.0,0.0
36,backward,93.0,101.8,1.781334016,2.100944896,17.952768,0.0,0.0
