step,forward_ms,backward_ms,optimizer_ms
1,231.972006,115.273574,40.615887
2,29.321244,75.599059,1.828645
3,30.497661,74.564154,1.792274
4,30.766754,77.045389,1.799934
5,30.895337,75.932733,1.789504
6,30.749735,76.958397,1.792224
7,30.887356,76.532761,1.784594
8,31.059579,76.706744,1.787144
9,30.923376,77.446564,1.788624
10,30.948227,76.146017,1.800304
11,30.791834,77.406164,1.801914
12,30.804165,76.821206,1.793724
13,30.995697,76.341839,1.917876
14,30.906557,78.280375,1.803894
15,30.733723,77.420233,1.804424
16,30.929887,76.638873,1.819324
17,30.898306,75.992184,1.788764
18,30.783025,78.115712,1.783454
19,30.770624,77.112369,1.786514
20,31.042528,76.528622,1.801424
21,30.966396,76.877576,1.791084
22,30.940957,75.991834,1.796224
23,31.661806,77.474694,1.801215
24,30.871876,77.075458,1.799504
25,31.072458,76.205357,1.797104
26,30.755745,77.106048,1.793794
27,30.928477,76.795365,1.796264
28,31.099789,76.379159,1.801204
29,30.676414,77.107759,1.807594
30,30.926307,76.625302,1.917425
31,30.982087,75.925393,1.795474
32,30.629192,77.155989,1.798774
33,30.928887,76.310899,1.805794
34,31.084669,76.615292,1.800904
35,30.725834,77.789169,1.791464
36,30.931907,76.994197,1.801014
37,31.033668,76.250828,1.804964
38,30.715954,77.238991,1.797864
39,31.099899,76.747425,1.801154
40,31.126929,77.1559,1.800575
41,30.801316,77.477404,1.785864
42,30.948397,76.234087,1.792465
43,30.961907,77.243371,1.789344
44,30.978927,77.409564,1.800594
45,30.956207,76.218907,1.795265
46,30.814724,76.751785,1.797544
47,30.964838,77.430064,1.802704
48,31.173719,76.327098,1.830175
49,30.759065,77.389422,1.812654
50,31.009247,77.966601,1.801174
51,31.054839,76.776104,1.799815
52,31.026588,77.210951,1.802134
53,30.727174,77.271711,1.789515
54,31.088498,76.675383,1.799664
55,31.135299,77.342942,1.810595
56,30.718913,77.444074,1.791074
57,31.006678,76.820565,1.802054
58,31.19447,76.532511,1.813225
59,30.833726,77.502974,1.799565
60,30.901626,76.787685,1.804635
61,31.084519,77.038688,1.801534
62,30.704794,77.782938,1.789424
63,31.019598,76.950556,1.807465
64,31.270721,76.498781,1.809905
65,30.946767,79.044975,1.848015
66,31.99073,77.139899,1.800265
67,31.026848,76.623882,1.800874
68,30.880496,77.616296,1.800004
69,30.892896,77.028328,1.795644
70,31.19682,76.506291,1.801474
71,30.834555,77.671946,1.795644
72,32.271895,77.035818,1.788274
73,31.044159,76.616222,1.801344
74,30.952797,77.646146,1.788214
75,31.061519,77.157189,1.786484
76,31.128879,76.752685,1.792894
77,30.859846,77.646425,1.803794
78,31.032778,77.15013,1.789294
79,31.16109,76.685563,1.797544
80,31.031549,78.016711,1.797084
81,30.929547,77.451763,1.808654
82,31.084359,76.678073,1.796414
83,31.316642,77.96574,1.859805
84,30.976497,77.91263,1.806844
85,31.10628,76.683853,1.797574
86,31.105049,77.84311,1.801494
87,31.964941,77.494414,1.784364
88,31.045578,77.429944,1.788984
89,31.334612,76.525031,1.788104
90,30.962557,77.457524,1.838175
91,31.050119,76.864775,1.804094
92,31.179941,77.228481,1.793304
93,30.869606,77.781228,1.788224
94,31.035578,77.437194,1.795804
95,31.362502,76.630923,1.797914
96,30.856476,77.495674,1.801414
97,31.051458,76.801655,1.799524
98,31.14026,77.341443,1.811614
99,31.169399,77.430794,1.801424
100,31.241951,76.757394,1.941957
101,30.983147,78.096562,1.797334
102,31.1764,77.870109,1.798614
103,31.379472,76.713694,1.813345
104,31.092439,77.730517,1.814005
105,30.908166,77.421074,1.798494
106,31.052688,77.205671,1.814035
107,31.2193,77.14491,1.791684
108,30.833495,77.473585,1.798454
109,31.16617,77.115379,1.813255
110,31.17184,76.741834,1.792104
111,30.908526,77.706068,1.791674
112,31.188261,77.454333,1.799794
113,31.434413,77.331052,1.795884
114,30.948377,77.770237,1.784085
115,31.20387,77.811269,1.790634
116,31.074669,77.156739,1.794735
117,31.057859,77.816488,2.256921
118,31.340582,76.979427,1.826625
119,31.14827,77.558075,1.820185
120,31.298892,77.694197,1.807554
121,31.206341,76.725014,1.799124
122,31.076349,78.051442,1.811964
123,31.291862,77.671437,1.816484
124,31.387223,76.933356,1.791194
125,31.89495,77.713907,1.801834
126,31.048147,77.403883,1.803124
127,31.472124,77.784099,1.790844
128,31.17969,78.591659,1.806585
129,31.294222,77.285052,1.811165
130,31.437014,77.837259,1.789164
131,31.044729,77.768878,1.818375
132,31.27053,77.519294,1.796885
133,31.471894,77.376393,1.804004
134,31.194399,77.555865,1.802704
135,32.213544,77.046358,1.803095
136,31.225921,77.516724,1.798674
137,31.299062,77.825448,1.813795
138,31.392963,76.885006,1.812045
139,30.917486,77.828859,1.796414
