step,gpu_util,cpu_util,gpu_mem_gb,cpu_mem_gb,ram_gb,io_read_gb,io_write_gb
1,45.0,0.0,2.485977088,1.884729344,16.732889088,0.0,0.0
2,45.0,0.0,2.523725824,1.885278208,16.734953472,0.0,0.0
3,69.0,0.0,2.523725824,1.885421568,16.734695424,0.0,0.0
4,69.0,0.0,2.523725824,1.892995072,16.740364288,0.0,0.0
5,96.0,0.0,2.523725824,1.900703744,16.74784768,0.0,0.0
6,96.0,0.0,2.523725824,1.9009536,16.74784768,0.0,0.0
7,95.0,0.0,2.523725824,1.9009536,16.74784768,0.0,0.0
8,95.0,0.0,2.523725824,1.9009536,16.74784768,0.0,0.0
9,95.0,0.0,2.523725824,1.9009536,16.74784768,0.0,0.0
10,94.0,0.0,2.523725824,1.90851072,16.75558912,0.0,0.0
11,94.0,0.0,2.523725824,1.893404672,16.741654528,0.0,0.0
12,94.0,0.0,2.523725824,1.900617728,16.747966464,0.0,0.0
13,94.0,0.0,2.523725824,1.908609024,16.755449856,0.0,0.0
14,96.0,0.0,2.523725824,1.893728256,16.740999168,0.0,0.0
15,96.0,0.0,2.523725824,1.901187072,16.7478272,0.0,0.0
16,94.0,0.0,2.523725824,1.908690944,16.755310592,0.0,0.0
17,93.0,0.0,2.523725824,1.91647744,16.763568128,0.0,0.0
18,93.0,0.0,2.523725824,1.893728256,16.742924288,0.0,0.0
19,94.0,0.0,2.523725824,1.900879872,16.747569152,0.0,0.0
20,94.0,0.0,2.523725824,1.90867456,16.75503616,0.0,0.0
21,96.0,0.0,2.523725824,1.908957184,16.755294208,0.0,0.0
22,96.0,0.0,2.523725824,1.908957184,16.755810304,0.0,0.0
23,95.0,0.0,2.523725824,1.893728256,16.741359616,0.0,0.0
24,94.0,0.0,2.523725824,1.900937216,16.74815488,0.0,0.0
25,94.0,0.0,2.523725824,1.901277184,16.74815488,0.0,0.0
26,96.0,0.0,2.523725824,1.901277184,16.74815488,0.0,0.0
27,96.0,0.0,2.523725824,1.908555776,16.755638272,0.0,0.0
28,94.0,0.0,2.523725824,1.893728256,16.74170368,0.0,0.0
29,94.0,0.0,2.523725824,1.901125632,16.747757568,0.0,0.0
30,96.0,0.0,2.523725824,1.9088384,16.755757056,0.0,0.0
31,96.0,0.0,2.523725824,1.893728256,16.741306368,0.0,0.0
32,94.0,0.0,2.523725824,1.9009536,16.748392448,0.0,0.0
33,93.0,0.0,2.523725824,1.908584448,16.755359744,0.0,0.0
34,93.0,0.0,2.523725824,1.893728256,16.741425152,0.0,0.0
35,94.0,0.0,2.523725824,1.900986368,16.747737088,0.0,0.0
36,94.0,0.0,2.523725824,1.908789248,16.755478528,0.0,0.0
37,96.0,0.0,2.523725824,1.893728256,16.74102784,0.0,0.0
38,96.0,0.0,2.523725824,1.900957696,16.747339776,0.0,0.0
39,94.0,0.0,2.523725824,1.901277184,16.747597824,0.0,0.0
40,95.0,0.0,2.523725824,1.901277184,16.74811392,0.0,0.0
41,95.0,0.0,2.523725824,1.908846592,16.75585536,0.0,0.0
42,94.0,0.0,2.523725824,1.916379136,16.763338752,0.0,0.0
43,94.0,0.0,2.523725824,1.916637184,16.763338752,0.0,0.0
44,97.0,0.0,2.523725824,1.901408256,16.74940416,0.0,0.0
45,97.0,0.0,2.523725824,1.908596736,16.755458048,0.0,0.0
46,94.0,0.0,2.523725824,1.916399616,16.763715584,0.0,0.0
47,94.0,0.0,2.523725824,1.916637184,16.763715584,0.0,0.0
48,94.0,3272.8,2.523725824,1.901408256,16.749264896,0.0,0.0
49,94.0,0.0,2.523725824,1.90879744,16.75583488,0.0,0.0
50,94.0,0.0,2.523725824,1.893728256,16.741384192,0.0,0.0
51,96.0,0.0,2.523725824,1.901080576,16.747954176,0.0,0.0
52,96.0,0.0,2.523725824,1.908621312,16.755437568,0.0,0.0
53,94.0,0.0,2.523725824,1.91627264,16.763437056,0.0,0.0
54,94.0,0.0,2.523725824,1.916637184,16.763437056,0.0,0.0
55,94.0,0.0,2.523725824,1.901408256,16.748986368,0.0,0.0
56,94.0,0.0,2.523725824,1.908617216,16.755298304,0.0,0.0
57,94.0,0.0,2.523725824,1.916407808,16.762781696,0.0,0.0
58,94.0,0.0,2.523725824,1.901408256,16.749105152,0.0,0.0
59,94.0,0.0,2.523725824,1.901408256,16.749105152,0.0,0.0
60,97.0,0.0,2.523725824,1.908768768,16.755417088,0.0,0.0
61,97.0,0.0,2.523725824,1.893728256,16.741482496,0.0,0.0
62,94.0,3356.8,2.523725824,1.900978176,16.747794432,0.0,0.0
63,93.0,0.0,2.523725824,1.908764672,16.755535872,0.0,0.0
64,93.0,0.0,2.523725824,1.908957184,16.755535872,0.0,0.0
65,96.0,0.0,2.523725824,1.908957184,16.755535872,0.0,0.0
66,96.0,0.0,2.523725824,1.893728256,16.74094592,0.0,0.0
67,96.0,0.0,2.523725824,1.901088768,16.747913216,0.0,0.0
68,96.0,0.0,2.523725824,1.908621312,16.755396608,0.0,0.0
69,93.0,0.0,2.523725824,1.916432384,16.763396096,0.0,0.0
70,94.0,0.0,2.523725824,1.916637184,16.763396096,0.0,0.0
71,94.0,0.0,2.523725824,1.916637184,16.763396096,0.0,0.0
72,95.0,0.0,2.523725824,1.893728256,16.74223616,0.0,0.0
73,95.0,0.0,2.523725824,1.901088768,16.747913216,0.0,0.0
74,96.0,0.0,2.523725824,1.901277184,16.747913216,0.0,0.0
75,96.0,0.0,2.523725824,1.901277184,16.74815488,0.0,0.0
76,95.0,0.0,2.523725824,1.908748288,16.755380224,0.0,0.0
77,93.0,0.0,2.523725824,1.91627264,16.763121664,0.0,0.0
78,93.0,0.0,2.523725824,1.893728256,16.742477824,0.0,0.0
79,94.0,0.0,2.523725824,1.901031424,16.748412928,0.0,0.0
80,94.0,0.0,2.523725824,1.908711424,16.75536384,0.0,0.0
