step,phase,gpu_util,cpu_util,gpu_mem_gb,cpu_mem_gb,ram_gb,io_read_gb,io_write_gb
1,forward,5.0,0.0,2.2888448,1.733668864,16.607735808,0.0,0.0
1,backward,5.0,95.4,2.450325504,1.82013952,16.67457024,0.0,0.0
1,optimizer,45.0,98.2,2.485977088,1.884729344,16.732889088,0.0,0.0
2,forward,45.0,184.1,2.485977088,1.885278208,16.734953472,0.0,0.0
2,backward,45.0,92.7,2.523725824,1.885278208,16.734953472,0.0,0.0
2,optimizer,45.0,501.8,2.523725824,1.885278208,16.734953472,0.0,0.0
3,forward,45.0,230.0,2.523725824,1.885421568,16.734695424,0.0,0.0
3,backward,69.0,94.0,2.523725824,1.885421568,16.734695424,0.0,0.0
3,optimizer,69.0,514.1,2.523725824,1.885421568,16.734695424,0.0,0.0
4,forward,69.0,202.8,2.523725824,1.892995072,16.74037248,0.0,0.0
4,backward,69.0,91.0,2.523725824,1.892995072,16.740364288,0.0,0.0
4,optimizer,69.0,508.1,2.523725824,1.892995072,16.740364288,0.0,0.0
5,forward,69.0,202.0,2.523725824,1.900703744,16.74784768,0.0,0.0
5,backward,96.0,105.5,2.523725824,1.900703744,16.74784768,0.0,0.0
5,optimizer,96.0,509.7,2.523725824,1.900703744,16.74784768,0.0,0.0
6,forward,96.0,182.8,2.523725824,1.9009536,16.74784768,0.0,0.0
6,backward,96.0,104.1,2.523725824,1.9009536,16.74784768,0.0,0.0
6,optimizer,96.0,0.0,2.523725824,1.9009536,16.74784768,0.0,0.0
7,forward,95.0,183.9,2.523725824,1.9009536,16.74784768,0.0,0.0
7,backward,95.0,104.7,2.523725824,1.9009536,16.74784768,0.0,0.0
7,optimizer,95.0,0.0,2.523725824,1.9009536,16.74784768,0.0,0.0
8,forward,95.0,211.4,2.523725824,1.9009536,16.74784768,0.0,0.0
8,backward,95.0,91.4,2.523725824,1.9009536,16.74784768,0.0,0.0
8,optimizer,95.0,510.6,2.523725824,1.9009536,16.74784768,0.0,0.0
