task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Step #1,2026-04-07T17:56:11,energy-efficiency,15fd56b2-cc4b-41e5-b591-17361156451d,0.6959940046072006,3.841539448163913e-07,5.498866853868198e-07,360.0,133.0045972806702,10.0,6.982798911631107e-05,2.579890951892594e-05,1.939600250787205e-06,9.756649888602421e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #2,2026-04-07T17:56:11,energy-efficiency,15fd56b2-cc4b-41e5-b591-17361156451d,0.42101500928401947,2.350152003927398e-07,5.583534877394036e-07,360.0,140.91096364528093,10.0,4.2057687416672705e-05,1.6462790966897956e-05,1.1681193692816627e-06,5.968859775285232e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #3,2026-04-07T17:56:12,energy-efficiency,15fd56b2-cc4b-41e5-b591-17361156451d,0.41903598234057426,2.5871580621604487e-07,6.175837910489729e-07,360.0,194.8401886506901,10.0,4.1878482326865196e-05,2.2666407005544897e-05,1.1631315263609086e-06,6.5708020858771e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #4,2026-04-07T17:56:12,energy-efficiency,15fd56b2-cc4b-41e5-b591-17361156451d,0.41889704018831253,2.462191632398712e-07,5.879696328712074e-07,360.0,167.4695662912441,10.0,4.18854307383299e-05,1.9485293364596146e-05,1.1634293012320998e-06,6.253415340415813e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #5,2026-04-07T17:56:13,energy-efficiency,15fd56b2-cc4b-41e5-b591-17361156451d,0.4173964001238346,2.3839097622952772e-07,5.713271196260512e-07,360.0,152.63382667838806,10.0,4.1704860702157027e-05,1.7682791934703346e-05,1.1583165783021182e-06,6.054596921516246e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #6,2026-04-07T17:56:13,energy-efficiency,15fd56b2-cc4b-41e5-b591-17361156451d,0.41540365666151047,2.437859113949335e-07,5.873128452181847e-07,360.0,167.51433136311343,10.0,4.1467855870723713e-05,1.929668209754709e-05,1.15162395975656e-06,6.191616192802738e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #7,2026-04-07T17:56:14,energy-efficiency,15fd56b2-cc4b-41e5-b591-17361156451d,0.4201393090188503,2.694571843148032e-07,6.415153718178568e-07,360.0,216.94561732283032,10.0,4.1974443197250345e-05,2.529585358956865e-05,1.1657935567200185e-06,6.843609034353903e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #8,2026-04-07T17:56:14,energy-efficiency,15fd56b2-cc4b-41e5-b591-17361156451d,0.41592708975076675,2.463253405949999e-07,5.923837484188936e-07,360.0,168.23292244176076,10.0,4.184394218027592e-05,1.955501562633799e-05,1.162162267913421e-06,6.256112007452735e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #9,2026-04-07T17:56:14,energy-efficiency,15fd56b2-cc4b-41e5-b591-17361156451d,0.41935641691088676,2.431103233171301e-07,5.797581211126283e-07,360.0,164.08006183946333,10.0,4.161891974508759e-05,1.896973739690111e-05,1.1559205440183486e-06,6.174457768600707e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #10,2026-04-07T17:56:15,energy-efficiency,15fd56b2-cc4b-41e5-b591-17361156451d,0.4169476740062237,2.4435302622588696e-07,5.86132693624629e-07,360.0,167.6541802935422,10.0,4.1553572192788105e-05,1.935251549411987e-05,1.1541087076895763e-06,6.206019639459759e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #11,2026-04-07T17:56:15,energy-efficiency,15fd56b2-cc4b-41e5-b591-17361156451d,0.418943852186203,2.6464137857738164e-07,6.319223465984634e-07,360.0,208.71656938691876,10.0,4.181034378707409e-05,2.424140825496579e-05,1.161231493784321e-06,6.721298353582416e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #12,2026-04-07T17:56:16,energy-efficiency,15fd56b2-cc4b-41e5-b591-17361156451d,0.4166904427111149,2.44675287666926e-07,5.874221592168043e-07,360.0,167.4624015683277,10.0,4.16232142597437e-05,1.9362793295840675e-05,1.1560360280176008e-06,6.214204358360195e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #13,2026-04-07T17:56:16,energy-efficiency,15fd56b2-cc4b-41e5-b591-17361156451d,0.41748493164777756,2.4446715949945545e-07,5.859543196734412e-07,360.0,166.1119407243987,10.0,4.1692585870623574e-05,1.9238626492779076e-05,1.1579713266756817e-06,6.208918369007832e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #14,2026-04-07T17:56:16,energy-efficiency,15fd56b2-cc4b-41e5-b591-17361156451d,0.4185103289783001,2.374165400187113e-07,5.674740009196887e-07,360.0,151.49428589206616,10.0,4.162515364587304e-05,1.7517236244657397e-05,1.1560943495068285e-06,6.029848424003725e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #15,2026-04-07T17:56:17,energy-efficiency,15fd56b2-cc4b-41e5-b591-17361156451d,0.4157821461558342,2.3891060515850124e-07,5.746724098260462e-07,360.0,155.8440071767046,10.0,4.154057353734973e-05,1.7983625497208777e-05,1.153744291514157e-06,6.067794332607272e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #16,2026-04-07T17:56:17,energy-efficiency,15fd56b2-cc4b-41e5-b591-17361156451d,0.4148067347705364,2.451930663397151e-07,5.912577517955227e-07,360.0,166.1483482289878,10.0,4.181358665227887e-05,1.9298626568797772e-05,1.161334549801217e-06,6.227354777087787e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #17,2026-04-07T17:56:18,energy-efficiency,15fd56b2-cc4b-41e5-b591-17361156451d,0.4175531640648842,2.412775930963729e-07,5.780896136100619e-07,360.0,160.91451780524417,10.0,4.155120477080342e-05,1.8573903730612074e-05,1.1539967523680794e-06,6.127910525378357e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #18,2026-04-07T17:56:18,energy-efficiency,15fd56b2-cc4b-41e5-b591-17361156451d,0.417034525424242,2.399069030021313e-07,5.756436942796865e-07,360.0,156.86162885823398,10.0,4.1633256897330244e-05,1.814140338751713e-05,1.1563203814956866e-06,6.093098066634311e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #19,2026-04-07T17:56:19,energy-efficiency,15fd56b2-cc4b-41e5-b591-17361156451d,0.4186953492462635,2.3842930036881604e-07,5.696464133031101e-07,360.0,151.11288343901734,10.0,4.18332558125258e-05,1.756056960289243e-05,1.1618772728575594e-06,6.0555702688275736e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #20,2026-04-07T17:56:19,energy-efficiency,15fd56b2-cc4b-41e5-b591-17361156451d,0.4173724800348282,2.556989287855454e-07,6.130254114918326e-07,360.0,190.9548985581156,10.0,4.1676747426390675e-05,2.210751770803654e-05,1.1575364197293915e-06,6.49418015541566e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #21,2026-04-07T17:56:19,energy-efficiency,15fd56b2-cc4b-41e5-b591-17361156451d,0.4182771407067776,2.5296574546881716e-07,6.047979733760885e-07,360.0,183.4451085317484,10.0,4.179082475602627e-05,2.129612812495907e-05,1.1606813201473835e-06,6.424763420113271e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #22,2026-04-07T17:56:20,energy-efficiency,15fd56b2-cc4b-41e5-b591-17361156451d,0.42008499428629875,2.5253593083099715e-07,6.013948642117762e-07,360.0,180.31925796723274,10.0,4.195676334202295e-05,2.101640569662777e-05,1.165301870140765e-06,6.413847090879139e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #23,2026-04-07T17:56:20,energy-efficiency,15fd56b2-cc4b-41e5-b591-17361156451d,0.41508639976382256,2.5139721593480716e-07,6.060381896310009e-07,360.0,181.86106178119496,10.0,4.165098182857033e-05,2.104140574488156e-05,1.1568752531376164e-06,6.384926282658942e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #24,2026-04-07T17:56:21,energy-efficiency,15fd56b2-cc4b-41e5-b591-17361156451d,0.4231073558330536,2.711994504475023e-07,6.412361247847314e-07,360.0,223.81886340647148,10.0,4.175669699907304e-05,2.5962242972354943e-05,1.1596469519039007e-06,6.887858692333185e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #25,2026-04-07T17:56:21,energy-efficiency,15fd56b2-cc4b-41e5-b591-17361156451d,0.4191267788410187,2.4866403444908546e-07,5.935554666013645e-07,360.0,172.95655351610066,10.0,4.1873751580715195e-05,2.0118349425501947e-05,1.1629949323832997e-06,6.315509593860045e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #26,2026-04-07T17:56:22,energy-efficiency,15fd56b2-cc4b-41e5-b591-17361156451d,0.4199705384671688,2.5005556596116556e-07,5.956345487532928e-07,360.0,176.912048605254,10.0,4.180354736745364e-05,2.0543905350223213e-05,1.1610610617531655e-06,6.350851377943012e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
