task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Forward pass #1,2026-04-07T18:04:27,energy-efficiency,590f8204-72ff-45b8-aeab-d164778e8182,0.31441180408000946,1.535517184248425e-07,4.889708694955736e-07,360.0,74.29666352148433,10.0,3.159921355545521e-05,6.521949671878247e-06,8.77534473935763e-07,3.899869770126922e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #1,2026-04-07T18:04:28,energy-efficiency,590f8204-72ff-45b8-aeab-d164778e8182,0.3219957463443279,2.0250341647631632e-07,6.296109336300509e-07,360.0,207.35705433795457,10.0,3.2067989930510526e-05,1.8472792561397e-05,8.905502450135021e-07,5.143133273692101e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #1,2026-04-07T18:04:28,energy-efficiency,590f8204-72ff-45b8-aeab-d164778e8182,0.07284524291753769,2.9051965178761056e-08,3.9828121139290226e-07,360.0,0.0,10.0,7.179257273674011e-06,0.0,1.9929126525918649e-07,7.3785485389331985e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #2,2026-04-07T18:04:28,energy-efficiency,590f8204-72ff-45b8-aeab-d164778e8182,0.004838623106479645,1.752987447279356e-09,3.619419485387071e-07,360.0,0.0,10.0,4.3327845633030085e-07,0.0,1.1941097262832784e-08,4.4521955359313364e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #2,2026-04-07T18:04:28,energy-efficiency,590f8204-72ff-45b8-aeab-d164778e8182,0.0051743872463703156,2.1716453017488275e-09,4.198001027237686e-07,360.0,0.0,10.0,5.366992205381416e-07,0.0,1.4850052280558628e-08,5.515492728187045e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #2,2026-04-07T18:04:28,energy-efficiency,590f8204-72ff-45b8-aeab-d164778e8182,0.0028909631073474884,2.0265868024839137e-09,7.084162986145076e-07,360.0,0.0,10.0,5.008500069379762e-07,0.0,1.3857655641105483e-08,5.147076625790779e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #3,2026-04-07T18:04:28,energy-efficiency,590f8204-72ff-45b8-aeab-d164778e8182,0.004861675202846527,2.0575791103832814e-09,4.173304007185697e-07,360.0,0.0,10.0,5.0855204463005e-07,0.0,1.4026970085170428e-08,5.225790147152221e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #3,2026-04-07T18:04:28,energy-efficiency,590f8204-72ff-45b8-aeab-d164778e8182,0.005356188863515854,2.201152903300449e-09,4.1524734074797827e-07,360.0,0.0,10.0,5.439899861812601e-07,0.0,1.505355661114036e-08,5.590435427923975e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #3,2026-04-07T18:04:28,energy-efficiency,590f8204-72ff-45b8-aeab-d164778e8182,0.00570504367351532,1.090506381954315e-09,1.917122284895196e-07,360.0,0.0,10.0,2.6953071355820366e-07,0.0,7.433485653665434e-09,2.7696419921186867e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #4,2026-04-07T18:04:29,energy-efficiency,590f8204-72ff-45b8-aeab-d164778e8182,0.007206276059150696,2.6352937107081304e-09,3.63517002993757e-07,360.0,0.0,10.0,6.513189524412179e-07,0.0,1.798663288354883e-08,6.693055853247617e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
