task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Forward pass #1,2026-04-05T03:16:35,energy-efficiency-e2e,7e8b5261-8434-4255-83cd-ce16f52b0df9,0.6648012213408947,3.902726534916723e-07,5.874111937172488e-07,360.0,165.75687158477484,10.0,6.66030939668417e-05,3.06675245411725e-05,1.8498953535324998e-06,9.91205138615467e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #1,2026-04-05T03:16:36,energy-efficiency-e2e,7e8b5261-8434-4255-83cd-ce16f52b0df9,1.1342314705252647,6.790743331574583e-07,5.989150664008555e-07,360.0,178.8445432304111,10.0,0.00011312630139291287,5.6201156070301295e-05,3.142215342571338e-06,0.0001724696728057855,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #1,2026-04-05T03:16:36,energy-efficiency-e2e,7e8b5261-8434-4255-83cd-ce16f52b0df9,0.042484235018491745,3.2822824023559506e-08,7.762665182855153e-07,360.0,335.33105698228815,10.0,4.254072904586804e-06,3.964169849268728e-06,1.180194835695958e-07,8.336262237425144e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #2,2026-04-05T03:16:37,energy-efficiency-e2e,7e8b5261-8434-4255-83cd-ce16f52b0df9,0.49921001493930817,3.0107838295446775e-07,6.032575205205998e-07,360.0,181.87337997250265,10.0,4.988089799880981e-05,2.5200853485785046e-05,1.3854151591658592e-06,7.646716664376073e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #2,2026-04-05T03:16:38,energy-efficiency-e2e,7e8b5261-8434-4255-83cd-ce16f52b0df9,1.1115210875868797,6.699415952969705e-07,6.029794480846348e-07,360.0,182.53693143818063,10.0,0.00011085902526974679,5.6211989402754625e-05,3.0791472436653243e-06,0.00017015016191616677,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #2,2026-04-05T03:16:38,energy-efficiency-e2e,7e8b5261-8434-4255-83cd-ce16f52b0df9,0.003616034984588623,1.6711203155309703e-09,4.6317566138576456e-07,360.0,0.0,10.0,4.1301995515823737e-07,0.0,1.1407180378834435e-08,4.244271355369634e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #3,2026-04-05T03:16:38,energy-efficiency-e2e,7e8b5261-8434-4255-83cd-ce16f52b0df9,0.5009024143218994,3.049596737764071e-07,6.090815852606752e-07,360.0,187.24827382131872,10.0,5.0036525726318375e-05,2.602668749318582e-05,1.3897143718269127e-06,7.74529275913311e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #3,2026-04-05T03:16:39,energy-efficiency-e2e,7e8b5261-8434-4255-83cd-ce16f52b0df9,1.1106674447655678,6.66432250806643e-07,6.002270542222122e-07,360.0,178.97055866993367,10.0,0.00011099495142698283,5.518087746736455e-05,3.0830381127695245e-06,0.00016925886700711696,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #3,2026-04-05T03:16:39,energy-efficiency-e2e,7e8b5261-8434-4255-83cd-ce16f52b0df9,0.0034714676439762115,1.293308753582518e-09,3.8166772574349186e-07,360.0,0.0,10.0,3.196593374014435e-07,0.0,8.812122460869309e-09,3.284714598623213e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #4,2026-04-05T03:16:40,energy-efficiency-e2e,7e8b5261-8434-4255-83cd-ce16f52b0df9,0.500417672097683,2.960520399828638e-07,5.91728285143025e-07,360.0,171.40593896538525,10.0,4.999641366302968e-05,2.380557461378885e-05,1.3885998167097568e-06,7.519058809352824e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
