task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Step #1,2026-04-05T03:32:01,energy-efficiency-e2e,dc2ea21f-44c9-488d-a313-2eab0eab906a,1.076757475733757,6.190325731657178e-07,5.74361654519636e-07,360.0,155.09356783951262,10.0,0.0001077887911349535,4.6437537150723074e-05,2.9940821126931247e-06,0.0001572204103983697,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #2,2026-04-05T03:32:02,energy-efficiency-e2e,dc2ea21f-44c9-488d-a313-2eab0eab906a,0.8385459892451763,5.09492320582476e-07,6.074552912336494e-07,360.0,185.82013812017587,10.0,8.381074890494344e-05,4.32608679545865e-05,2.3280225280258396e-06,0.0001293996393875558,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #3,2026-04-05T03:32:03,energy-efficiency-e2e,dc2ea21f-44c9-488d-a313-2eab0eab906a,0.8381815180182457,5.167815906875604e-07,6.16450936128079e-07,360.0,193.58191399522389,10.0,8.38390503078699e-05,4.5083091620767846e-05,2.3288088229795297e-06,0.00013125095075161726,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #4,2026-04-05T03:32:04,energy-efficiency-e2e,dc2ea21f-44c9-488d-a313-2eab0eab906a,0.8366883844137192,5.391253724212108e-07,6.442636788428881e-07,360.0,218.99450379520505,10.0,8.369021937251091e-05,5.091087406583483e-05,2.3246774863865645e-06,0.00013692577092473234,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #5,2026-04-05T03:32:04,energy-efficiency-e2e,dc2ea21f-44c9-488d-a313-2eab0eab906a,0.838092464953661,5.126786740448984e-07,6.116543434963726e-07,360.0,189.1783405058492,10.0,8.382840864360331e-05,4.4051979685377773e-05,2.3285134798950615e-06,0.0001302089018088762,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #6,2026-04-05T03:32:05,energy-efficiency-e2e,dc2ea21f-44c9-488d-a313-2eab0eab906a,0.8400109671056271,5.354035316181166e-07,6.372874266400811e-07,360.0,212.63845620638276,10.0,8.401915393769734e-05,4.962753969550704e-05,2.333813077873653e-06,0.0001359805067110781,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #7,2026-04-05T03:32:06,energy-efficiency-e2e,dc2ea21f-44c9-488d-a313-2eab0eab906a,0.8389778025448322,5.081181333029912e-07,6.05587361244528e-07,360.0,183.68424216586237,10.0,8.390712961554533e-05,4.281281202622722e-05,2.3306849516100345e-06,0.00012905062659338245,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #8,2026-04-05T03:32:07,energy-efficiency-e2e,dc2ea21f-44c9-488d-a313-2eab0eab906a,0.841667715460062,5.074236951794618e-07,6.027915601280305e-07,360.0,181.0797413618223,10.0,8.418848924338822e-05,4.234725609819634e-05,2.3385095203088387e-06,0.00012887425486189327,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #9,2026-04-05T03:32:08,energy-efficiency-e2e,dc2ea21f-44c9-488d-a313-2eab0eab906a,0.8391322232782841,5.255774204779692e-07,6.262597512912598e-07,360.0,202.52233425438328,10.0,8.393450900912286e-05,4.721892666736949e-05,2.3314588599734844e-06,0.00013348489453646564,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #10,2026-04-05T03:32:09,energy-efficiency-e2e,dc2ea21f-44c9-488d-a313-2eab0eab906a,0.8419946432113647,5.109655886852157e-07,6.067994204182839e-07,360.0,182.83857751162643,10.0,8.450643531978134e-05,4.2920034331928036e-05,2.3473468402193663e-06,0.00012977381649192867,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
