step,forward_ms,backward_ms,optimizer_ms
1.0,321.159086,333.724124,49.22984
2.0,124.52168,292.715224,1.712573
3.0,124.704732,292.194617,1.702723
4.0,124.679821,293.328963,1.691263
5.0,125.121418,292.211907,1.844315
6.0,125.452442,292.578212,1.689142
7.0,125.32499,292.116046,1.798614
8.0,125.400001,292.649223,1.712973
9.0,126.339513,294.139474,1.878045
10.0,124.981015,292.945147,1.701833
11.0,125.261439,294.187305,1.713963
12.0,125.951569,292.281259,1.715903
13.0,125.774476,294.911183,1.703342
14.0,126.07537,293.221311,1.693013
15.0,126.511747,293.402043,1.924335
16.0,125.641994,293.330082,1.705983
17.0,125.431371,293.139121,1.688083
18.0,124.165244,293.829929,1.695233
19.0,124.905344,293.732898,1.913476
20.0,125.683835,293.466714,1.697402
21.0,124.650691,294.260835,1.844094
22.0,125.823427,293.15453,1.705453
23.0,126.549157,293.535885,1.699273
24.0,125.33414,294.098753,1.879495
25.0,125.501972,292.359909,1.710833
26.0,126.032529,293.707387,1.922206
27.0,125.921718,293.495294,1.707343
28.0,125.085966,292.211898,1.695333
29.0,123.877931,293.91169,1.812465
30.0,125.642035,294.61756,1.702173
31.0,124.764082,294.011961,1.969517
32.0,125.450292,294.099483,1.679833
33.0,126.680198,294.012441,1.673673
34.0,124.753293,294.864033,1.697573
35.0,125.740336,293.585716,2.091928
36.0,125.044076,294.350006,1.703422
37.0,126.01161,294.988675,1.717133
38.0,125.681615,293.451594,1.910376
39.0,125.878468,293.736738,1.714572
40.0,125.32557,293.636056,1.697833
41.0,125.144408,292.902027,1.676773
42.0,124.895214,293.284462,1.777744
43.0,125.881218,295.260609,1.705383
44.0,125.994629,294.206444,1.699962
45.0,125.576844,294.044712,1.932656
46.0,126.06765,294.219433,1.687742
47.0,126.07138,294.542778,1.701152
48.0,125.639464,294.067502,1.701773
49.0,125.173298,294.100263,1.729023
50.0,125.748007,294.894763,1.693573
51.0,126.419324,294.719701,1.672733
52.0,126.254212,295.701635,1.702993
53.0,126.275163,293.359913,2.088818
54.0,125.38291,294.766542,1.712303
55.0,126.955102,294.754901,1.696293
56.0,126.179851,296.096729,1.706683
57.0,126.195372,293.415474,1.880505
58.0,125.923068,294.952914,1.705513
59.0,126.153562,294.314305,1.696623
