step,forward_ms,backward_ms,optimizer_ms
1,692.355377,1117.145453,47.134092
2,3.251753,2.778027,0.882961
3,2.688005,2.802696,0.841932
4,3.81806,4.067693,1.314158
5,2.705996,2.808027,0.875522
6,2.636644,2.796417,0.844251
7,3.292753,2.927549,0.976193
8,3.081311,3.090731,0.950222
9,3.141712,2.814507,1.027113
10,3.119612,2.834927,0.954522
11,3.317364,3.018869,1.039014
12,3.188782,3.069071,0.942402
13,3.247863,2.842198,1.017103
14,3.04333,2.890759,0.953962
15,2.826337,2.866758,0.890142
16,3.273023,2.950029,0.966673
17,3.324074,3.076581,0.952412
18,2.838787,2.875207,0.887412
19,3.359714,2.880128,1.051244
20,2.963129,2.824618,0.948502
21,2.790917,2.879168,0.864001
22,3.326304,2.940369,0.968922
23,2.746076,2.833838,0.883231
24,3.084811,3.023169,0.934683
25,2.802608,2.843967,0.947613
26,3.386955,2.896898,1.055324
27,2.870168,2.837618,0.939862
28,3.01872,2.830167,0.984503
29,2.808167,2.810267,0.945482
30,3.401395,3.001549,1.096775
31,2.795927,2.856548,0.964753
32,3.085441,3.00492,0.917442
33,2.732526,2.887668,0.934322
34,2.845948,2.857367,0.879672
35,3.333634,2.873308,1.152645
36,2.761836,2.830568,0.891152
37,2.99292,2.843087,0.890352
38,2.804587,2.881128,0.890322
39,2.812858,2.831617,0.847592
40,3.240162,3.045581,1.009633
41,2.690646,2.782917,0.846131
42,2.724856,2.800797,0.852132
43,2.756096,2.723576,0.869981
44,3.044831,2.998179,0.986453
45,2.767596,2.894789,0.894111
46,2.822997,2.928219,1.068934
47,3.362534,2.871128,1.117365
48,2.802057,2.808947,0.956603
49,2.709345,2.780957,0.834351
50,2.907708,2.824758,0.895082
51,2.789336,2.766506,0.927443
52,2.823317,2.895998,0.875642
53,2.791897,2.834047,0.878141
54,3.362064,3.0284,1.006933
55,2.799707,2.881078,0.885791
56,2.841418,2.836407,0.963503
57,2.710985,2.855737,0.878382
58,3.248293,3.09246,0.935003
59,2.758957,2.847437,0.873191
60,2.757406,2.855107,0.879642
61,2.743056,2.842797,0.860111
62,3.294253,2.840817,1.008044
63,2.837687,2.837577,0.981242
64,2.695065,2.772166,0.833761
65,2.896228,2.863358,0.876551
66,2.962299,2.885298,0.929012
67,2.778806,2.825257,0.821081
68,2.748276,2.882797,0.868771
69,2.718975,2.857258,0.867371
70,2.776746,2.834877,0.851382
71,2.720905,2.896628,0.865702
72,3.344124,3.013919,1.000943
73,2.709245,2.876208,0.874111
74,2.785246,2.868878,0.893231
75,2.657235,2.887227,0.893392
76,2.803086,2.764507,0.922892
77,3.11209,3.087641,0.927182
78,2.793316,2.893508,0.880192
79,2.758146,3.150661,0.879071
80,2.800117,2.851927,0.869541
81,2.788197,2.812486,0.870762
82,3.240702,2.812067,1.001033
83,2.697145,2.776427,0.827541
84,2.645735,2.830537,0.864941
85,2.794257,2.796566,0.830851
86,2.786807,2.778296,0.833911
87,3.04264,2.905398,1.029003
88,2.842997,2.863397,0.966173
89,2.860098,2.848557,0.928232
90,2.710746,2.778026,0.842231
91,2.770696,2.828047,0.943543
92,3.280893,2.915498,0.971393
93,2.794247,2.867368,0.948732
94,2.780636,2.762236,0.888482
95,2.693886,2.736425,0.840131
96,2.778327,2.828597,0.932822
97,3.229253,3.118291,0.930772
98,2.845767,2.890258,0.873382
99,2.865328,2.894458,0.868051
100,2.744316,2.875858,0.875992
101,2.807217,2.774416,0.879402
102,3.339924,2.887127,1.103015
103,2.774876,2.800777,0.853221
104,2.771046,2.815667,0.930872
105,2.787347,2.859127,0.896942
106,2.773786,2.889048,0.859101
107,2.907028,2.847477,0.893632
108,2.742986,2.843678,0.862651
109,2.793226,2.866968,0.946642
110,2.768446,2.892318,0.879452
111,2.680925,2.794827,0.840581
112,3.516346,3.125671,1.014873
113,2.796167,2.842257,0.877782
114,2.787156,2.785747,0.855061
115,2.692645,2.781857,0.854261
116,2.718225,2.777047,0.842121
117,3.143541,3.005449,0.898592
118,2.711016,2.781196,0.945463
119,2.768956,2.868898,0.866041
120,2.630994,2.783237,0.830511
121,2.733496,2.822477,0.853081
122,2.643395,2.780227,0.83022
123,3.234203,2.806227,1.100444
124,2.734995,2.878688,0.852581
125,2.732895,2.844288,0.861141
