step,gpu_util_pct,gpu_mem_util_pct,gpu_power_w,gpu_mem_alloc_mb,gpu_mem_reserved_mb,cpu_util_pct,cpu_mem_mb,disk_read_mb,disk_write_mb
1,2.0,0.0,32.676,32.06396484375,52.0,357.5,976.23046875,0.0,0.0
2,100.0,38.0,76.053,138.63134765625,5692.0,102.4,1345.62109375,0.0,0.0
3,100.0,36.0,183.339,138.63134765625,5692.0,113.6,1345.94140625,0.0,0.0
4,100.0,37.0,214.912,138.63134765625,5692.0,114.6,1375.31640625,0.0,0.0
5,100.0,38.0,218.303,138.63134765625,5692.0,107.1,1375.31640625,0.0,0.0
6,98.0,39.0,220.647,138.63134765625,5692.0,111.2,1375.3515625,0.0,0.0
7,97.0,39.0,219.979,138.63134765625,5692.0,106.9,1375.3515625,0.0,0.0
8,100.0,36.0,218.818,138.63134765625,5692.0,111.0,1375.3515625,0.0,0.0
9,100.0,37.0,218.836,138.63134765625,5692.0,113.2,1404.58203125,0.0,0.0
10,100.0,36.0,217.929,138.63134765625,5692.0,117.6,1434.1171875,0.0,0.0
11,100.0,36.0,216.495,138.63134765625,5692.0,110.4,1375.87109375,0.0,0.0
12,100.0,37.0,217.758,138.63134765625,5692.0,112.0,1404.8046875,0.0,0.0
13,96.0,36.0,220.065,138.63134765625,5692.0,114.1,1434.01953125,0.0,0.0
14,94.0,38.0,217.934,138.63134765625,5692.0,113.7,1463.390625,0.0,0.0
15,100.0,36.0,215.825,138.63134765625,5692.0,112.1,1463.9765625,0.0,0.0
16,100.0,37.0,217.602,138.63134765625,5692.0,110.4,1464.015625,0.0,0.0
17,100.0,37.0,219.329,138.63134765625,5692.0,120.3,1464.05859375,0.0,0.0
18,100.0,37.0,219.208,138.63134765625,5692.0,107.4,1464.08203125,0.0,0.0
19,100.0,37.0,219.788,138.63134765625,5692.0,109.0,1464.08203125,0.0,0.0
20,98.0,37.0,221.789,138.63134765625,5692.0,108.6,1464.19921875,0.0,0.0
21,98.0,39.0,220.577,138.63134765625,5692.0,108.4,1464.19921875,0.0,0.0
22,98.0,38.0,218.153,138.63134765625,5692.0,108.7,1464.27734375,0.0,0.0
23,100.0,36.0,218.728,138.63134765625,5692.0,112.2,1376.5234375,0.0,0.0
