step,gpu_util,cpu_util,gpu_mem_gb,cpu_mem_gb,ram_gb,io_read_gb,io_write_gb
1,100,25.5,12.49148928,1.4829568,24.601264128,0.0,0.0
2,100,99.3,12.49148928,1.483288576,24.603287552,0.0,0.0
3,100,100.9,12.49148928,1.48338688,24.603590656,0.0,0.0
4,100,100.3,12.49148928,1.483395072,24.605302784,0.0,0.0
5,100,98.9,12.49148928,1.483403264,24.60493824,0.0,0.0
6,100,101.0,12.49148928,1.483403264,24.60514304,0.0,0.0
7,100,99.8,12.49148928,1.48340736,24.604274688,0.0,0.0
8,100,100.8,12.49148928,1.483464704,24.605073408,0.0,0.0
9,100,100.6,12.49148928,1.483464704,24.603774976,0.0,0.0
10,100,99.4,12.49148928,1.483464704,24.604983296,0.0,0.0
11,100,99.6,12.49148928,1.483472896,24.605536256,0.0,0.0
12,100,100.4,12.49148928,1.483476992,24.60368896,0.0,0.0
13,100,100.5,12.49148928,1.483476992,24.604315648,0.0,0.0
14,100,99.5,12.49148928,1.483513856,24.605732864,0.0,0.0
15,100,100.6,12.49148928,1.483513856,24.604205056,0.0,0.0
16,100,99.3,12.49148928,1.483522048,24.604925952,0.0,0.0
17,100,100.4,12.49148928,1.483558912,24.605540352,0.0,0.0
18,100,99.5,12.49148928,1.483558912,24.604012544,0.0,0.0
19,100,101.6,12.49148928,1.482571776,24.60473344,0.0,0.0
20,100,98.9,12.49148928,1.483563008,24.603639808,0.0,0.0
21,100,99.3,12.49148928,1.483563008,24.60434432,0.0,0.0
22,100,101.4,12.49148928,1.4835712,24.605065216,0.0,0.0
23,100,100.1,12.49148928,1.483579392,24.603582464,0.0,0.0
24,100,100.2,12.49148928,1.483579392,24.60483584,0.0,0.0
25,100,98.8,12.49148928,1.483579392,24.60524544,0.0,0.0
26,100,101.4,12.49148928,1.483583488,24.604106752,0.0,0.0
27,100,98.7,12.49148928,1.483583488,24.60471296,0.0,0.0
28,100,101.2,12.49148928,1.482534912,24.603885568,0.0,0.0
29,100,99.8,12.49148928,1.483587584,24.604626944,0.0,0.0
30,100,100.1,12.49148928,1.483587584,24.605274112,0.0,0.0
31,100,100.0,12.49148928,1.482469376,24.603942912,0.0,0.0
32,100,100.1,12.49148928,1.483587584,24.604966912,0.0,0.0
33,100,99.8,12.49148928,1.483587584,24.605626368,0.0,0.0
34,100,101.2,12.49148928,1.482600448,24.604889088,0.0,0.0
35,100,98.7,12.49148928,1.483628544,24.605233152,0.0,0.0
36,100,100.9,12.49148928,1.483628544,24.60434432,0.0,0.0
37,100,98.9,12.49148928,1.482641408,24.604606464,0.0,0.0
38,100,100.9,12.49148928,1.483628544,24.60547072,0.0,0.0
39,100,100.0,12.49148928,1.48363264,24.603967488,0.0,0.0
40,100,99.8,12.49148928,1.4826496,24.604741632,0.0,0.0
41,100,101.0,12.49148928,1.483636736,24.605474816,0.0,0.0
42,100,99.7,12.49148928,1.483640832,24.604229632,0.0,0.0
43,100,100.6,12.49148928,1.482522624,24.604880896,0.0,0.0
44,100,98.7,12.49148928,1.48258816,24.6053888,0.0,0.0
45,100,99.7,12.49148928,1.483644928,24.60450816,0.0,0.0
46,100,100.8,12.49148928,1.483644928,24.604778496,0.0,0.0
47,100,99.8,12.49148928,1.482592256,24.603746304,0.0,0.0
48,100,99.6,12.49148928,1.482592256,24.604479488,0.0,0.0
49,100,99.7,12.49148928,1.483649024,24.60581888,0.0,0.0
50,100,100.9,12.49148928,1.483649024,24.604229632,0.0,0.0
51,100,100.7,12.49148928,1.482661888,24.604942336,0.0,0.0
52,100,99.7,12.49148928,1.482661888,24.605548544,0.0,0.0
53,100,99.8,12.49148928,1.483649024,24.603947008,0.0,0.0
54,100,100.6,12.49148928,1.483649024,24.604659712,0.0,0.0
55,100,99.7,12.49148928,1.482661888,24.60532736,0.0,0.0
56,100,99.7,12.49148928,1.482661888,24.605843456,0.0,0.0
57,100,100.5,12.49148928,1.483657216,24.6052864,0.0,0.0
58,100,100.5,12.49148928,1.483657216,24.605954048,0.0,0.0
59,100,98.6,12.49148928,1.482539008,24.604913664,0.0,0.0
60,100,100.6,12.49148928,1.482604544,24.60561408,0.0,0.0
61,100,100.6,12.49148928,1.48267008,24.60624896,0.0,0.0
62,100,99.3,12.49148928,1.483657216,24.606498816,0.0,0.0
63,100,99.6,12.49148928,1.483657216,24.606961664,0.0,0.0
64,100,100.5,12.49148928,1.48260864,24.605454336,0.0,0.0
65,100,100.4,12.49148928,1.48260864,24.605540352,0.0,0.0
66,100,100.6,12.49148928,1.482674176,24.604246016,0.0,0.0
67,100,99.7,12.49148928,1.483661312,24.605110272,0.0,0.0
68,100,100.7,12.49148928,1.483661312,24.60428288,0.0,0.0
69,100,99.5,12.49148928,1.482674176,24.604798976,0.0,0.0
70,100,99.9,12.49148928,1.482674176,24.60940288,0.0,0.0
71,100,99.4,12.49148928,1.482674176,24.608894976,0.0,0.0
72,100,100.6,12.49148928,1.483661312,24.610336768,0.0,0.0
73,100,100.5,12.49148928,1.483661312,24.610480128,0.0,0.0
74,100,99.7,12.49148928,1.482674176,24.609288192,0.0,0.0
75,100,99.5,12.49148928,1.482674176,24.609861632,0.0,0.0
76,100,100.6,12.49148928,1.482674176,24.610725888,0.0,0.0
77,100,100.7,12.49148928,1.482674176,24.608940032,0.0,0.0
78,100,99.7,12.49148928,1.483661312,24.609865728,0.0,0.0
79,100,100.3,12.49148928,1.483661312,24.610439168,0.0,0.0
80,100,99.3,12.49148928,1.482620928,24.611303424,0.0,0.0
81,100,99.5,12.49148928,1.482620928,24.610476032,0.0,0.0
82,100,100.6,12.49148928,1.482686464,24.609251328,0.0,0.0
83,100,100.5,12.49148928,1.482620928,24.609984512,0.0,0.0
84,100,100.5,12.49148928,1.483677696,24.610963456,0.0,0.0
85,100,99.3,12.49148928,1.483677696,24.609222656,0.0,0.0
86,100,100.7,12.49148928,1.48269056,24.609918976,0.0,0.0
87,100,100.5,12.49148928,1.48269056,24.610578432,0.0,0.0
88,100,100.4,12.49148928,1.48269056,24.609583104,0.0,0.0
89,100,99.1,12.49148928,1.48269056,24.610025472,0.0,0.0
90,100,100.5,12.49148928,1.482694656,24.608813056,0.0,0.0
91,100,99.2,12.49148928,1.483685888,24.609124352,0.0,0.0
92,100,99.6,12.49148928,1.483685888,24.6106112,0.0,0.0
93,100,100.6,12.49148928,1.482698752,24.610246656,0.0,0.0
94,100,100.2,12.49148928,1.482698752,24.608387072,0.0,0.0
95,100,100.4,12.49148928,1.482702848,24.609517568,0.0,0.0
96,100,99.3,12.49148928,1.482702848,24.610123776,0.0,0.0
97,100,100.9,12.49148928,1.48369408,24.60833792,0.0,0.0
98,100,100.5,12.49148928,1.48369408,24.609316864,0.0,0.0
99,100,99.4,12.49148928,1.48271104,24.610189312,0.0,0.0
100,100,99.3,12.49148928,1.48271104,24.608792576,0.0,0.0
101,100,100.8,12.49148928,1.48271104,24.609718272,0.0,0.0
102,100,100.8,12.49148928,1.482719232,24.610451456,0.0,0.0
103,100,99.1,12.49148928,1.482719232,24.609185792,0.0,0.0
104,100,100.4,12.49148928,1.482719232,24.609906688,0.0,0.0
105,100,100.2,12.49148928,1.483710464,24.610316288,0.0,0.0
106,100,99.5,12.49148928,1.483710464,24.611155968,0.0,0.0
107,100,100.7,12.49148928,1.482592256,24.611823616,0.0,0.0
108,100,99.4,12.49148928,1.482727424,24.60893184,0.0,0.0
109,100,100.5,12.49148928,1.482661888,24.609513472,0.0,0.0
110,100,100.8,12.49148928,1.482661888,24.610537472,0.0,0.0
111,100,99.6,12.49148928,1.482665984,24.609079296,0.0,0.0
112,100,99.4,12.49148928,1.482665984,24.610230272,0.0,0.0
113,100,100.4,12.49148928,1.483722752,24.61067264,0.0,0.0
114,100,100.6,12.49148928,1.483722752,24.60940288,0.0,0.0
115,100,99.5,12.49148928,1.48267008,24.610234368,0.0,0.0
116,100,100.5,12.49148928,1.48267008,24.61038592,0.0,0.0
117,100,100.5,12.49148928,1.482674176,24.61059072,0.0,0.0
118,100,99.4,12.49148928,1.482739712,24.609579008,0.0,0.0
119,100,99.6,12.49148928,1.482543104,24.610131968,0.0,0.0
120,100,99.4,12.49148928,1.482739712,24.611188736,0.0,0.0
121,100,101.5,12.49148928,1.483730944,24.610533376,0.0,0.0
122,100,98.8,12.49148928,1.483730944,24.60913664,0.0,0.0
123,100,100.3,12.49148928,1.482743808,24.609644544,0.0,0.0
