step,phase,gpu_util,cpu_util,gpu_mem_gb,cpu_mem_gb,ram_gb,io_read_gb,io_write_gb
1,forward,98.0,115.7,22.717202432,1.434206208,25.441558528,0.0,0.0
1,backward,100.0,100.3,23.91048192,1.505677312,25.496682496,0.0,0.0
1,optimizer,100.0,111.5,23.9419392,1.570295808,25.5550464,0.0,0.0
2,forward,100.0,114.0,23.9419392,1.570557952,25.558224896,0.0,0.0
2,backward,100.0,100.1,23.9419392,1.570557952,25.560301568,0.0,0.0
2,optimizer,100.0,489.0,23.9419392,1.570557952,25.560301568,0.0,0.0
3,forward,100.0,119.4,23.9419392,1.570689024,25.564647424,0.0,0.0
3,backward,100.0,100.0,23.9419392,1.570689024,25.567899648,0.0,0.0
3,optimizer,100.0,0.0,23.9419392,1.570697216,25.567899648,0.0,0.0
4,forward,100.0,117.9,23.9419392,1.570643968,25.5670272,0.0,0.0
4,backward,100.0,100.7,23.9419392,1.57069312,25.57343744,0.0,0.0
4,optimizer,100.0,0.0,23.9419392,1.570705408,25.57343744,0.0,0.0
5,forward,100.0,119.3,23.9419392,1.570660352,25.569808384,0.0,0.0
5,backward,100.0,99.8,23.9419392,1.570660352,25.571155968,0.0,0.0
5,optimizer,100.0,0.0,23.9419392,1.570660352,25.571155968,0.0,0.0
6,forward,100.0,119.5,23.9419392,1.570934784,25.568157696,0.0,0.0
6,backward,100.0,100.5,23.9419392,1.570955264,25.58459904,0.0,0.0
6,optimizer,100.0,0.0,23.9419392,1.570963456,25.58459904,0.0,0.0
7,forward,100.0,123.2,23.9419392,1.570521088,24.38213632,0.0,0.0
7,backward,100.0,99.8,23.9419392,1.570521088,24.380526592,0.0,0.0
7,optimizer,100.0,0.0,23.9419392,1.570525184,24.380526592,0.0,0.0
8,forward,100.0,120.6,23.9419392,1.571012608,24.38187008,0.0,0.0
8,backward,100.0,99.5,23.9419392,1.5710208,24.381538304,0.0,0.0
8,optimizer,100.0,0.0,23.9419392,1.5710208,24.381538304,0.0,0.0
9,forward,100.0,121.1,23.9419392,1.570705408,24.381267968,0.0,0.0
9,backward,100.0,99.8,23.9419392,1.570705408,24.383254528,0.0,0.0
9,optimizer,100.0,0.0,23.9419392,1.570709504,24.383254528,0.0,0.0
10,forward,100.0,118.6,23.9419392,1.570701312,22.194479104,0.0,0.0
10,backward,100.0,99.7,23.9419392,1.570701312,22.320054272,0.0,0.0
10,optimizer,100.0,0.0,23.9419392,1.570701312,22.320054272,0.0,0.0
11,forward,100.0,123.1,23.9419392,1.57079552,22.3251456,0.0,0.0
11,backward,100.0,100.2,23.9419392,1.57079552,22.341046272,0.0,0.0
11,optimizer,100.0,0.0,23.9419392,1.570799616,22.341046272,0.0,0.0
12,forward,100.0,119.9,23.9419392,1.570746368,22.36311552,0.0,0.0
12,backward,100.0,99.6,23.9419392,1.570746368,22.36225536,0.0,0.0
12,optimizer,100.0,430.1,23.9419392,1.570746368,22.36225536,0.0,0.0
13,forward,100.0,117.1,23.9419392,1.570701312,22.337888256,0.0,0.0
13,backward,100.0,100.3,23.9419392,1.570701312,22.298054656,0.0,0.0
13,optimizer,100.0,0.0,23.9419392,1.570705408,22.298054656,0.0,0.0
14,forward,100.0,119.1,23.9419392,1.570967552,20.758523904,0.0,0.0
14,backward,100.0,100.2,23.9419392,1.570967552,20.369342464,0.0,0.0
14,optimizer,100.0,0.0,23.9419392,1.570967552,20.369342464,0.0,0.0
15,forward,100.0,122.3,23.9419392,1.570787328,20.370259968,0.0,0.0
15,backward,100.0,100.0,23.9419392,1.570787328,20.564635648,0.0,0.0
15,optimizer,100.0,463.3,23.9419392,1.570787328,20.564635648,0.0,0.0
16,forward,100.0,118.4,23.9419392,1.57073408,20.621811712,0.0,0.0
16,backward,100.0,100.1,23.9419392,1.57073408,20.7455232,0.0,0.0
16,optimizer,100.0,0.0,23.9419392,1.57073408,20.746039296,0.0,0.0
17,forward,100.0,120.2,23.9419392,1.570996224,20.796637184,0.0,0.0
17,backward,100.0,100.1,23.9419392,1.570996224,20.882055168,0.0,0.0
17,optimizer,100.0,0.0,23.9419392,1.570996224,20.88308736,0.0,0.0
18,forward,100.0,118.4,23.9419392,1.570709504,21.269188608,0.0,0.0
18,backward,100.0,100.1,23.9419392,1.570709504,21.293203456,0.0,0.0
18,optimizer,100.0,0.0,23.9419392,1.5707136,21.293203456,0.0,0.0
19,forward,100.0,118.4,23.9419392,1.570676736,21.299888128,0.0,0.0
19,backward,100.0,100.1,23.9419392,1.570676736,21.325959168,0.0,0.0
19,optimizer,100.0,0.0,23.9419392,1.570676736,21.333184512,0.0,0.0
20,forward,100.0,118.5,23.9419392,1.570942976,21.304774656,0.0,0.0
20,backward,100.0,100.0,23.9419392,1.570942976,21.3323776,0.0,0.0
20,optimizer,100.0,0.0,23.9419392,1.570942976,21.341667328,0.0,0.0
21,forward,100.0,128.7,23.9419392,1.57077504,21.309079552,0.0,0.0
21,backward,100.0,100.0,23.9419392,1.57077504,21.319012352,0.0,0.0
21,optimizer,100.0,0.0,23.9419392,1.57077504,21.313335296,0.0,0.0
