step,forward_ms,backward_ms,optimizer_ms
1.0,321.850176,323.083463,40.894092
2.0,124.279257,291.573535,1.805534
3.0,125.135779,290.218237,1.960046
4.0,124.277007,292.066992,1.809294
5.0,124.703003,291.23839,1.799753
6.0,123.953814,291.311531,1.798764
7.0,124.944967,291.95517,1.802564
8.0,125.762267,292.220373,1.795804
9.0,125.601135,291.91872,1.806174
10.0,125.797967,292.958614,1.805034
11.0,124.5442,291.308591,1.843665
12.0,125.507754,290.582212,1.825764
13.0,125.2562,292.055532,1.815554
14.0,125.116829,292.499567,1.799654
15.0,125.612225,291.444074,1.791683
16.0,124.963736,290.322268,1.799684
17.0,125.479454,291.95984,1.979076
18.0,125.423993,293.103915,1.802564
19.0,126.220274,291.102419,1.981786
20.0,125.361462,291.659496,1.808984
21.0,126.062601,292.928053,2.098228
22.0,124.905846,292.72568,1.813144
23.0,125.584145,292.176613,1.803223
24.0,125.460853,291.631706,1.801684
25.0,125.379862,291.91727,1.795704
26.0,125.529104,291.764427,1.805174
27.0,126.390985,292.782091,1.798073
28.0,124.47203,292.016721,1.817194
29.0,125.554004,291.388853,1.859765
30.0,123.901173,292.432856,1.809304
31.0,125.493884,291.24657,1.826995
32.0,125.264021,292.554218,1.879025
33.0,124.705044,292.675079,1.804634
34.0,125.183779,292.816312,1.811904
35.0,124.928836,292.69039,1.929285
36.0,126.03252,292.893663,1.801284
37.0,125.598435,292.634349,1.942606
38.0,125.20633,292.144122,1.816314
39.0,125.800717,295.428046,1.817204
40.0,126.164962,294.001628,2.112917
41.0,125.626636,294.23708,1.799634
42.0,125.701516,292.832682,1.804754
43.0,124.895625,293.234958,1.791273
44.0,126.116992,293.538561,1.871365
45.0,125.845888,293.4614,1.802454
46.0,124.835405,294.106989,1.792233
47.0,125.800777,294.776248,1.869105
48.0,125.127418,293.661233,1.810084
49.0,125.411592,293.44612,1.813634
50.0,125.632195,293.182886,1.794843
51.0,125.862489,294.165779,1.986317
52.0,126.180433,294.470163,1.814313
53.0,125.25333,293.776635,1.789303
54.0,125.079768,293.285298,1.932456
55.0,125.808508,294.106308,1.809294
56.0,126.023471,295.473847,1.826324
57.0,125.867509,294.356622,1.816364
58.0,125.951929,294.801768,2.157418
59.0,125.98149,292.906263,1.822634
60.0,125.878759,293.202917,1.893985
61.0,125.663616,293.309718,1.810594
62.0,125.049378,294.696687,1.812484
63.0,125.689376,293.46916,1.824854
64.0,126.197513,293.468481,1.813084
65.0,125.350412,294.170509,1.803793
66.0,125.891498,294.400233,1.791174
67.0,124.842605,293.660972,1.861984
68.0,125.24465,294.377002,1.811164
69.0,125.252681,293.625992,1.805224
70.0,126.487507,294.105429,1.808324
71.0,125.24163,293.46995,1.924095
72.0,126.835162,294.374462,1.824804
73.0,125.853278,295.230664,1.817664
74.0,126.220963,293.850805,1.805954
75.0,124.121395,293.42168,1.798174
76.0,125.569485,293.48637,1.972536
77.0,124.862325,294.502474,1.803554
78.0,125.605645,294.660127,1.800284
79.0,124.935036,294.023268,1.812674
80.0,125.541605,293.349738,1.807924
81.0,124.764884,293.44252,1.815524
82.0,126.565507,293.690073,1.935696
83.0,125.654436,295.327295,1.798174
84.0,125.403912,293.923057,1.797714
85.0,124.750704,293.769264,1.796874
86.0,126.257974,294.619366,1.790034
87.0,125.390432,293.962357,1.845055
88.0,124.765214,295.517437,1.790494
89.0,125.764378,293.301968,1.798494
90.0,126.03023,293.640523,1.798414
91.0,125.24582,293.295828,1.798084
92.0,126.436406,294.852718,1.795144
93.0,125.824348,294.23329,1.853285
94.0,126.466666,294.046518,1.800114
95.0,124.154026,293.323459,1.805164
96.0,125.272611,294.680036,1.800624
97.0,125.159069,295.73271,1.825924
98.0,125.973559,294.921389,1.796924
99.0,126.252053,293.947636,1.970126
100.0,125.891179,293.352709,1.794434
101.0,124.846965,295.610348,1.791504
102.0,126.536408,293.369329,1.791564
103.0,126.660659,295.198373,1.797084
104.0,125.397012,294.136589,1.950816
105.0,125.024147,295.66369,1.801644
106.0,126.558757,294.19495,1.809904
107.0,126.819691,294.591355,1.798324
108.0,125.727006,293.840516,1.803054
109.0,125.147529,295.124391,1.786524
110.0,126.321395,293.42252,1.809094
111.0,126.415635,294.638116,1.803314
112.0,125.539004,293.932307,1.947875
113.0,125.465393,295.204503,1.823924
114.0,126.508947,294.083739,1.799294
115.0,125.640006,295.725369,1.801353
116.0,126.448197,295.188763,1.791474
117.0,125.792488,293.923356,1.807904
118.0,126.639068,294.786318,1.806444
119.0,126.258384,294.343441,1.840904
120.0,125.814678,294.20255,1.819724
121.0,125.19562,293.929496,1.808074
122.0,126.240904,294.540804,1.793094
123.0,126.150202,294.448214,1.825704
124.0,126.570858,294.115519,1.811794
125.0,126.158722,295.738421,1.797754
126.0,126.522047,292.931653,1.858825
127.0,126.545677,293.608552,1.800023
128.0,125.597415,294.485644,1.815734
129.0,125.147599,295.100692,1.799614
130.0,125.934659,294.315142,1.818844
131.0,125.528004,295.346235,1.802094
132.0,125.765517,293.931417,1.815163
133.0,125.252991,293.918116,1.788554
134.0,125.693506,294.817478,5.078597
135.0,126.086991,294.622935,1.811194
136.0,125.020988,293.964807,1.826394
137.0,126.587038,293.750664,1.802004
138.0,126.778521,294.420483,1.789334
139.0,126.311685,295.311495,1.798844
140.0,125.484123,294.559934,1.792514
141.0,126.527057,294.704357,1.965296
142.0,125.687946,294.879309,1.804674
143.0,126.603658,295.241364,1.811314
144.0,125.915579,293.879086,1.796924
145.0,126.473807,295.492797,1.819284
146.0,126.048101,295.897402,1.798124
147.0,125.495614,294.467653,1.802114
148.0,125.304731,293.831535,1.788154
149.0,127.001823,295.221944,1.792154
150.0,126.154232,295.170323,1.783414
151.0,125.94561,294.931459,1.948355
152.0,125.829728,294.252941,1.798414
153.0,126.104941,294.881979,1.802044
154.0,126.388145,294.611856,1.802944
155.0,125.127568,295.73704,1.814154
156.0,125.818528,293.385109,1.811814
157.0,125.730167,294.534374,1.799714
158.0,126.209963,293.605422,1.797243
159.0,124.316818,295.043951,1.838235
160.0,125.896589,294.534724,1.889056
161.0,125.685606,295.347355,1.790464
162.0,125.857848,294.129809,1.802634
163.0,125.288051,293.686623,1.799003
164.0,126.029971,294.609355,1.795123
165.0,125.91699,294.749307,1.789964
166.0,125.588314,294.891009,1.798984
167.0,126.508197,294.584375,1.809664
168.0,126.717209,294.468994,1.793024
169.0,125.96369,294.663945,1.809094
170.0,125.834508,295.973053,1.892645
171.0,125.808438,294.21067,1.822364
172.0,125.716877,293.660602,1.803464
173.0,125.499483,296.153325,1.809694
174.0,126.330895,294.544044,1.819544
175.0,125.005667,294.550635,1.805714
176.0,125.834208,295.062611,1.809605
177.0,125.449123,294.303661,1.799404
178.0,125.066378,295.748321,1.801434
179.0,126.503517,295.249073,1.926006
180.0,126.236944,296.52277,1.805213
181.0,126.417216,294.029748,1.803934
182.0,126.823971,294.330772,1.787834
183.0,125.754337,294.95627,1.792943
184.0,125.687746,294.729707,1.792094
185.0,126.498587,294.031118,1.793354
186.0,126.646719,294.584665,1.793764
187.0,129.828471,294.292161,1.803213
188.0,125.800848,294.761187,1.812824
189.0,126.012351,294.767697,1.971417
190.0,126.263724,294.805038,1.787394
191.0,126.330795,295.482877,1.810884
192.0,126.486997,294.698226,1.798664
193.0,125.613065,294.321152,1.804684
194.0,125.713976,294.788458,1.782043
195.0,125.95144,295.094522,1.804114
196.0,126.177903,295.303834,1.792353
197.0,125.644675,294.874309,1.808214
198.0,125.827798,294.381162,1.793884
199.0,126.169693,295.619898,1.797913
200.0,126.77694,295.570388,1.791084
201.0,125.814618,295.248434,2.093128
202.0,125.080518,295.206353,1.804184
203.0,125.820738,294.724657,1.816614
