step,phase,gpu_util,cpu_util,gpu_mem_gb,cpu_mem_gb,ram_gb,io_read_gb,io_write_gb
1,backward,8.0,67.13333333333334,1.745682432,1.4057553919999999,19.215069184,0.0,0.0
1,forward,5.333333333333333,0.3333333333333333,1.634533376,1.3195113813333332,19.150011050666667,0.0,0.0
1,optimizer,8.0,75.8,1.781334016,1.4704872106666667,19.278987263999998,0.0,0.0
2,backward,8.0,71.0,1.781334016,1.4744576,19.288619690666668,0.0,0.0
2,forward,8.0,172.36666666666667,1.781334016,1.4744576,19.288533674666667,0.0,0.0
2,optimizer,8.0,0.0,1.781334016,1.4744576,19.288619690666668,0.0,0.0
3,backward,46.666666666666664,60.666666666666664,1.781334016,1.4783747413333332,19.292504064,0.0,0.0
3,forward,8.0,201.30000000000004,1.781334016,1.4783747413333332,19.283902464,0.0,0.0
3,optimizer,46.666666666666664,192.20000000000002,1.781334016,1.4783747413333332,19.292504064,0.0,0.0
4,backward,46.666666666666664,69.26666666666667,1.781334016,1.4786041173333333,19.290711381333335,0.0,0.0
4,forward,46.666666666666664,228.76666666666665,1.781334016,1.4786041173333333,19.292762112000002,0.0,0.0
4,optimizer,46.666666666666664,0.0,1.781334016,1.4786041173333333,19.290711381333335,0.0,0.0
5,backward,46.666666666666664,69.0,1.781334016,1.4786041173333333,19.290711381333335,0.0,0.0
5,forward,46.666666666666664,191.69999999999996,1.781334016,1.4786041173333333,19.290711381333335,0.0,0.0
5,optimizer,46.666666666666664,0.0,1.781334016,1.4786041173333333,19.290711381333335,0.0,0.0
6,backward,46.666666666666664,68.83333333333333,1.781334016,1.4786041173333333,19.3020928,0.0,0.0
6,forward,46.666666666666664,227.9666666666667,1.781334016,1.4786041173333333,19.295107754666663,0.0,0.0
6,optimizer,46.666666666666664,0.6,1.781334016,1.4786041173333333,19.3020928,0.0,0.0
7,backward,93.0,69.13333333333333,1.781334016,1.4786628266666666,19.302019072,0.0,0.0
7,forward,76.0,209.13333333333333,1.781334016,1.4786041173333333,19.302178815999998,0.0,0.0
7,optimizer,93.0,0.6333333333333333,1.781334016,1.4786628266666666,19.302019072,0.0,0.0
8,backward,93.0,69.3,1.781334016,1.4786628266666666,19.293087061333335,0.0,0.0
8,forward,93.0,207.80000000000004,1.781334016,1.4786628266666666,19.302019072,0.0,0.0
8,optimizer,93.0,0.0,1.781334016,1.4786628266666666,19.29480738133333,0.0,0.0
9,backward,93.0,69.7,1.781334016,1.4786628266666666,19.299968341333333,0.0,0.0
9,forward,93.0,209.5,1.781334016,1.4786628266666666,19.300140373333335,0.0,0.0
9,optimizer,93.0,0.0,1.781334016,1.4786628266666666,19.299968341333333,0.0,0.0
10,backward,93.33333333333333,69.76666666666667,1.781334016,1.4787188053333333,19.311174997333335,0.0,0.0
10,forward,93.0,208.83333333333334,1.781334016,1.4786628266666666,19.299968341333333,0.0,0.0
10,optimizer,93.33333333333333,1.1333333333333333,1.781334016,1.4787188053333333,19.311174997333335,0.0,0.0
11,backward,93.33333333333333,69.93333333333332,1.781334016,1.4787188053333333,19.305511594666665,0.0,0.0
11,forward,93.33333333333333,210.4333333333333,1.781334016,1.4787188053333333,19.311174997333335,0.0,0.0
11,optimizer,93.33333333333333,1.2,1.781334016,1.4787188053333333,19.30723191466667,0.0,0.0
12,backward,93.33333333333333,70.0,1.781334016,1.4787201706666666,19.311016618666667,0.0,0.0
12,forward,93.33333333333333,211.30000000000004,1.781334016,1.4787201706666666,19.311016618666667,0.0,0.0
12,optimizer,93.33333333333333,0.0,1.781334016,1.4787201706666666,19.311016618666667,0.0,0.0
13,backward,93.33333333333333,69.5,1.781334016,1.4787201706666666,19.308965888,0.0,0.0
13,forward,93.33333333333333,192.33333333333334,1.781334016,1.4787201706666666,19.306901504,0.0,0.0
13,optimizer,93.33333333333333,0.0,1.781334016,1.4787201706666666,19.308965888,0.0,0.0
14,backward,93.0,60.76666666666667,1.781334016,1.4787201706666666,19.317026816,0.0,0.0
