step,gpu_util,cpu_util,gpu_mem_gb,cpu_mem_gb,ram_gb,io_read_gb,io_write_gb
1,95.0,0.0,6.80820736,1.421979648,20.797636608,0.0,0.0
2,100.0,0.0,6.80820736,1.42231552,20.829093888,0.0,0.0
3,99.0,0.0,6.80820736,1.422516224,20.859285504,0.0,0.0
4,100.0,0.0,6.80820736,1.422536704,20.8886784,0.0,0.0
5,99.0,0.0,6.80820736,1.422536704,20.889403392,0.0,0.0
6,100.0,0.0,6.80820736,1.422553088,20.890177536,0.0,0.0
7,100.0,0.0,6.80820736,1.422589952,20.919414784,0.0,0.0
8,100.0,0.0,6.80820736,1.422036992,20.950122496,0.0,0.0
9,100.0,0.0,6.80820736,1.421955072,20.95089664,0.0,0.0
10,99.0,0.0,6.80820736,1.422045184,20.982304768,0.0,0.0
11,100.0,0.0,6.80820736,1.422032896,21.011206144,0.0,0.0
12,100.0,0.0,6.80820736,1.422606336,21.043462144,0.0,0.0
13,100.0,0.0,6.80820736,1.422606336,21.044031488,0.0,0.0
14,100.0,0.0,6.80820736,1.422614528,21.07344896,0.0,0.0
15,100.0,0.0,6.80820736,1.422614528,21.104234496,0.0,0.0
16,99.0,0.0,6.80820736,1.422061568,21.136490496,0.0,0.0
17,99.0,0.0,6.80820736,1.422614528,21.135020032,0.0,0.0
18,100.0,0.0,6.80820736,1.422614528,21.166501888,0.0,0.0
19,100.0,0.0,6.80820736,1.42262272,21.1649536,0.0,0.0
20,100.0,0.0,6.80820736,1.42262272,21.165264896,0.0,0.0
21,100.0,0.0,6.80820736,1.422053376,21.166297088,0.0,0.0
22,100.0,0.0,6.80820736,1.42262272,21.195792384,0.0,0.0
23,99.0,0.0,6.80820736,1.42262272,21.227532288,0.0,0.0
24,100.0,0.0,6.80820736,1.422004224,21.258964992,0.0,0.0
25,99.0,0.0,6.80820736,1.42262272,21.257674752,0.0,0.0
26,100.0,0.0,6.80820736,1.42262272,21.289414656,0.0,0.0
27,100.0,0.0,6.80820736,1.422053376,21.320691712,0.0,0.0
28,100.0,0.0,6.80820736,1.422630912,21.350109184,0.0,0.0
29,99.0,0.0,6.80820736,1.422630912,21.350703104,0.0,0.0
30,100.0,0.0,6.80820736,1.422077952,21.38218496,0.0,0.0
31,100.0,0.0,6.80820736,1.422635008,21.411422208,0.0,0.0
32,99.0,0.0,6.80820736,1.4226432,21.443162112,0.0,0.0
33,100.0,0.0,6.80820736,1.422073856,21.443936256,0.0,0.0
34,100.0,0.0,6.80820736,1.42209024,21.473148928,0.0,0.0
35,99.0,0.0,6.80820736,1.4226432,21.504630784,0.0,0.0
36,100.0,0.0,6.80820736,1.4226432,21.536579584,0.0,0.0
37,100.0,0.0,6.80820736,1.42211072,21.535289344,0.0,0.0
38,100.0,0.0,6.80820736,1.422700544,21.566590976,0.0,0.0
39,93.0,0.0,6.80820736,1.422700544,21.597814784,0.0,0.0
40,100.0,0.0,6.80820736,1.422147584,21.627490304,0.0,0.0
41,100.0,0.0,6.80820736,1.4221312,21.628059648,0.0,0.0
42,100.0,0.0,6.80820736,1.42270464,21.657735168,0.0,0.0
43,99.0,0.0,6.80820736,1.42270464,21.688778752,0.0,0.0
44,100.0,0.0,6.80820736,1.42215168,21.720518656,0.0,0.0
45,97.0,0.0,6.80820736,1.422135296,21.718790144,0.0,0.0
46,100.0,0.0,6.80820736,1.42209024,21.750530048,0.0,0.0
47,100.0,0.0,6.80820736,1.422708736,21.781753856,0.0,0.0
48,100.0,0.0,6.80820736,1.421959168,21.811482624,0.0,0.0
49,100.0,0.0,6.80820736,1.422143488,21.812256768,0.0,0.0
50,99.0,0.0,6.80820736,1.422163968,21.84394752,0.0,0.0
51,99.0,0.0,6.80820736,1.422716928,21.87362304,0.0,0.0
52,100.0,0.0,6.80820736,1.422721024,21.904924672,0.0,0.0
53,100.0,0.0,6.80820736,1.422086144,21.905698816,0.0,0.0
54,99.0,0.0,6.80820736,1.422168064,21.935374336,0.0,0.0
55,100.0,0.0,6.80820736,1.42272512,21.966675968,0.0,0.0
56,99.0,0.0,6.80820736,1.422770176,21.998157824,0.0,0.0
57,99.0,0.0,6.80820736,1.422200832,21.996404736,0.0,0.0
58,100.0,0.0,6.80820736,1.42215168,22.02814464,0.0,0.0
59,100.0,0.0,6.80820736,1.422200832,22.059577344,0.0,0.0
60,100.0,0.0,6.80820736,1.422221312,22.089252864,0.0,0.0
61,100.0,0.0,6.80820736,1.422774272,22.089588736,0.0,0.0
62,99.0,0.0,6.80820736,1.422778368,22.121070592,0.0,0.0
63,99.0,3627.6,6.80820736,1.421422592,22.150746112,0.0,0.0
64,100.0,0.0,6.80820736,1.4222336,22.182539264,0.0,0.0
65,100.0,0.0,6.80820736,1.422217216,22.181249024,0.0,0.0
66,100.0,0.0,6.80820736,1.4222336,22.212550656,0.0,0.0
67,99.0,0.0,6.80820736,1.422790656,22.244032512,0.0,0.0
68,100.0,0.0,6.80820736,1.42217216,22.27326976,0.0,0.0
69,97.0,0.0,6.80820736,1.422221312,22.274043904,0.0,0.0
70,100.0,0.0,6.80820736,1.422237696,22.30552576,0.0,0.0
71,100.0,0.0,6.80820736,1.422221312,22.334480384,0.0,0.0
72,99.0,0.0,6.80820736,1.422794752,22.366478336,0.0,0.0
73,99.0,0.0,6.80820736,1.422794752,22.367203328,0.0,0.0
74,100.0,0.0,6.80820736,1.422278656,22.3966208,0.0,0.0
75,95.0,0.0,6.80820736,1.422135296,22.427664384,0.0,0.0
76,100.0,0.0,6.80820736,1.422282752,22.459662336,0.0,0.0
77,100.0,0.0,6.80820736,1.422266368,22.458372096,0.0,0.0
78,100.0,0.0,6.80820736,1.422843904,22.489649152,0.0,0.0
79,99.0,0.0,6.80820736,1.422843904,22.505648128,0.0,0.0
80,100.0,0.0,6.80820736,1.42266368,22.508593152,0.030703616,0.0
81,98.0,3564.0,6.80820736,1.42266368,22.50764288,0.06144,0.0
82,99.0,0.0,6.80820736,1.422667776,22.508957696,0.092106752,0.0
83,91.0,0.0,6.80820736,1.422667776,22.51022336,0.122822656,0.0
84,100.0,0.0,6.80820736,1.361539072,22.510145536,0.15355904,0.0
85,81.0,0.0,6.80820736,1.331294208,22.509334528,0.18432,0.0
86,100.0,0.0,6.80820736,1.269710848,22.509121536,0.21508096,0.0
87,100.0,0.0,6.80820736,1.208102912,22.509105152,0.23015424,0.0
88,100.0,0.0,6.80820736,1.192701952,22.510379008,0.230170624,0.0
89,94.0,0.0,6.80820736,1.192402944,22.508630016,0.230170624,0.0
90,100.0,0.0,6.80820736,1.161777152,22.50940416,0.230170624,0.0
91,100.0,0.0,6.80820736,1.131319296,22.509346816,0.230182912,0.0
92,99.0,0.0,6.80820736,1.100767232,22.508314624,0.230211584,0.0
93,100.0,0.0,6.80820736,1.100087296,22.508650496,0.230240256,0.0
94,100.0,0.0,6.80820736,1.069109248,22.50942464,0.230252544,0.0
95,92.0,0.0,6.80820736,1.038594048,22.5081344,0.23025664,0.0
96,100.0,0.0,6.80820736,1.00780032,22.508961792,0.230268928,0.0
97,100.0,0.0,6.80820736,1.007058944,22.509477888,0.230281216,0.0
98,100.0,0.0,6.80820736,0.977731584,22.508265472,0.230313984,0.0
99,99.0,0.0,6.80820736,0.946061312,22.509039616,0.230330368,0.0
100,93.0,0.0,6.80820736,0.915591168,22.510022656,0.23037952,0.0
101,100.0,0.0,6.80820736,0.915267584,22.508474368,0.230662144,0.0
102,99.0,0.0,6.80820736,0.8907776,22.509326336,0.230699008,0.0
103,99.0,0.0,6.80820736,0.890793984,22.509326336,0.230711296,0.0
104,100.0,0.0,6.80820736,0.89083904,22.508552192,0.230744064,0.0
105,98.0,0.0,6.80820736,0.890847232,22.508863488,0.230752256,0.0
106,92.0,0.0,6.80820736,0.89145344,22.510153728,0.230785024,0.0
107,100.0,0.0,6.80820736,0.891478016,22.508138496,0.230821888,0.0
108,100.0,0.0,6.80820736,0.890937344,22.509428736,0.230821888,0.0
109,99.0,0.0,6.80820736,0.890925056,22.50989568,0.230846464,0.0
110,100.0,0.0,6.80820736,0.890978304,22.508347392,0.230879232,0.0
111,92.0,0.0,6.80820736,0.8909824,22.508859392,0.230883328,0.0
112,100.0,0.0,6.80820736,0.89100288,22.509944832,0.230883328,0.0
113,100.0,0.0,6.80820736,0.890990592,22.508396544,0.230883328,0.0
114,100.0,0.0,6.80820736,0.891006976,22.508732416,0.230903808,0.0
115,100.0,0.0,6.80820736,0.891584512,22.50950656,0.230903808,0.0
116,98.0,0.0,6.80820736,0.891600896,22.508294144,0.230920192,0.0
117,94.0,0.0,6.80820736,0.890970112,22.50881024,0.230928384,0.0
118,100.0,0.0,6.80820736,0.89106432,22.507778048,0.230944768,0.0
119,100.0,0.0,6.80820736,0.891011072,22.508347392,0.230957056,0.0
120,100.0,0.0,6.80820736,0.891092992,22.509121536,0.230977536,0.0
121,100.0,0.0,6.80820736,0.891117568,22.507393024,0.231022592,0.0
122,92.0,0.0,6.80820736,0.891162624,22.508425216,0.231047168,0.0
123,100.0,0.0,6.80820736,0.891179008,22.509150208,0.231071744,0.0
124,100.0,0.0,6.80820736,0.891170816,22.508118016,0.2311168,0.0
125,99.0,0.0,6.80820736,0.891813888,22.508453888,0.231124992,0.0
126,100.0,0.0,6.80820736,0.891830272,22.5069056,0.231141376,0.0
127,98.0,0.0,6.80820736,0.891277312,22.505873408,0.23117824,0.0
128,93.0,0.0,6.80820736,0.891322368,22.506442752,0.231190528,0.0
129,100.0,0.0,6.80820736,0.891244544,22.50719232,0.23119872,0.0
130,100.0,0.0,6.80820736,0.891338752,22.506139648,0.231206912,0.0
131,100.0,0.0,6.80820736,0.890949632,22.504677376,0.231215104,0.0
132,99.0,0.0,6.80820736,0.891367424,22.50545152,0.231235584,0.0
133,94.0,0.0,6.80820736,0.891387904,22.505967616,0.231264256,0.0
134,100.0,0.0,6.80820736,0.891973632,22.504726528,0.231264256,0.0
135,99.0,0.0,6.80820736,0.89198592,22.505500672,0.23128064,0.0
136,100.0,0.0,6.80820736,0.891441152,22.506483712,0.231284736,0.0
