step,forward_ms,backward_ms,optimizer_ms
1,207.02148,118.717601,40.438678
2,29.837075,76.437381,1.818993
3,31.166541,75.66911,1.802922
4,31.09898,75.280936,1.804983
5,30.021937,75.963544,1.974875
6,30.500503,74.144681,1.785552
7,29.980067,75.753421,1.810453
8,30.401382,74.778668,1.798282
9,30.134778,75.718091,1.812723
10,30.306661,74.853819,1.800153
11,30.336931,75.078823,1.920264
12,30.22301,75.633679,1.806033
13,30.393162,74.418834,1.797233
14,30.128278,75.572629,1.782912
15,30.331351,74.421734,1.801183
16,30.036957,75.811942,1.805123
17,30.441992,74.82976,1.785372
18,30.25915,76.193557,1.807423
19,30.319731,75.652281,1.795932
20,30.443062,74.561706,1.802393
21,30.192599,75.502539,1.801393
22,30.338431,74.624127,1.785312
23,30.096178,75.890523,1.802163
24,30.368682,75.065863,1.776572
25,30.27519,75.712481,1.796613
26,30.356332,75.126484,1.793412
27,30.352911,74.823,1.814212
28,30.203559,75.415538,1.796303
29,30.500383,74.338514,1.797212
30,30.108618,75.547439,1.800812
31,30.347281,74.79224,1.806223
32,30.22951,75.825712,1.793492
33,30.352061,75.198325,1.809123
34,30.432982,75.550698,1.808793
35,30.332141,75.722991,1.812293
36,30.678605,74.421655,1.979755
37,30.050797,76.113886,1.786972
38,30.401421,74.986223,1.800292
39,30.380571,75.799221,1.794973
40,30.30374,74.999972,1.784833
41,30.439553,76.161807,1.825703
42,30.389182,75.482538,1.813963
43,30.400382,74.700748,1.808613
44,30.207679,76.41984,1.837623
45,30.362111,75.065403,1.789892
46,30.23235,75.747321,1.788653
47,30.361171,75.641199,1.795523
48,30.548904,75.277966,1.815983
49,30.358751,76.104316,1.806293
50,30.450862,74.80329,1.810443
51,30.136968,76.176657,1.823903
52,30.325631,75.492597,1.848183
53,30.695635,75.465628,1.814773
54,30.26691,75.711001,1.819003
55,30.608594,74.709718,1.808273
56,30.077408,76.167106,1.793793
57,30.542504,75.102233,1.799622
58,30.204539,76.40606,1.824793
59,30.485713,75.69152,1.816782
60,30.405742,74.560737,1.803782
61,30.2761,75.63138,1.818463
62,30.372022,74.608426,1.803612
63,30.158168,76.068946,1.809873
64,30.348971,75.380906,1.794953
65,30.30161,76.097005,1.787413
66,30.394041,75.747621,1.805153
67,30.508853,74.660107,1.809312
68,30.220159,76.055366,1.804703
69,30.482482,75.058613,1.818613
70,30.343321,76.40042,1.832403
71,30.509453,75.705661,1.827802
72,30.498293,75.096183,1.814913
73,30.355861,76.187447,1.827302
74,30.528494,75.194464,1.800422
75,30.23261,76.423769,1.819753
76,30.533033,75.695261,2.024316
77,30.543353,74.839639,1.819233
78,30.25084,75.770522,1.811733
79,30.558044,75.151944,1.812063
80,30.22974,76.42955,1.827883
81,30.544174,75.425338,1.822603
82,30.544944,76.105776,1.823032
83,30.460692,76.144607,1.810363
84,30.538044,75.010752,1.957875
85,30.20324,76.581911,1.798493
86,30.558953,75.60362,1.807443
87,30.717196,75.372386,1.819423
88,30.382183,75.742281,1.812983
89,30.740996,74.899131,1.795423
90,30.22873,76.47909,1.809803
91,30.534333,75.417288,1.831933
92,30.570424,76.102625,1.791233
93,30.499053,75.585529,1.811663
94,30.550544,75.236505,1.808253
95,30.428832,76.339429,1.995045
96,30.508863,75.528419,1.805273
97,30.582944,75.490628,1.792312
98,30.407522,76.177206,1.820773
99,30.586215,75.206395,1.800282
100,30.280171,76.447119,1.837203
101,30.534604,75.494488,1.798863
102,30.602804,75.508518,1.808643
103,30.501883,75.64193,1.801273
