step,gpu_util_pct,gpu_mem_util_pct,gpu_power_w,gpu_mem_alloc_mb,gpu_mem_reserved_mb,cpu_util_pct,cpu_mem_mb,disk_read_mb,disk_write_mb
1,2.0,0.0,29.744,32.06396484375,52.0,334.5,1200.625,0.0,0.0
2,97.0,40.0,215.397,139.94384765625,22032.0,103.9,1538.515625,0.0,0.0
3,100.0,36.0,216.201,139.31884765625,22032.0,105.7,1538.5078125,0.0,0.0
4,100.0,39.0,216.382,139.31884765625,22032.0,107.9,1538.9375,0.0,0.0
5,100.0,41.0,216.343,139.31884765625,22032.0,106.3,1538.34375,0.0,0.0
6,100.0,41.0,215.987,139.31884765625,22032.0,106.7,1538.56640625,0.0,0.0
7,100.0,37.0,218.243,139.31884765625,22032.0,106.2,1538.8515625,0.0,0.0
8,100.0,36.0,216.865,139.31884765625,22032.0,107.4,1538.71875,0.0,0.0
9,100.0,40.0,218.122,139.31884765625,22032.0,107.0,1539.03125,0.0,0.0
10,100.0,41.0,216.401,139.31884765625,22032.0,106.8,1538.71875,0.0,0.0
11,100.0,37.0,216.501,139.31884765625,22032.0,112.7,1538.7578125,0.0,0.0
12,100.0,40.0,215.753,139.31884765625,22032.0,104.4,1538.75390625,0.0,0.0
13,100.0,41.0,216.747,139.31884765625,22032.0,105.5,1538.890625,0.0,0.0
14,100.0,35.0,216.009,139.31884765625,22032.0,105.4,1539.125,0.0,0.0
15,100.0,39.0,215.411,139.31884765625,22032.0,105.5,1539.17578125,0.0,0.0
16,100.0,41.0,217.162,139.31884765625,22032.0,106.2,1539.21875,0.0,0.0
17,100.0,37.0,217.837,139.31884765625,22032.0,105.4,1538.95703125,0.0,0.0
18,100.0,35.0,217.452,139.31884765625,22032.0,107.0,1539.24609375,0.0,0.0
19,100.0,40.0,217.738,139.31884765625,22032.0,107.1,1539.1484375,0.0,0.0
20,100.0,41.0,216.125,139.31884765625,22032.0,106.8,1539.48828125,0.0,0.0
21,100.0,34.0,216.218,139.31884765625,22032.0,105.9,1539.140625,0.0,0.0
22,100.0,37.0,218.319,139.31884765625,22032.0,105.9,1539.42578125,0.0,0.0
23,100.0,40.0,218.947,139.31884765625,22032.0,106.9,1539.46875,0.0,0.0
24,100.0,42.0,216.459,139.31884765625,22032.0,107.2,1539.20703125,0.0,0.0
25,100.0,35.0,217.448,139.31884765625,22032.0,107.2,1539.5,0.0,0.0
26,100.0,40.0,216.882,139.31884765625,22032.0,110.1,1539.36328125,0.0,0.0
27,100.0,42.0,217.723,139.31884765625,22032.0,106.2,1539.65234375,0.0,0.0
28,100.0,34.0,216.64,139.31884765625,22032.0,108.7,1539.66796875,0.0,0.0
29,100.0,40.0,219.549,139.31884765625,22032.0,107.7,1539.421875,0.0,0.0
30,100.0,42.0,217.922,139.31884765625,22032.0,107.8,1539.71875,0.0,0.0
31,100.0,36.0,214.915,139.31884765625,22032.0,108.2,1539.74609375,0.0,0.0
32,100.0,40.0,216.398,139.31884765625,22032.0,107.5,1539.78515625,0.0,0.0
33,100.0,38.0,217.715,139.31884765625,22032.0,108.2,1539.78125,0.0,0.0
34,100.0,34.0,217.336,139.31884765625,22032.0,107.5,1539.81640625,0.0,0.0
35,100.0,40.0,216.052,139.31884765625,22032.0,107.9,1539.8515625,0.0,0.0
36,100.0,34.0,211.917,139.31884765625,22032.0,110.0,1540.015625,0.0,0.0
37,100.0,40.0,217.971,139.31884765625,22032.0,106.2,1539.75,0.0,0.0
38,100.0,40.0,218.267,139.31884765625,22032.0,106.6,1539.77734375,0.0,0.0
39,100.0,35.0,218.414,139.31884765625,22032.0,109.6,1540.21484375,0.0,0.0
40,100.0,40.0,216.035,139.31884765625,22032.0,107.7,1540.3203125,0.0,0.0
41,100.0,34.0,218.632,139.31884765625,22032.0,107.9,1539.83984375,0.0,0.0
42,100.0,40.0,219.626,139.31884765625,22032.0,107.2,1540.1328125,0.0,0.0
43,100.0,38.0,219.502,139.31884765625,22032.0,108.2,1540.42578125,0.0,0.0
44,100.0,37.0,217.979,139.31884765625,22032.0,108.0,1539.94921875,0.0,0.0
45,100.0,42.0,217.956,139.31884765625,22032.0,107.3,1540.20703125,0.0,0.0
46,100.0,36.0,217.394,139.31884765625,22032.0,108.3,1540.4921875,0.0,0.0
47,100.0,40.0,217.033,139.31884765625,22032.0,107.6,1540.5234375,0.0,0.0
48,100.0,36.0,218.249,139.31884765625,22032.0,107.7,1540.30078125,0.0,0.0
49,100.0,38.0,219.623,139.31884765625,22032.0,109.5,1540.41796875,0.0,0.0
50,100.0,38.0,218.216,139.31884765625,22032.0,106.6,1540.453125,0.0,0.0
51,100.0,34.0,217.654,139.31884765625,22032.0,107.4,1540.4921875,0.0,0.0
52,100.0,40.0,218.446,139.31884765625,22032.0,108.3,1540.84765625,0.0,0.0
53,100.0,33.0,219.3,139.31884765625,22032.0,107.9,1540.51953125,0.0,0.0
