step,forward_ms,backward_ms,optimizer_ms
1,218.090548,86.391526,39.508312
2,15.701375,37.359415,1.730842
3,16.12573,38.634332,2.014335
4,16.209712,37.797951,1.728001
5,16.168462,37.71413,1.696741
6,16.206911,38.215756,1.716542
7,16.315693,38.318517,1.717832
8,16.220822,37.995984,1.699531
9,16.129071,37.837191,1.706261
10,16.024089,37.72389,1.705202
11,15.853147,37.924542,1.713522
12,15.922238,38.326448,1.709631
13,16.10481,38.178836,1.720071
14,16.170001,37.914512,1.705472
15,16.111281,37.912462,1.704191
16,16.014519,37.587209,1.717151
17,15.894299,37.502877,1.706482
18,15.911218,37.74662,1.711142
19,15.917448,38.340518,1.722231
20,16.132542,38.324567,1.795853
21,16.188371,37.998924,1.711801
22,16.11528,37.940473,1.715531
23,16.125681,37.778701,1.726342
24,15.990999,37.69627,1.708761
25,15.932119,37.664439,1.702321
26,15.94415,38.313797,1.725682
27,16.088671,38.215806,1.714581
28,16.181661,37.970994,1.704841
29,16.136451,37.892693,1.722961
30,16.004259,37.7135,1.696361
31,16.04088,37.71769,1.720091
32,15.925338,37.906223,1.724781
33,15.997319,38.338648,1.709811
34,16.185332,38.075494,1.706891
35,16.210642,38.034514,1.712611
36,16.126061,37.764951,1.701441
37,16.0677,37.969173,1.717131
38,15.921609,37.648949,1.732232
39,15.907528,38.314487,1.694281
40,16.165141,38.264107,1.708941
41,16.177812,37.996013,1.706342
42,16.192562,37.940453,1.706371
43,16.118761,37.775761,1.691751
44,16.02248,37.71817,1.719461
45,15.916659,37.960273,1.712661
46,15.999919,38.419349,1.710252
47,16.191802,38.081114,1.703232
48,16.202092,38.027054,1.712001
49,16.147561,37.794291,1.704342
50,16.016989,37.71375,1.710462
51,15.901108,37.783661,1.724792
52,15.940959,38.362628,1.708852
53,16.169881,38.258097,1.707211
54,16.319844,38.120795,1.827613
55,16.155082,38.062124,1.707141
56,16.213562,37.933353,1.727762
57,16.135971,37.876322,1.703021
58,16.01157,37.814031,1.697551
59,15.950768,38.50614,1.729102
60,16.134821,38.419519,1.728271
61,16.184312,38.044454,1.705561
62,16.191861,38.036134,1.703302
63,16.134662,37.78628,1.722042
64,16.003119,37.765411,1.687381
65,15.921169,37.939052,1.692421
66,16.0214,38.433899,1.717221
67,16.242932,38.171306,1.701151
68,16.137081,38.050444,1.705291
69,16.152872,37.792501,1.716362
70,15.997549,37.919563,1.862203
71,16.02129,37.953323,1.705371
72,16.03154,38.642521,1.721862
73,16.191511,38.49625,1.712391
74,16.283143,38.187806,1.720251
75,16.231452,38.208976,1.699492
76,16.248802,38.008963,1.722712
77,16.0969,37.881502,1.699191
78,16.00933,37.831391,1.711351
79,16.008699,38.619131,1.709391
80,16.260953,38.646741,1.705102
81,16.276363,38.165035,1.728652
82,16.226242,38.142856,1.719091
83,16.218392,38.042154,1.688971
84,16.128831,37.925372,1.699231
85,16.00744,37.968593,1.717272
86,16.03102,38.614651,1.704351
87,16.269752,38.365139,1.720161
88,16.198133,38.191975,1.709421
89,16.246803,38.049944,1.701331
90,16.137941,38.028454,1.709811
91,16.122981,38.024684,1.734862
92,16.04607,38.579231,2.020995
93,16.151401,38.764253,1.707191
94,16.201243,38.462569,1.733432
95,16.286203,38.162336,1.705531
96,16.229462,38.146116,1.703331
97,16.242043,38.070074,1.710052
98,16.12107,37.890533,1.720171
99,16.002629,37.957873,1.715471
100,16.03285,38.603231,1.708752
101,16.207041,38.466159,1.715111
102,16.257433,38.052244,1.706101
103,16.125961,37.988944,1.718961
104,16.219061,38.059784,1.717581
105,16.1062,37.810502,1.705111
106,16.03962,37.792271,1.703011
107,15.945068,38.011414,1.714931
108,15.98332,38.634491,1.726891
109,16.213872,38.252437,1.708701
110,16.187112,38.083385,1.739761
111,16.189091,38.159656,1.706601
112,16.246642,38.054164,1.702281
113,16.128381,38.067155,1.714611
114,16.158582,38.125585,1.728691
115,15.981739,37.913842,1.697721
116,16.0243,38.615741,1.710222
117,16.202861,38.466169,1.732272
118,16.180572,38.052514,1.710421
119,16.227852,38.119875,1.706562
120,16.248842,38.053445,1.710841
121,16.129351,38.001973,1.728002
122,16.147731,37.933883,1.717951
123,16.00623,37.952573,1.718461
124,16.02866,38.602372,1.716531
125,16.186102,38.52283,1.713002
126,16.279343,38.191076,1.723932
127,16.217492,38.192527,1.703391
128,16.223543,38.025993,1.707882
129,16.111551,38.067564,1.714342
130,16.104351,38.071355,1.704911
131,16.008839,38.862724,1.699882
132,16.353314,38.686372,1.721641
133,16.267563,38.214236,1.704282
134,16.226952,38.177436,1.699001
135,16.235782,38.169086,1.780542
136,16.181142,37.931233,1.709572
137,16.02604,37.757611,1.718161
138,15.945808,38.4857,1.711541
139,16.238992,38.724783,1.724712
140,16.281123,38.333318,1.714011
141,16.236483,38.162825,1.729921
142,16.228623,38.031144,1.726061
143,16.11636,38.024673,1.701861
144,16.123831,38.014844,1.734932
145,16.06063,38.4704,1.720911
146,16.218992,38.776393,1.703051
147,16.287143,38.290697,1.712082
148,16.251323,38.174295,1.726882
149,16.233873,38.082554,1.689201
150,16.143561,38.076394,1.703221
151,16.112391,38.029614,1.728382
152,16.04372,38.550691,1.696911
153,16.214603,38.804083,1.703992
154,16.291773,38.367108,1.731102
155,16.226852,38.306128,1.705331
156,16.272343,38.097174,1.699432
157,16.238892,38.408789,1.885024
158,16.298293,38.223757,1.725531
159,16.04011,38.158126,1.723501
160,16.0956,38.648222,1.706971
161,16.255852,38.596651,1.744122
162,16.271954,38.218646,1.714501
163,16.259162,38.194076,1.717592
164,16.230082,38.087934,1.723462
165,16.108601,38.057774,1.710622
166,16.13539,38.063745,1.705721
167,16.02503,38.573261,1.722772
168,16.256803,38.57548,1.713871
169,16.296092,38.272798,1.711831
170,16.240583,38.315698,1.727341
171,16.261002,38.081065,1.704101
172,16.128291,38.089015,1.700391
173,16.131681,38.029254,1.725222
174,15.992949,38.592321,1.708221
175,16.282643,38.51556,1.704581
176,16.283223,38.204856,1.725701
177,16.251023,38.169605,1.712482
178,16.220642,38.065254,1.700781
179,16.162132,38.043004,1.706691
180,16.10885,38.039534,1.710221
181,16.01872,38.56418,1.721462
182,16.260613,38.678892,1.714441
183,16.331603,38.217597,1.721111
184,16.240002,38.106405,1.710292
185,16.235672,38.042874,1.734952
186,16.11813,38.028094,1.721271
187,16.098671,38.055774,1.696802
188,16.007749,38.909255,1.713611
189,16.364873,38.642072,1.727442
190,16.295344,38.176905,1.709401
191,16.222402,38.219826,1.708511
192,16.257472,38.090875,1.728842
193,16.151151,38.019543,1.697112
194,16.165131,38.059174,1.718252
195,16.01952,38.870235,1.734381
196,16.343074,38.936595,1.709502
197,16.358653,38.456979,1.706972
198,16.233872,38.351439,1.719191
199,16.207133,38.230256,1.718772
200,16.234222,38.416568,1.713492
201,16.243182,38.210537,1.724042
202,16.06313,38.156906,1.708501
203,16.164121,38.910905,1.722602
204,16.321783,38.733593,1.711092
205,16.302003,38.355458,1.723662
206,16.345693,38.361518,1.707962
207,16.361164,38.298488,1.710471
208,16.241653,38.233016,1.726692
209,16.227892,38.228216,1.706131
210,16.06736,38.571771,1.715641
211,16.231052,38.995326,1.739812
212,16.338724,38.868464,1.701712
213,16.389024,38.421559,1.723502
214,16.330804,38.462199,1.727302
215,16.332444,38.332857,1.700262
216,16.252572,38.277527,1.698841
217,16.220413,38.226096,1.727682
218,16.156061,38.711462,1.710991
219,16.206582,39.018956,1.698371
220,16.331483,38.766604,1.717191
221,16.408905,38.395118,1.724932
222,16.468515,38.591561,1.795392
223,16.297593,38.205646,1.717712
224,16.264393,38.192876,1.725332
225,16.236632,38.172556,1.702311
226,16.075201,38.310888,1.730401
227,16.142902,38.939445,1.732612
228,16.371124,38.774693,1.717451
229,16.410554,38.46617,1.708791
230,16.397845,38.470149,1.730992
231,16.351724,38.240616,1.704061
232,16.244483,38.237826,1.707191
233,16.169012,38.100854,1.727772
234,16.06391,38.786323,1.725542
235,16.305534,39.023496,1.711241
236,16.388404,38.805303,1.747902
237,16.315674,38.489679,1.713632
238,16.352094,38.446969,1.708391
239,16.353124,38.251977,1.719291
240,16.224153,38.283457,1.714461
241,16.248072,38.270367,1.708751
242,16.156661,38.649272,1.716461
243,16.232262,39.010816,1.715592
244,16.323913,38.810934,1.732942
245,16.399364,38.459409,1.711271
246,16.384644,38.53311,1.729052
247,16.368084,38.286647,1.703852
248,16.247063,38.240556,1.703881
249,16.268523,38.187126,1.729641
250,16.244572,38.54093,1.893374
251,16.123251,38.929425,1.716761
252,16.285063,39.013937,1.732841
253,16.321584,38.771263,1.719822
254,16.388264,38.466989,1.711341
255,16.309353,38.52123,1.732111
256,16.358433,38.272797,1.730081
257,16.339273,38.320167,1.722402
258,16.253103,38.111454,1.702692
259,16.162961,38.071835,1.732941
260,16.05612,38.216176,1.707421
261,16.123981,39.000946,1.733312
262,16.327453,38.967236,1.726561
263,16.323673,38.764233,1.703762
264,16.388824,38.43007,1.712851
265,16.319474,38.461479,1.715801
266,16.342463,38.307337,1.717232
267,16.258892,38.147096,1.706321
268,16.256272,38.198066,1.724642
269,16.154821,38.114465,1.710431
270,16.133151,39.008437,1.711441
271,16.380145,39.021926,1.719461
272,16.393524,38.846934,1.718502
273,16.386984,38.421869,1.704961
274,16.362784,38.428999,1.711801
275,16.329143,38.309267,1.720211
276,16.228552,38.308688,1.704031
277,16.247003,38.266806,1.703231
278,16.187662,38.844294,1.747202
279,16.248622,39.106728,1.711851
280,16.436595,38.815774,1.699481
281,16.391515,38.633111,1.727552
282,16.319803,38.544511,1.722971
283,16.358664,38.292327,1.700781
284,16.253092,38.253347,1.712992
285,16.286073,38.176006,1.726921
286,16.096071,38.392568,1.717252
287,16.214802,38.968985,1.717752
288,16.350793,38.805474,1.723601
289,16.400594,38.410369,1.705351
290,16.336863,38.439938,1.729642
291,16.333154,38.311167,1.731012
292,16.237202,38.067615,1.694671
293,16.170562,38.077654,1.718482
294,16.151341,38.278257,1.729732
295,16.138531,39.011167,1.703261
296,16.400104,39.112907,1.719321
297,16.322474,38.790353,1.714391
298,16.358394,38.644692,1.708291
299,16.317463,38.360568,1.697781
300,16.356394,38.396239,1.715391
301,16.370814,38.262826,1.730552
302,16.272423,38.317128,1.720591
303,16.245452,38.273357,1.704761
304,16.179492,38.767853,1.716731
305,16.276322,38.976186,1.696951
306,16.390754,39.013876,1.755652
307,16.394015,38.629211,1.717301
308,16.278603,38.57417,1.715832
309,16.353524,38.414978,1.716762
310,16.322374,38.319697,1.727172
311,16.248132,38.212966,1.702231
312,16.133751,38.150076,1.711911
313,16.135791,39.011166,1.728161
314,16.410605,39.039887,1.736031
315,16.376754,38.826884,1.708611
316,16.410614,38.46106,1.719601
317,16.339673,38.556921,1.714181
318,16.382534,38.298348,1.710961
319,16.226492,38.286678,1.720221
320,16.281163,38.284508,1.729261
321,16.166411,38.856894,1.701411
322,16.292542,39.040197,1.729031
323,16.308213,39.018747,1.724881
324,16.390834,38.51622,1.708442
325,16.338503,38.457319,1.720052
326,16.363514,38.55183,1.719002
327,16.344084,38.208066,1.707622
328,16.272613,38.221286,1.708371
329,16.144971,38.52507,1.735162
330,16.196742,39.222718,1.717092
331,16.428904,38.993006,1.707881
332,16.400394,38.634381,1.730902
333,16.335904,38.55283,1.860743
334,16.417545,38.58552,1.775822
335,16.389244,38.273297,1.710362
336,16.229863,38.241696,1.741221
337,16.264773,38.308557,1.710771
338,16.186231,38.879455,1.732592
339,16.347524,39.146898,1.720221
340,16.469846,38.904205,1.708061
341,16.395354,38.671242,1.709511
342,16.428054,38.753013,1.736921
343,16.454585,38.579221,1.713271
344,16.349364,38.307677,1.697431
345,16.256212,38.217936,1.723831
346,16.128642,38.357458,1.715341
347,16.264553,38.925885,1.711281
348,16.357283,39.077647,1.730582
349,16.495665,38.940086,1.731841
350,16.425475,38.683952,1.736232
351,16.438675,38.679392,1.717772
352,16.471555,38.5544,1.726142
353,16.360014,38.355019,1.710521
354,16.257993,38.273847,1.705571
355,16.147811,38.339918,1.730962
356,16.240803,39.228389,1.700071
357,16.484316,39.117318,1.714351
358,16.490716,38.942535,1.736672
359,16.406224,38.650152,1.705321
360,16.467416,38.704182,1.711711
361,16.486256,38.680302,1.877934
362,16.413124,38.380229,1.709701
363,16.251682,38.297777,1.714001
364,16.170262,38.212406,1.714592
365,16.250552,38.993265,1.717552
366,16.396414,39.096847,1.715091
367,16.524466,39.006236,1.729111
368,16.407905,38.664291,1.715081
369,16.442264,38.747343,1.710002
370,16.465425,38.574211,1.722331
371,16.346453,38.302547,1.712912
372,16.229792,38.254087,1.696541
373,16.192802,38.51004,1.709711
374,16.236352,39.24995,1.722571
375,16.449225,39.156678,1.711181
376,16.508485,38.949186,1.707201
377,16.414295,38.704083,1.721121
378,16.468065,38.768663,1.713621
379,16.475115,38.50321,1.701411
380,16.387113,38.263877,1.733341
381,16.256982,38.299407,1.723471
382,16.265503,38.424178,1.709752
383,16.234822,39.204279,1.714492
384,16.470356,39.192338,1.732342
385,16.480495,38.987095,1.698762
386,16.456135,38.684412,1.728732
387,16.444895,38.767973,1.739422
388,16.445686,38.57183,1.705352
389,16.352514,38.349578,1.716331
390,16.266073,38.314638,1.723491
391,16.258833,38.410568,1.711742
392,16.255183,39.099617,1.700381
393,16.481266,39.213438,1.721982
394,16.468365,39.052087,1.710181
395,16.437116,38.458619,1.718091
396,16.357074,38.607211,1.703912
397,16.385824,38.53636,1.718151
398,16.571586,38.4738,1.816952
399,16.377605,38.608801,1.712801
400,16.359284,38.46427,1.723651
401,16.194061,38.399299,1.754542
402,16.233923,39.090687,1.713891
403,16.384385,39.30335,1.746061
404,16.406365,39.34653,1.707891
405,16.453984,39.080257,1.706212
406,16.493906,38.977945,1.714662
407,16.421014,38.673313,1.723972
408,16.461125,38.661802,1.719552
409,16.466145,38.604921,1.723252
410,16.396614,38.4952,1.736582
411,16.383035,38.320787,1.714781
412,16.259523,38.206966,1.714651
413,16.266902,38.333948,1.727332
414,16.207592,38.722793,1.718021
415,16.328884,39.265029,1.714632
416,16.439136,39.268419,1.739372
417,16.457385,39.174138,1.716032
418,16.518185,38.966126,1.716111
419,16.418705,38.704452,1.716961
420,16.474656,38.739753,1.724501
421,16.469935,38.589001,1.709691
422,16.365154,38.311987,1.718642
423,16.288713,38.241406,1.725802
424,16.265253,38.444649,1.709501
425,16.224472,39.276649,1.719752
426,16.493335,39.183828,1.744882
427,16.463875,39.192199,1.705291
428,16.522946,38.793653,1.712211
429,16.446184,38.764063,1.718192
430,16.447374,38.701493,1.720141
431,16.489416,38.627141,1.703851
432,16.365454,38.455789,1.714251
433,16.288133,38.580751,1.801192
434,16.233313,38.777003,1.708232
435,16.310213,39.237878,1.716182
436,16.477535,39.161848,1.721721
437,16.494226,38.971366,1.726111
438,16.460115,38.814054,1.712551
439,16.454385,38.784743,1.781612
440,16.465805,38.788834,1.716951
441,16.480886,38.565701,1.734181
442,16.361614,38.50835,1.734091
443,16.272012,38.230337,1.708341
444,16.159422,38.48666,1.704241
445,16.233323,39.264359,1.733221
446,16.423044,39.255409,1.740381
447,16.455476,39.078057,1.713001
448,16.501116,39.004406,1.722022
449,16.405465,38.751913,1.726791
450,16.427195,38.718193,1.701381
451,16.479436,38.774823,1.720021
452,16.494355,38.563201,1.729141
453,16.355474,38.624901,1.707181
454,16.352344,38.464039,1.731142
455,16.264423,38.807893,1.736052
456,16.305982,39.286949,1.720712
457,16.471405,39.389042,1.725572
458,16.578446,39.125618,1.729862
459,16.520446,38.935715,1.726122
460,16.467305,38.790054,1.712711
461,16.472215,38.751353,1.725482
462,16.469675,38.599651,1.720732
463,16.360574,38.653382,1.711471
464,16.356724,38.494829,1.725831
465,16.252153,38.582651,1.736672
466,16.273433,39.232099,1.721671
467,16.501645,39.359751,1.712641
468,16.492096,39.183569,1.742531
469,16.498766,38.928805,1.787112
470,16.507455,38.795613,1.721222
471,16.479525,38.647351,1.733732
472,16.451955,38.766093,1.727961
473,16.493856,38.624291,1.712601
474,16.388074,38.50086,1.727181
475,16.277492,38.340718,1.723592
476,16.179861,38.837594,1.727731
477,16.358214,39.30987,1.725462
478,16.508686,39.137478,1.740992
479,16.499706,38.999986,1.716141
480,16.464455,38.703833,1.718351
481,16.465046,38.790963,1.740572
482,16.474435,38.664082,1.712842
483,16.361304,38.637722,1.710121
484,16.360035,38.471209,1.743412
485,16.268833,38.425439,1.712261
486,16.239272,39.32175,1.717002
487,16.478525,39.331681,1.714321
