step,gpu_util,cpu_util,gpu_mem_gb,cpu_mem_gb,ram_gb,io_read_gb,io_write_gb
1,5.0,0.0,1.781334016,1.478516736,14.318718976,0.0,0.0
2,26.0,0.0,1.781334016,1.482452992,14.322847744,0.0,0.0
3,26.0,0.0,1.781334016,1.48635648,14.326460416,0.0,0.0
4,26.0,0.0,1.781334016,1.48666368,14.326460416,0.0,0.0
5,92.0,0.0,1.781334016,1.48666368,14.326460416,0.0,0.0
6,92.0,0.0,1.781334016,1.48666368,14.326460416,0.0,0.0
7,92.0,0.0,1.781334016,1.48666368,14.326460416,0.0,0.0
8,92.0,0.0,1.781334016,1.48666368,14.326460416,0.0,0.0
9,95.0,0.0,1.781334016,1.48666368,14.326460416,0.0,0.0
10,95.0,0.0,1.781334016,1.48666368,14.326460416,0.0,0.0
11,95.0,0.0,1.781334016,1.486667776,14.326460416,0.0,0.0
12,93.0,0.0,1.781334016,1.486667776,14.326460416,0.0,0.0
13,93.0,0.0,1.781334016,1.486667776,14.326460416,0.0,0.0
14,93.0,0.0,1.781334016,1.486671872,14.326460416,0.0,0.0
15,93.0,0.0,1.781334016,1.486671872,14.326460416,0.0,0.0
16,94.0,0.0,1.781334016,1.486671872,14.326460416,0.0,0.0
17,94.0,0.0,1.781334016,1.486675968,14.326460416,0.0,0.0
18,94.0,0.0,1.781334016,1.486675968,14.326460416,0.0,0.0
19,93.0,0.0,1.781334016,1.486675968,14.326460416,0.0,0.0
20,93.0,0.0,1.781334016,1.486680064,14.326460416,0.0,0.0
21,93.0,0.0,1.781334016,1.486680064,14.326460416,0.0,0.0
22,93.0,0.0,1.781334016,1.486680064,14.326460416,0.0,0.0
23,94.0,0.0,1.781334016,1.486680064,14.326460416,0.0,0.0
24,94.0,0.0,1.781334016,1.48668416,14.326460416,0.0,0.0
25,94.0,0.0,1.781334016,1.486688256,14.326460416,0.0,0.0
26,93.0,0.0,1.781334016,1.486688256,14.326460416,0.0,0.0
27,93.0,0.0,1.781334016,1.486688256,14.326460416,0.0,0.0
28,93.0,0.0,1.781334016,1.486688256,14.32645632,0.0,0.0
29,93.0,0.0,1.781334016,1.486688256,14.32645632,0.0,0.0
30,95.0,0.0,1.781334016,1.486688256,14.32645632,0.0,0.0
31,95.0,0.0,1.781334016,1.486688256,14.32645632,0.0,0.0
32,95.0,0.0,1.781334016,1.486688256,14.32645632,0.0,0.0
33,94.0,0.0,1.781334016,1.486688256,14.32645632,0.0,0.0
34,94.0,0.0,1.781334016,1.486688256,14.32645632,0.0,0.0
35,94.0,0.0,1.781334016,1.486688256,14.32645632,0.0,0.0
36,94.0,0.0,1.781334016,1.486688256,14.32645632,0.0,0.0
37,95.0,3362.6,1.781334016,1.486712832,14.32645632,0.0,0.0
38,95.0,0.0,1.781334016,1.486712832,14.32645632,0.0,0.0
39,95.0,0.0,1.781334016,1.486712832,14.32645632,0.0,0.0
40,93.0,0.0,1.781334016,1.486712832,14.32645632,0.0,0.0
41,93.0,0.0,1.781334016,1.486712832,14.32645632,0.0,0.0
42,93.0,0.0,1.781334016,1.486721024,14.32645632,0.0,0.0
43,93.0,0.0,1.781334016,1.48672512,14.32645632,0.0,0.0
44,95.0,0.0,1.781334016,1.48672512,14.32645632,0.0,0.0
45,95.0,0.0,1.781334016,1.486733312,14.32645632,0.0,0.0
46,95.0,0.0,1.781334016,1.486733312,14.32645632,0.0,0.0
47,93.0,0.0,1.781334016,1.486733312,14.32645632,0.0,0.0
48,93.0,0.0,1.781334016,1.486733312,14.32645632,0.0,0.0
49,93.0,0.0,1.781334016,1.486733312,14.32645632,0.0,0.0
50,93.0,0.0,1.781334016,1.486733312,14.32645632,0.0,0.0
51,95.0,0.0,1.781334016,1.486733312,14.32645632,0.0,0.0
52,95.0,0.0,1.781334016,1.486733312,14.32645632,0.0,0.0
53,95.0,0.0,1.781334016,1.486733312,14.32645632,0.0,0.0
54,92.0,0.0,1.781334016,1.486749696,14.326509568,0.0,0.0
55,92.0,0.0,1.781334016,1.486749696,14.326509568,0.0,0.0
56,92.0,0.0,1.781334016,1.486749696,14.326509568,0.0,0.0
57,92.0,0.0,1.781334016,1.486749696,14.326509568,0.0,0.0
58,95.0,0.0,1.781334016,1.486749696,14.326509568,0.0,0.0
59,95.0,0.0,1.781334016,1.486749696,14.326509568,0.0,0.0
60,95.0,0.0,1.781334016,1.486749696,14.326509568,0.0,0.0
61,94.0,0.0,1.781334016,1.486749696,14.326509568,0.0,0.0
62,94.0,0.0,1.781334016,1.486749696,14.326509568,0.0,0.0
63,94.0,0.0,1.781334016,1.486761984,14.326509568,0.0,0.0
64,94.0,0.0,1.781334016,1.486761984,14.326509568,0.0,0.0
65,95.0,0.0,1.781334016,1.486761984,14.326509568,0.0,0.0
66,95.0,0.0,1.781334016,1.486761984,14.326509568,0.0,0.0
67,95.0,0.0,1.781334016,1.486761984,14.326509568,0.0,0.0
68,94.0,0.0,1.781334016,1.486761984,14.326509568,0.0,0.0
69,94.0,0.0,1.781334016,1.486761984,14.326509568,0.0,0.0
70,94.0,0.0,1.781334016,1.486770176,14.326509568,0.0,0.0
71,94.0,0.0,1.781334016,1.486770176,14.326509568,0.0,0.0
72,94.0,0.0,1.781334016,1.486774272,14.326509568,0.0,0.0
73,94.0,0.0,1.781334016,1.486774272,14.326509568,0.0,0.0
74,94.0,0.0,1.781334016,1.486774272,14.326509568,0.0,0.0
75,95.0,0.0,1.781334016,1.486774272,14.326509568,0.0,0.0
76,95.0,0.0,1.781334016,1.486782464,14.326509568,0.0,0.0
77,95.0,0.0,1.781334016,1.486782464,14.326509568,0.0,0.0
78,95.0,0.0,1.781334016,1.486782464,14.326509568,0.0,0.0
79,94.0,0.0,1.781334016,1.486782464,14.326509568,0.0,0.0
80,94.0,0.0,1.781334016,1.486782464,14.326509568,0.0,0.0
81,94.0,0.0,1.781334016,1.486782464,14.326509568,0.0,0.0
82,95.0,0.0,1.781334016,1.486782464,14.326509568,0.0,0.0
83,95.0,0.0,1.781334016,1.486782464,14.326509568,0.0,0.0
84,95.0,0.0,1.781334016,1.486782464,14.326509568,0.0,0.0
85,95.0,0.0,1.781334016,1.486782464,14.326509568,0.0,0.0
86,94.0,0.0,1.781334016,1.486782464,14.326509568,0.0,0.0
87,94.0,0.0,1.781334016,1.486782464,14.326509568,0.0,0.0
88,94.0,0.0,1.781334016,1.486782464,14.326509568,0.0,0.0
89,95.0,0.0,1.781334016,1.486802944,14.326509568,0.0,0.0
90,95.0,0.0,1.781334016,1.486802944,14.326509568,0.0,0.0
91,95.0,3245.2,1.781334016,1.486802944,14.326509568,0.0,0.0
92,95.0,0.0,1.781334016,1.486815232,14.326509568,0.0,0.0
93,94.0,0.0,1.781334016,1.486815232,14.326509568,0.0,0.0
94,94.0,0.0,1.781334016,1.486815232,14.326509568,0.0,0.0
95,94.0,0.0,1.781334016,1.486815232,14.326509568,0.0,0.0
96,94.0,0.0,1.781334016,1.486819328,14.326509568,0.0,0.0
97,94.0,0.0,1.781334016,1.486819328,14.326509568,0.0,0.0
98,94.0,0.0,1.781334016,1.486819328,14.326509568,0.0,0.0
99,94.0,0.0,1.781334016,1.486819328,14.326509568,0.0,0.0
100,94.0,0.0,1.781334016,1.48682752,14.326509568,0.0,0.0
101,94.0,0.0,1.781334016,1.48682752,14.326509568,0.0,0.0
102,94.0,0.0,1.781334016,1.48682752,14.326509568,0.0,0.0
