step,phase,gpu_util,cpu_util,gpu_mem_gb,cpu_mem_gb,ram_gb,io_read_gb,io_write_gb
1,forward,5.0,0.0,1.634533376,1.326985216,14.193565696,0.0,0.0
1,backward,5.0,104.2,1.745682432,1.413541888,14.260400128,0.0,0.0
1,optimizer,5.0,101.0,1.781334016,1.478172672,14.318718976,0.0,0.0
2,forward,26.0,232.0,1.781334016,1.482452992,14.322847744,0.0,0.0
2,backward,26.0,107.2,1.781334016,1.482452992,14.322847744,0.0,0.0
2,optimizer,26.0,0.0,1.781334016,1.482452992,14.322847744,0.0,0.0
3,forward,26.0,288.4,1.781334016,1.486340096,14.326460416,0.0,0.0
3,backward,26.0,104.1,1.781334016,1.48635648,14.326460416,0.0,0.0
3,optimizer,26.0,0.0,1.781334016,1.48635648,14.326460416,0.0,0.0
4,forward,26.0,290.0,1.781334016,1.486565376,14.326460416,0.0,0.0
4,backward,26.0,106.1,1.781334016,1.48666368,14.326460416,0.0,0.0
4,optimizer,26.0,0.0,1.781334016,1.48666368,14.326460416,0.0,0.0
5,forward,26.0,288.6,1.781334016,1.48666368,14.326460416,0.0,0.0
5,backward,92.0,106.3,1.781334016,1.48666368,14.326460416,0.0,0.0
5,optimizer,92.0,0.0,1.781334016,1.48666368,14.326460416,0.0,0.0
6,forward,92.0,347.8,1.781334016,1.48666368,14.326460416,0.0,0.0
6,backward,92.0,78.7,1.781334016,1.48666368,14.326460416,0.0,0.0
6,optimizer,92.0,546.0,1.781334016,1.48666368,14.326460416,0.0,0.0
7,forward,92.0,286.2,1.781334016,1.48666368,14.326460416,0.0,0.0
7,backward,92.0,104.7,1.781334016,1.48666368,14.326460416,0.0,0.0
7,optimizer,92.0,0.0,1.781334016,1.48666368,14.326460416,0.0,0.0
8,forward,92.0,286.4,1.781334016,1.48666368,14.326460416,0.0,0.0
8,backward,92.0,105.5,1.781334016,1.48666368,14.326460416,0.0,0.0
8,optimizer,92.0,0.0,1.781334016,1.48666368,14.326460416,0.0,0.0
9,forward,95.0,347.3,1.781334016,1.48666368,14.326460416,0.0,0.0
9,backward,95.0,79.5,1.781334016,1.48666368,14.326460416,0.0,0.0
9,optimizer,95.0,548.0,1.781334016,1.48666368,14.326460416,0.0,0.0
10,forward,95.0,289.8,1.781334016,1.48666368,14.326460416,0.0,0.0
10,backward,95.0,79.7,1.781334016,1.48666368,14.326460416,0.0,0.0
10,optimizer,95.0,546.9,1.781334016,1.48666368,14.326460416,0.0,0.0
11,forward,95.0,294.5,1.781334016,1.486667776,14.326460416,0.0,0.0
11,backward,95.0,79.3,1.781334016,1.486667776,14.326460416,0.0,0.0
11,optimizer,95.0,544.9,1.781334016,1.486667776,14.326460416,0.0,0.0
12,forward,95.0,291.5,1.781334016,1.486667776,14.326460416,0.0,0.0
12,backward,93.0,104.6,1.781334016,1.486667776,14.326460416,0.0,0.0
12,optimizer,93.0,0.0,1.781334016,1.486667776,14.326460416,0.0,0.0
13,forward,93.0,289.9,1.781334016,1.486667776,14.326460416,0.0,0.0
13,backward,93.0,105.0,1.781334016,1.486667776,14.326460416,0.0,0.0
13,optimizer,93.0,0.0,1.781334016,1.486667776,14.326460416,0.0,0.0
14,forward,93.0,287.4,1.781334016,1.486671872,14.326460416,0.0,0.0
14,backward,93.0,105.7,1.781334016,1.486671872,14.326460416,0.0,0.0
14,optimizer,93.0,0.0,1.781334016,1.486671872,14.326460416,0.0,0.0
15,forward,93.0,347.7,1.781334016,1.486671872,14.326460416,0.0,0.0
15,backward,93.0,79.3,1.781334016,1.486671872,14.326460416,0.0,0.0
15,optimizer,93.0,550.4,1.781334016,1.486671872,14.326460416,0.0,0.0
16,forward,94.0,289.9,1.781334016,1.486671872,14.326460416,0.0,0.0
16,backward,94.0,106.7,1.781334016,1.486671872,14.326460416,0.0,0.0
16,optimizer,94.0,0.0,1.781334016,1.486671872,14.326460416,0.0,0.0
17,forward,94.0,293.4,1.781334016,1.486675968,14.326460416,0.0,0.0
17,backward,94.0,106.9,1.781334016,1.486675968,14.326460416,0.0,0.0
17,optimizer,94.0,0.0,1.781334016,1.486675968,14.326460416,0.0,0.0
18,forward,94.0,292.2,1.781334016,1.486675968,14.326460416,0.0,0.0
18,backward,94.0,106.2,1.781334016,1.486675968,14.326460416,0.0,0.0
18,optimizer,94.0,0.0,1.781334016,1.486675968,14.326460416,0.0,0.0
19,forward,94.0,293.7,1.781334016,1.486675968,14.326460416,0.0,0.0
19,backward,93.0,104.6,1.781334016,1.486675968,14.326460416,0.0,0.0
19,optimizer,93.0,0.0,1.781334016,1.486675968,14.326460416,0.0,0.0
20,forward,93.0,345.7,1.781334016,1.486675968,14.326460416,0.0,0.0
20,backward,93.0,78.7,1.781334016,1.486680064,14.326460416,0.0,0.0
20,optimizer,93.0,493.5,1.781334016,1.486680064,14.326460416,0.0,0.0
21,forward,93.0,288.4,1.781334016,1.486680064,14.326460416,0.0,0.0
21,backward,93.0,105.5,1.781334016,1.486680064,14.326460416,0.0,0.0
21,optimizer,93.0,0.0,1.781334016,1.486680064,14.326460416,0.0,0.0
22,forward,93.0,288.7,1.781334016,1.486680064,14.326460416,0.0,0.0
22,backward,93.0,105.7,1.781334016,1.486680064,14.326460416,0.0,0.0
22,optimizer,93.0,0.0,1.781334016,1.486680064,14.326460416,0.0,0.0
23,forward,94.0,347.4,1.781334016,1.486680064,14.326460416,0.0,0.0
23,backward,94.0,79.6,1.781334016,1.486680064,14.326460416,0.0,0.0
23,optimizer,94.0,541.7,1.781334016,1.486680064,14.326460416,0.0,0.0
24,forward,94.0,290.5,1.781334016,1.48668416,14.326460416,0.0,0.0
24,backward,94.0,106.3,1.781334016,1.48668416,14.326460416,0.0,0.0
24,optimizer,94.0,0.0,1.781334016,1.48668416,14.326460416,0.0,0.0
25,forward,94.0,293.3,1.781334016,1.486688256,14.326460416,0.0,0.0
25,backward,94.0,106.4,1.781334016,1.486688256,14.326460416,0.0,0.0
25,optimizer,94.0,0.0,1.781334016,1.486688256,14.326460416,0.0,0.0
26,forward,94.0,291.1,1.781334016,1.486688256,14.326460416,0.0,0.0
26,backward,93.0,104.7,1.781334016,1.486688256,14.326460416,0.0,0.0
26,optimizer,93.0,0.0,1.781334016,1.486688256,14.326460416,0.0,0.0
27,forward,93.0,289.6,1.781334016,1.486688256,14.326460416,0.0,0.0
