step,forward_ms,backward_ms,optimizer_ms
1,578.634112,199.816106,124.790737
2,29.773595,76.442225,1.838283
3,29.764965,76.80787,1.792502
4,29.40134,76.615477,1.817083
5,29.438951,75.302781,1.789692
6,29.361189,76.378085,1.803422
7,29.40097,76.209283,1.781771
8,29.805205,75.408164,1.788441
9,29.41127,74.800895,1.844533
10,29.722684,75.380122,1.795512
11,29.536561,74.958218,1.788542
12,29.42625,76.031841,1.822962
13,29.494242,78.229297,1.810332
14,29.43163,77.131063,1.809793
15,29.403319,76.016201,1.807062
16,29.462241,75.92788,1.785731
17,30.107408,75.057568,1.789312
18,29.44855,76.388955,1.785482
19,29.43005,76.352624,1.792232
20,29.467821,75.560614,1.806442
21,29.715593,76.320674,1.793451
22,29.645033,76.913381,5.038152
23,29.489441,74.997258,1.790892
24,29.751724,76.385915,1.788762
25,29.639823,76.659568,1.826792
26,29.550161,76.137953,1.791691
27,29.528221,76.071271,1.822212
28,29.565661,74.940488,1.796742
29,29.856515,75.477074,1.820602
30,29.932166,75.876689,1.799092
31,29.583082,75.906479,1.809402
32,32.160943,74.729705,1.869703
33,29.754515,76.587367,1.784151
34,29.658033,76.673809,1.830972
35,29.492901,76.343884,1.823523
36,29.548751,76.097872,1.821742
37,30.053128,76.525997,1.783331
38,29.549222,76.660378,1.810182
39,29.541422,75.721287,1.800802
40,29.692394,75.797927,1.826602
41,30.042247,75.789148,1.798972
42,29.560672,74.886707,1.804532
43,29.800115,75.572325,1.821612
44,29.973357,75.712827,1.797312
45,29.666673,75.668056,1.802872
46,29.568942,76.086382,1.794812
47,29.572442,75.553655,1.802662
48,29.606883,74.981907,1.789392
49,29.769445,76.154112,1.819022
50,29.538952,76.081591,1.801372
51,29.633733,75.10416,1.808232
52,29.931466,75.686556,1.797643
53,30.011168,76.361044,1.787831
54,29.578893,76.304343,1.782652
55,29.575481,76.598307,1.817122
56,29.998807,75.727517,1.790702
57,29.828796,76.583787,1.788352
58,29.988367,76.966442,1.793322
59,29.702304,75.928369,1.830192
60,30.002877,75.791757,1.794202
61,29.995997,76.79021,1.814442
62,29.607813,74.895986,1.789832
63,29.953517,75.95893,1.792972
64,29.988997,76.075971,1.790032
65,29.998148,76.212392,1.791972
66,29.694603,76.509337,1.811022
67,29.979167,75.923509,1.794512
68,29.763754,76.140272,1.803912
69,29.601192,76.115621,1.817672
70,29.628822,75.477954,1.826033
71,29.601662,76.309734,1.796561
72,29.628173,76.276394,1.798572
73,29.653993,75.550945,1.813702
74,29.824635,75.715217,1.790922
75,29.817975,75.600905,1.793822
76,29.608062,75.541695,1.825713
77,29.617183,75.493063,1.841462
78,29.671203,75.865108,1.786533
79,29.897036,76.603257,1.797662
80,29.613682,77.146004,1.804842
81,29.565002,76.245383,1.790992
82,30.253441,76.369974,1.825672
83,29.609903,75.521964,1.799743
84,29.844985,75.769038,1.792982
