step,gpu_util,cpu_util,gpu_mem_gb,cpu_mem_gb,ram_gb,io_read_gb,io_write_gb
1,36.0,0.0,2.485977088,4.764766208,16.543813632,0.015151104,0.0
2,27.0,0.0,2.523725824,4.766396416,16.544264192,0.02271232,0.0
3,27.0,0.0,2.523725824,4.75836416,16.536006656,0.030281728,0.0
4,78.0,0.0,2.523725824,4.758888448,16.533835776,0.037851136,0.0
5,69.0,0.0,2.523725824,4.766523392,16.539254784,0.045453312,0.0
6,79.0,0.0,2.523725824,4.766609408,16.541229056,0.052862976,0.0
7,79.0,0.0,2.523725824,4.75076608,16.527491072,0.060440576,0.0
8,73.0,0.0,2.523725824,4.765773824,16.538791936,0.067821568,0.0
9,80.0,0.0,2.523725824,4.767010816,16.54085632,0.075440128,0.0
10,80.0,0.0,2.523725824,4.7511552,16.52666368,0.083091456,0.0
11,73.0,0.0,2.523725824,4.766199808,16.53891072,0.090488832,0.0
12,79.0,0.0,2.523725824,4.766343168,16.540717056,0.09811968,0.0
13,79.0,0.0,2.523725824,4.765990912,16.541200384,0.105353216,0.0
14,72.0,0.0,2.523725824,4.76729344,16.541913088,0.112889856,0.0
15,76.0,0.0,2.523725824,4.767522816,16.542396416,0.120492032,0.0
16,76.0,0.0,2.523725824,4.751106048,16.528461824,0.128028672,0.0
17,81.0,0.0,2.523725824,4.76637184,16.539648,0.13568,0.0
18,75.0,0.0,2.523725824,4.767256576,16.54093824,0.14338048,0.0
19,75.0,0.0,2.523725824,4.767277056,16.541454336,0.151031808,0.0
20,83.0,0.0,2.523725824,4.76583936,16.541970432,0.15869952,0.0
21,64.0,0.0,2.523725824,4.765753344,16.541872128,0.1664,0.0
22,84.0,0.0,2.523725824,4.743131136,16.519102464,0.174071808,0.0
23,84.0,0.0,2.523725824,4.758192128,16.533504,0.181772288,0.0
24,78.0,0.0,2.523725824,4.765999104,16.540987392,0.189423616,0.0
25,78.0,0.0,2.523725824,4.766339072,16.542216192,0.197107712,0.0
26,80.0,0.0,2.523725824,4.766613504,16.54247424,0.20477952,0.0
27,67.0,0.0,2.523725824,4.764217344,16.542990336,0.21248,0.0
28,85.0,0.0,2.523725824,4.766060544,16.542957568,0.220147712,0.0
29,85.0,0.0,2.523725824,4.7652864,16.543182848,0.227848192,0.0
30,69.0,0.0,2.523725824,4.764770304,16.543633408,0.235515904,0.0
31,86.0,0.0,2.523725824,4.765704192,16.543633408,0.243183616,0.0
32,86.0,0.0,2.523725824,4.765519872,16.543633408,0.250851328,0.0
33,71.0,0.0,2.523725824,4.765851648,16.543633408,0.25851904,0.0
34,75.0,0.0,2.523725824,4.764925952,16.544149504,0.266186752,0.0
35,75.0,0.0,2.523725824,4.764585984,16.544083968,0.273887232,0.0
