step,phase,gpu_util,cpu_util,gpu_mem_gb,cpu_mem_gb,ram_gb,io_read_gb,io_write_gb
1,forward,0.0,0.0,2.2888448,4.738461696,16.542019584,0.014508032,0.0
1,backward,14.0,95.2,2.450325504,4.758335488,16.542470144,0.014946304,0.0
1,optimizer,36.0,95.9,2.485977088,4.764766208,16.543813632,0.015151104,0.0
2,forward,36.0,172.7,2.485977088,4.76690432,16.544264192,0.022638592,0.0
2,backward,27.0,104.7,2.523725824,4.76690432,16.544264192,0.022638592,0.0
2,optimizer,27.0,0.0,2.523725824,4.76690432,16.544264192,0.022638592,0.0
3,forward,27.0,186.9,2.523725824,4.75836416,16.536006656,0.030281728,0.0
3,backward,27.0,91.2,2.523725824,4.75836416,16.536006656,0.030281728,0.0
3,optimizer,27.0,515.0,2.523725824,4.75836416,16.536006656,0.030281728,0.0
4,forward,78.0,172.3,2.523725824,4.758888448,16.533942272,0.037851136,0.0
4,backward,78.0,104.5,2.523725824,4.758888448,16.533835776,0.037851136,0.0
4,optimizer,78.0,0.0,2.523725824,4.758888448,16.533835776,0.037851136,0.0
5,forward,78.0,173.2,2.523725824,4.766523392,16.539254784,0.045453312,0.0
5,backward,69.0,93.1,2.523725824,4.766523392,16.539254784,0.045453312,0.0
5,optimizer,69.0,0.0,2.523725824,4.766523392,16.539254784,0.045453312,0.0
6,forward,69.0,190.8,2.523725824,4.766609408,16.541229056,0.052862976,0.0
6,backward,69.0,91.7,2.523725824,4.766609408,16.541229056,0.052862976,0.0
6,optimizer,79.0,512.7,2.523725824,4.766609408,16.541229056,0.052862976,0.0
7,forward,79.0,167.9,2.523725824,4.765843456,16.54194176,0.060440576,0.0
7,backward,79.0,105.1,2.523725824,4.765843456,16.54194176,0.060440576,0.0
7,optimizer,79.0,0.0,2.523725824,4.765843456,16.54194176,0.060440576,0.0
8,forward,79.0,142.4,2.523725824,4.765773824,16.537669632,0.067821568,0.0
8,backward,73.0,106.2,2.523725824,4.765773824,16.538791936,0.067821568,0.0
8,optimizer,73.0,0.0,2.523725824,4.765773824,16.538791936,0.067821568,0.0
9,forward,73.0,180.6,2.523725824,4.767010816,16.54085632,0.075440128,0.0
9,backward,80.0,120.4,2.523725824,4.767010816,16.54085632,0.075440128,0.0
9,optimizer,80.0,0.0,2.523725824,4.767010816,16.54085632,0.075440128,0.0
10,forward,80.0,167.0,2.523725824,4.766199808,16.541114368,0.083091456,0.0
10,backward,80.0,93.0,2.523725824,4.766199808,16.541114368,0.083091456,0.0
10,optimizer,80.0,514.6,2.523725824,4.766199808,16.541114368,0.083091456,0.0
11,forward,80.0,143.6,2.523725824,4.766199808,16.53891072,0.090488832,0.0
11,backward,73.0,93.5,2.523725824,4.766199808,16.53891072,0.090488832,0.0
11,optimizer,73.0,0.0,2.523725824,4.766199808,16.53891072,0.090488832,0.0
12,forward,73.0,207.2,2.523725824,4.766343168,16.540717056,0.09811968,0.0
12,backward,79.0,92.2,2.523725824,4.766343168,16.540717056,0.09811968,0.0
12,optimizer,79.0,0.0,2.523725824,4.766343168,16.540717056,0.09811968,0.0
