step,forward_ms,backward_ms,optimizer_ms
1,626.751717,217.927835,142.537545
2,29.654189,76.524443,2.015776
3,29.480697,75.393539,1.781242
4,29.371136,76.139409,1.784672
5,29.165963,75.771614,1.781932
6,29.343065,74.306296,1.783892
7,29.433807,74.505038,1.794873
8,29.278855,74.553608,1.781762
9,29.172614,75.45685,1.786242
10,29.132263,74.921383,1.774602
11,29.218304,74.769121,1.826863
12,29.355376,75.671093,1.784252
13,29.190213,73.635578,1.783402
14,30.412019,75.774084,1.850613
15,29.529408,75.076665,1.780472
16,29.357866,74.763271,1.812432
17,29.534548,74.350386,2.092047
18,29.427227,75.792924,1.789173
19,29.226424,75.859444,1.776052
20,29.254835,75.812614,1.797532
21,29.242315,75.944966,1.801062
22,29.267365,75.936506,1.799602
23,29.67151,75.571242,1.833393
24,29.388246,74.730541,1.821043
25,29.655149,74.776312,1.803473
26,29.559678,74.877862,1.796953
27,29.292745,76.148959,1.809503
28,29.260795,75.184066,1.802133
29,29.286405,75.393639,1.792842
30,29.295395,74.329176,1.787182
31,29.245994,75.988387,1.825803
32,29.278545,74.933544,2.123926
33,29.286545,74.412557,1.787772
34,29.338026,74.819912,1.819353
35,29.373866,75.292979,1.999094
36,29.518128,76.26668,1.793822
37,29.271595,75.864935,1.780782
38,29.316935,75.612332,1.801382
39,29.334805,74.166714,1.801203
40,29.274054,75.44428,1.789343
41,29.287735,74.419257,1.815183
42,29.508488,75.43883,1.811192
43,29.845422,75.44099,1.808402
44,29.233545,75.164666,1.810513
45,29.289675,75.490911,1.781212
46,29.321585,75.613482,1.785032
47,29.283385,76.305741,1.949164
48,29.341495,75.52617,1.777142
49,29.343485,74.860353,1.805272
50,29.287435,74.335156,1.786323
51,29.617699,75.42252,1.790912
52,29.326256,74.466477,1.783272
53,29.344785,74.212654,1.782962
54,29.619029,75.937526,1.813402
55,29.316505,75.415619,1.796663
56,29.317195,75.45463,1.914414
57,29.439037,75.343338,1.782312
58,29.303985,76.21702,1.832392
59,29.391296,74.385927,1.784552
60,29.612899,74.66619,1.796633
61,29.579149,75.064785,1.808532
62,29.403376,74.246935,1.783442
63,29.650139,74.775732,1.798752
64,29.454196,74.717031,1.811773
65,29.566618,76.629675,1.779592
66,29.313845,75.368769,1.797993
67,29.324746,73.970191,1.782493
68,29.69663,75.217277,1.787232
69,29.352376,74.244485,1.810522
70,29.66618,74.813082,1.787183
71,29.72723,75.214317,1.789972
72,29.482277,76.283841,1.796382
73,29.337085,76.128099,1.789752
74,29.324135,75.474401,1.858623
75,29.383606,75.935926,1.798593
76,29.455807,74.818632,1.785592
77,30.726763,74.776601,1.786253
78,29.466687,74.606359,1.844113
79,29.409106,76.069718,1.821092
80,29.455437,76.27175,1.798302
81,29.994363,75.658232,1.793103
82,29.462047,76.049327,1.792152
83,29.439677,75.714284,1.794152
84,29.671439,76.303771,1.843073
85,29.70143,76.506243,1.797353
86,29.63639,75.294138,1.808442
87,29.752841,75.279618,1.813603
88,29.640209,76.568904,1.810283
89,29.498948,74.294585,1.783453
90,29.800121,75.381449,1.820283
91,30.914755,75.673512,1.824343
92,29.543028,75.556001,2.115976
93,29.861262,75.544981,1.811363
94,29.688429,76.132488,1.807473
95,29.457587,76.578354,1.799123
96,29.459528,75.547491,1.797692
97,29.653089,76.390441,1.825083
98,29.633619,76.589814,1.806243
99,29.483447,75.712253,1.791712
100,29.446707,74.913123,1.809153
101,29.537908,74.809782,1.783523
102,29.881702,75.375009,1.784033
103,29.68051,76.127308,1.818193
104,29.490117,76.046337,1.813153
105,29.445727,75.48656,1.822223
106,29.555699,74.851302,1.796193
107,29.733401,75.154496,1.826553
108,29.819381,75.681144,1.844253
109,29.778601,76.863857,1.783123
110,29.810261,76.465832,1.806163
111,29.733361,75.44512,1.800532
112,29.825691,75.500491,1.796163
113,29.652879,76.826327,1.788332
114,29.573498,74.429678,1.820382
115,29.800561,75.289928,1.778433
116,29.71641,76.888228,1.806313
117,29.763851,76.882708,1.801083
118,29.626639,76.618675,1.786192
119,30.573381,76.540723,1.800902
120,30.143596,75.937876,1.809563
121,29.912763,76.27681,1.784342
122,29.894492,76.486662,1.782793
123,29.750561,76.552373,1.834342
124,29.558488,76.678145,1.823843
125,29.484138,76.657175,1.807932
126,29.509287,76.661115,1.852403
127,29.529258,76.435052,1.843423
128,29.536328,76.020098,1.802882
129,29.509508,74.945903,1.796533
130,29.72657,75.47035,1.794442
131,29.503858,76.112688,1.788902
132,29.580929,75.44537,1.782812
133,29.68178,74.757401,1.797023
134,29.890342,75.4956,1.782962
135,29.879602,75.44327,1.799832
136,29.898692,76.780637,1.782602
137,29.626579,76.574404,1.799603
138,29.481437,76.041387,1.783392
139,29.544048,74.951923,1.777233
140,29.574909,74.973084,1.812833
141,30.45371,76.223109,1.801383
142,29.863503,75.567971,1.781982
143,29.944823,75.794855,1.792302
144,29.647779,76.874148,1.786422
145,29.498468,76.073877,1.807443
146,29.583589,76.106209,1.810682
147,30.572671,75.686393,1.812603
148,30.124575,76.392032,1.804583
149,29.598949,75.381479,1.799322
150,29.568779,76.703375,1.818913
151,29.589009,76.586624,1.815243
152,29.571649,76.24427,1.778482
153,29.579339,75.477441,1.808122
154,29.604909,75.49019,1.797163
155,29.763371,75.883045,1.791232
156,29.642309,76.854147,1.820763
157,29.634959,76.086209,1.795322
158,29.73934,76.096088,1.803943
159,29.674069,77.309383,1.812412
160,29.64918,76.28603,1.786452
161,29.619869,76.026987,1.793733
162,29.817401,77.393154,1.797512
163,29.692829,76.873818,1.972565
164,29.618579,76.313011,1.803462
165,29.66362,76.137688,1.823463
166,29.63875,76.091798,1.798142
167,30.220636,76.547064,1.807853
168,29.828242,76.587174,1.788942
169,29.839972,77.248822,1.815973
170,29.819011,75.877666,1.777532
171,29.643159,77.209602,1.802993
172,29.619679,76.163709,1.786132
173,29.601709,76.088098,1.812193
174,29.68866,76.25332,1.807933
175,29.967263,77.146661,1.796752
176,30.011184,76.188059,1.802202
177,29.972243,76.982349,1.797922
178,29.72933,75.312358,1.786863
179,30.138745,76.000917,1.810783
180,30.020364,75.922876,1.812592
181,30.075695,76.866187,1.797972
182,29.665029,75.410689,1.814703
183,29.764131,74.981804,1.785082
184,29.862732,76.140349,1.815102
185,29.651439,75.596922,1.785072
186,29.65461,75.808174,1.799353
187,29.645389,76.172999,1.798973
188,29.73133,75.607922,1.790412
189,29.791691,75.362139,1.777872
190,30.881315,75.058735,1.792782
191,29.822372,76.326851,1.793242
192,29.65922,75.872975,1.792413
193,29.69452,75.513771,1.794793
194,29.739591,75.520611,1.788962
195,29.873233,75.697763,1.829873
196,29.949463,75.835115,1.811963
197,30.119476,76.470983,1.813772
198,29.669729,76.308971,1.798612
199,29.627729,76.112688,1.832113
200,29.69844,75.799754,1.816973
201,29.71827,75.43826,1.798132
202,29.895603,76.783696,1.793152
203,29.655589,76.138739,1.783772
204,29.66128,76.832717,1.781622
205,29.70237,75.646672,1.802162
206,29.766631,75.570701,1.813773
207,30.120345,76.013967,1.801083
208,30.049374,76.26699,1.794662
209,30.142225,76.812707,1.804283
210,30.012984,76.090218,1.794183
211,29.810531,76.879887,1.884174
212,29.71801,76.303501,1.816093
213,29.73173,75.993396,1.789633
214,29.797631,76.464552,1.791223
215,29.72408,75.46472,1.816373
216,29.930943,76.669575,1.792403
217,29.771751,76.044828,1.790692
218,29.72281,75.660112,1.802382
219,29.834682,77.616107,1.789912
220,29.884402,77.185392,1.796582
221,29.806821,75.444369,1.809903
222,29.911353,76.165579,1.943364
223,29.772721,76.121208,1.822453
224,29.938873,76.014397,2.033595
225,29.932313,76.028168,1.809362
226,30.086645,76.199329,1.810963
227,29.951493,76.074078,1.802892
228,29.721321,75.50854,1.802583
229,29.68803,75.683783,1.780102
230,29.947763,77.217952,1.782202
231,30.030554,77.160371,1.791953
232,30.088094,76.715396,1.823913
233,30.720563,76.381601,1.808163
234,29.945153,77.149031,1.796613
235,29.72715,76.873467,1.785483
236,29.70202,76.008537,1.795633
237,29.72119,77.532196,2.077586
238,29.802642,77.237172,1.818833
239,29.987634,77.301733,1.831663
240,29.687809,76.981839,1.826863
241,29.801681,75.43081,1.810073
242,29.956724,77.219201,1.822792
243,29.748251,76.788556,1.831383
244,29.742351,75.852685,1.820762
245,29.797421,76.178159,1.796823
246,29.855202,75.49187,1.784383
247,29.775861,77.623077,1.795572
248,30.083315,76.164009,1.826662
249,31.153369,75.719083,1.815983
250,29.819421,76.890458,1.815013
251,29.485788,75.002224,1.829773
252,29.485677,75.703653,2.217167
253,29.626688,76.043277,1.796442
254,29.510587,74.305266,1.799132
255,29.493547,77.09312,1.800872
256,29.775241,76.914308,1.805412
257,29.552378,74.996814,1.800683
258,29.485098,77.07822,1.780432
259,29.69588,76.562264,1.799322
260,29.580999,75.779144,1.793622
261,30.871884,75.724974,1.811722
262,29.566869,75.243667,1.794783
263,29.619459,74.926403,1.813633
264,29.535358,77.06823,1.793272
265,29.605608,75.053435,1.797923
266,29.583289,74.854012,1.790723
267,29.66449,76.018637,1.781592
268,29.969274,75.559331,1.810703
269,29.795061,75.43845,1.800002
270,29.501228,76.609974,1.797192
271,29.6718,74.942343,1.802683
272,29.486868,75.144336,1.793402
273,29.548288,74.943083,1.795192
274,29.899753,75.950436,1.818082
275,29.758331,76.560894,1.825123
276,29.778311,76.538263,1.798522
277,29.754201,76.552443,1.796862
278,29.881082,76.211589,1.798442
279,29.576009,74.990424,1.809332
280,29.560579,74.768082,1.801462
281,29.74778,75.626002,1.799742
282,29.457117,75.957976,1.791462
283,29.520497,77.03451,1.787392
284,30.634502,76.148009,1.786412
285,29.882642,75.662132,1.818613
286,29.534658,76.296101,1.805082
287,29.925104,76.873247,1.793073
288,30.080885,76.367211,1.794683
289,29.950023,76.273,1.799202
290,29.881992,75.426249,1.776062
291,29.870412,74.801052,1.785512
292,29.765101,75.969756,1.813953
