step,gpu_util,cpu_util,gpu_mem_gb,cpu_mem_gb,ram_gb,io_read_gb,io_write_gb
1,27.0,0.0,2.485977088,4.775661568,17.634926592,0.015220736,0.0
2,27.0,0.0,2.523725824,4.774785024,17.634152448,0.022941696,0.0
3,53.0,0.0,2.523725824,4.767637504,17.625894912,0.030609408,0.0
4,73.0,0.0,2.523725824,4.767985664,17.625120768,0.03827712,0.0
5,73.0,0.0,2.523725824,4.775366656,17.630797824,0.0459776,0.0
6,84.0,0.0,2.523725824,4.775047168,17.631428608,0.053645312,0.0
7,61.0,0.0,2.523725824,4.759945216,17.61697792,0.061313024,0.0
8,89.0,0.0,2.523725824,4.774969344,17.629999104,0.068972544,0.0
9,89.0,0.0,2.523725824,4.77464576,17.631289344,0.076660736,0.0
10,62.0,0.0,2.523725824,4.774805504,17.63180544,0.084299776,0.0
11,82.0,0.0,2.523725824,4.773556224,17.631547392,0.091947008,0.0
12,82.0,0.0,2.523725824,4.77380608,17.632063488,0.09961472,0.0
13,69.0,0.0,2.523725824,4.77360128,17.632321536,0.107216896,0.0
14,71.0,0.0,2.523725824,4.773863424,17.6305152,0.114896896,0.0
15,71.0,0.0,2.523725824,4.759371776,17.616809984,0.122548224,0.0
16,83.0,0.0,2.523725824,4.774146048,17.627508736,0.130183168,0.0
17,73.0,0.0,2.523725824,4.773834752,17.62963456,0.13789184,0.0
18,73.0,0.0,2.523725824,4.77241344,17.630408704,0.145559552,0.0
19,83.0,0.0,2.523725824,4.772786176,17.629892608,0.15321088,0.0
20,65.0,0.0,2.523725824,4.773453824,17.630408704,0.160886784,0.0
21,84.0,0.0,2.523725824,4.773875712,17.630666752,0.168521728,0.0
22,84.0,0.0,2.523725824,4.75774976,17.613893632,0.17614848,0.0
23,73.0,0.0,2.523725824,4.765249536,17.6195584,0.183816192,0.0
24,73.0,0.0,2.523725824,4.772999168,17.627557888,0.191434752,0.0
25,89.0,0.0,2.523725824,4.774068224,17.62859008,0.199036928,0.0
26,67.0,0.0,2.523725824,4.77263872,17.628848128,0.206671872,0.0
27,84.0,0.0,2.523725824,4.773625856,17.629364224,0.214274048,0.0
28,84.0,0.0,2.523725824,4.773535744,17.629364224,0.221892608,0.0
29,67.0,3453.8,2.523725824,4.773236736,17.629364224,0.229543936,0.0
30,83.0,0.0,2.523725824,4.773179392,17.629364224,0.237146112,0.0
31,83.0,0.0,2.523725824,4.772831232,17.630138368,0.24479744,0.0
32,68.0,0.0,2.523725824,4.773376,17.630396416,0.252276736,0.0
33,77.0,0.0,2.523725824,4.77253632,17.63039232,0.259964928,0.0
34,77.0,0.0,2.523725824,4.75762688,17.616191488,0.267599872,0.0
35,78.0,0.0,2.523725824,4.772900864,17.62689024,0.275308544,0.0
36,73.0,0.0,2.523725824,4.771651584,17.627922432,0.282976256,0.0
37,73.0,0.0,2.523725824,4.772052992,17.628438528,0.290676736,0.0
38,84.0,0.0,2.523725824,4.771385344,17.628696576,0.298274816,0.0
39,69.0,0.0,2.523725824,4.772220928,17.629212672,0.305942528,0.0
40,78.0,0.0,2.523725824,4.771221504,17.629179904,0.313593856,0.0
41,78.0,0.0,2.523725824,4.74875904,17.60647168,0.321294336,0.0
42,74.0,0.0,2.523725824,4.7642624,17.618968576,0.328962048,0.0
43,74.0,0.0,2.523725824,4.771786752,17.626710016,0.336633856,0.0
44,90.0,0.0,2.523725824,4.77243392,17.628000256,0.344240128,0.0
45,67.0,0.0,2.523725824,4.77186048,17.628258304,0.351850496,0.0
46,67.0,0.0,2.523725824,4.770328576,17.6287744,0.35948544,0.0
47,82.0,0.0,2.523725824,4.77175808,17.628884992,0.367128576,0.0
48,65.0,0.0,2.523725824,4.771930112,17.628884992,0.374706176,0.0
49,84.0,0.0,2.523725824,4.772102144,17.628884992,0.382390272,0.0
50,84.0,0.0,2.523725824,4.756221952,17.61429504,0.390057984,0.0
51,72.0,0.0,2.523725824,4.77149184,17.626165248,0.397725696,0.0
52,84.0,0.0,2.523725824,4.771885056,17.627713536,0.405430272,0.0
53,84.0,0.0,2.523725824,4.77046784,17.62848768,0.4130816,0.0
54,69.0,0.0,2.523725824,4.770963456,17.628745728,0.420765696,0.0
55,84.0,0.0,2.523725824,4.771270656,17.629261824,0.428384256,0.0
56,84.0,0.0,2.523725824,4.771749888,17.62977792,0.4360192,0.0
57,71.0,0.0,2.523725824,4.771373056,17.630294016,0.443686912,0.0
58,76.0,0.0,2.523725824,4.770844672,17.630294016,0.451387392,0.0
59,76.0,0.0,2.523725824,4.770516992,17.630035968,0.459005952,0.0
60,81.0,0.0,2.523725824,4.770803712,17.630035968,0.466673664,0.0
61,72.0,0.0,2.523725824,4.769918976,17.6300032,0.474374144,0.0
62,72.0,0.0,2.523725824,4.7710208,17.630261248,0.481910784,0.0
63,80.0,0.0,2.523725824,4.748111872,17.607036928,0.489525248,0.0
64,73.0,0.0,2.523725824,4.76340224,17.619017728,0.497139712,0.0
65,73.0,0.0,2.523725824,4.770889728,17.626243072,0.504659968,0.0
66,88.0,0.0,2.523725824,4.77083648,17.627533312,0.51232768,0.0
67,68.0,0.0,2.523725824,4.769681408,17.62779136,0.519938048,0.0
68,68.0,0.0,2.523725824,4.770050048,17.628307456,0.527548416,0.0
69,85.0,0.0,2.523725824,4.770660352,17.628823552,0.535207936,0.0
70,63.0,0.0,2.523725824,4.769898496,17.628823552,0.542875648,0.0
71,83.0,0.0,2.523725824,4.770050048,17.6290816,0.550486016,0.0
72,83.0,3385.4,2.523725824,4.770619392,17.6290816,0.558129152,0.0
73,67.0,0.0,2.523725824,4.769865728,17.6290816,0.565813248,0.0
74,84.0,0.0,2.523725824,4.770398208,17.6290816,0.57348096,0.0
75,84.0,0.0,2.523725824,4.768350208,17.6290816,0.58118144,0.0
76,71.0,0.0,2.523725824,4.7693824,17.629339648,0.588849152,0.0
77,81.0,0.0,2.523725824,4.755283968,17.61488896,0.596549632,0.0
78,81.0,0.0,2.523725824,4.770086912,17.626619904,0.604217344,0.0
79,75.0,0.0,2.523725824,4.769529856,17.627652096,0.611885056,0.0
80,76.0,0.0,2.523725824,4.753870848,17.6142336,0.619548672,0.0
81,76.0,0.0,2.523725824,4.768899072,17.62648064,0.627249152,0.0
82,82.0,0.0,2.523725824,4.768833536,17.627254784,0.634867712,0.0
83,76.0,0.0,2.523725824,4.76858368,17.62777088,0.642535424,0.0
84,76.0,0.0,2.523725824,4.769460224,17.628819456,0.650170368,0.0
85,80.0,0.0,2.523725824,4.752887808,17.614626816,0.657780736,0.0
86,73.0,0.0,2.523725824,4.768178176,17.62635776,0.665444352,0.0
87,73.0,0.0,2.523725824,4.76739584,17.627648,0.6730752,0.0
88,84.0,0.0,2.523725824,4.7691776,17.627906048,0.680710144,0.0
89,64.0,0.0,2.523725824,4.768927744,17.629712384,0.68839424,0.0
90,82.0,0.0,2.523725824,4.769144832,17.629970432,0.69605376,0.0
91,82.0,0.0,2.523725824,4.75312128,17.613197312,0.7035904,0.0
92,73.0,0.0,2.523725824,4.768305152,17.626345472,0.711217152,0.0
93,84.0,0.0,2.523725824,4.768395264,17.627373568,0.718884864,0.0
94,84.0,0.0,2.523725824,4.769263616,17.628147712,0.726511616,0.0
95,69.0,0.0,2.523725824,4.767768576,17.628663808,0.734212096,0.0
96,84.0,0.0,2.523725824,4.7685632,17.629179904,0.741879808,0.0
97,84.0,0.0,2.523725824,4.768657408,17.629179904,0.74958848,0.0
98,71.0,0.0,2.523725824,4.767223808,17.62885632,0.757215232,0.0
99,76.0,0.0,2.523725824,4.766777344,17.629372416,0.764858368,0.0
100,76.0,0.0,2.523725824,4.768718848,17.629372416,0.772489216,0.0
101,81.0,0.0,2.523725824,4.767350784,17.629372416,0.780136448,0.0
102,71.0,0.0,2.523725824,4.767883264,17.629888512,0.78780416,0.0
103,71.0,0.0,2.523725824,4.767449088,17.629888512,0.795435008,0.0
104,84.0,0.0,2.523725824,4.767875072,17.629888512,0.80308224,0.0
105,69.0,0.0,2.523725824,4.766420992,17.629892608,0.810774528,0.0
106,69.0,0.0,2.523725824,4.767715328,17.629892608,0.8183808,0.0
107,85.0,0.0,2.523725824,4.767547392,17.629892608,0.82608128,0.0
108,68.0,0.0,2.523725824,4.767424512,17.630150656,0.833695744,0.0
109,68.0,0.0,2.523725824,4.767612928,17.630408704,0.841363456,0.0
110,83.0,0.0,2.523725824,4.751204352,17.616216064,0.849031168,0.0
111,73.0,0.0,2.523725824,4.76647424,17.626140672,0.856645632,0.0
112,84.0,0.0,2.523725824,4.76547072,17.627430912,0.864301056,0.0
113,84.0,0.0,2.523725824,4.766408704,17.627947008,0.871968768,0.0
