step,phase,gpu_util,cpu_util,gpu_mem_gb,cpu_mem_gb,ram_gb,io_read_gb,io_write_gb
1,forward,14.0,0.0,2.2888448,4.749688832,17.633796096,0.014565376,0.0
1,backward,10.0,96.3,2.450325504,4.76921856,17.634926592,0.014999552,0.0
1,optimizer,27.0,98.2,2.485977088,4.775661568,17.634926592,0.015220736,0.0
2,forward,27.0,186.5,2.485977088,4.774785024,17.634152448,0.022892544,0.0
2,backward,27.0,104.6,2.523725824,4.774785024,17.634152448,0.022892544,0.0
2,optimizer,27.0,0.0,2.523725824,4.774785024,17.634152448,0.022892544,0.0
3,forward,53.0,200.3,2.523725824,4.767637504,17.625636864,0.030609408,0.0
3,backward,53.0,93.0,2.523725824,4.767637504,17.625894912,0.030609408,0.0
3,optimizer,53.0,511.8,2.523725824,4.767637504,17.625894912,0.030609408,0.0
4,forward,53.0,169.0,2.523725824,4.767985664,17.625120768,0.03827712,0.0
4,backward,73.0,105.2,2.523725824,4.767985664,17.625120768,0.03827712,0.0
4,optimizer,73.0,0.0,2.523725824,4.767985664,17.625120768,0.03827712,0.0
5,forward,73.0,171.2,2.523725824,4.775366656,17.630797824,0.0459776,0.0
5,backward,73.0,92.5,2.523725824,4.775366656,17.630797824,0.0459776,0.0
5,optimizer,73.0,0.0,2.523725824,4.775366656,17.630797824,0.0459776,0.0
6,forward,84.0,210.7,2.523725824,4.775047168,17.631055872,0.053645312,0.0
6,backward,84.0,94.3,2.523725824,4.775047168,17.631428608,0.053645312,0.0
6,optimizer,84.0,0.0,2.523725824,4.775047168,17.631428608,0.053645312,0.0
7,forward,61.0,179.1,2.523725824,4.759945216,17.61697792,0.061313024,0.0
7,backward,61.0,94.0,2.523725824,4.759945216,17.61697792,0.061313024,0.0
7,optimizer,61.0,0.0,2.523725824,4.759945216,17.61697792,0.061313024,0.0
8,forward,61.0,145.4,2.523725824,4.774969344,17.629999104,0.068972544,0.0
8,backward,89.0,94.0,2.523725824,4.774969344,17.629999104,0.068972544,0.0
8,optimizer,89.0,0.0,2.523725824,4.774969344,17.629999104,0.068972544,0.0
9,forward,89.0,202.1,2.523725824,4.77464576,17.631289344,0.076660736,0.0
9,backward,89.0,106.1,2.523725824,4.77464576,17.631289344,0.076660736,0.0
9,optimizer,89.0,0.0,2.523725824,4.77464576,17.631289344,0.076660736,0.0
10,forward,62.0,178.3,2.523725824,4.774805504,17.631547392,0.084299776,0.0
10,backward,62.0,93.6,2.523725824,4.774805504,17.63180544,0.084299776,0.0
10,optimizer,62.0,0.0,2.523725824,4.774805504,17.63180544,0.084299776,0.0
11,forward,62.0,197.3,2.523725824,4.773556224,17.631547392,0.091947008,0.0
11,backward,82.0,93.7,2.523725824,4.773556224,17.631547392,0.091947008,0.0
11,optimizer,82.0,0.0,2.523725824,4.773556224,17.631547392,0.091947008,0.0
12,forward,82.0,196.1,2.523725824,4.77380608,17.632063488,0.09961472,0.0
12,backward,82.0,105.8,2.523725824,4.77380608,17.632063488,0.09961472,0.0
12,optimizer,82.0,0.0,2.523725824,4.77380608,17.632063488,0.09961472,0.0
13,forward,69.0,204.5,2.523725824,4.77360128,17.632321536,0.107216896,0.0
13,backward,69.0,95.2,2.523725824,4.77360128,17.632321536,0.107216896,0.0
13,optimizer,69.0,0.0,2.523725824,4.77360128,17.632321536,0.107216896,0.0
14,forward,69.0,164.4,2.523725824,4.773863424,17.632579584,0.114896896,0.0
14,backward,71.0,105.7,2.523725824,4.773863424,17.6305152,0.114896896,0.0
14,optimizer,71.0,0.0,2.523725824,4.773863424,17.6305152,0.114896896,0.0
15,forward,71.0,164.7,2.523725824,4.759371776,17.616809984,0.122548224,0.0
15,backward,71.0,106.7,2.523725824,4.759371776,17.616809984,0.122548224,0.0
15,optimizer,71.0,0.0,2.523725824,4.759371776,17.616809984,0.122548224,0.0
16,forward,83.0,145.1,2.523725824,4.774146048,17.627250688,0.130183168,0.0
16,backward,83.0,93.7,2.523725824,4.774146048,17.627508736,0.130183168,0.0
16,optimizer,83.0,507.6,2.523725824,4.774146048,17.627508736,0.130183168,0.0
17,forward,83.0,166.5,2.523725824,4.773834752,17.628540928,0.13789184,0.0
17,backward,73.0,107.7,2.523725824,4.773834752,17.628798976,0.13789184,0.0
17,optimizer,73.0,0.0,2.523725824,4.773834752,17.62963456,0.13789184,0.0
18,forward,73.0,167.5,2.523725824,4.77241344,17.630408704,0.145559552,0.0
18,backward,73.0,92.5,2.523725824,4.77241344,17.630408704,0.145559552,0.0
18,optimizer,73.0,0.0,2.523725824,4.77241344,17.630408704,0.145559552,0.0
19,forward,83.0,193.1,2.523725824,4.772786176,17.629892608,0.15321088,0.0
19,backward,83.0,92.4,2.523725824,4.772786176,17.629892608,0.15321088,0.0
19,optimizer,83.0,0.0,2.523725824,4.772786176,17.629892608,0.15321088,0.0
20,forward,83.0,194.7,2.523725824,4.773453824,17.630150656,0.160886784,0.0
20,backward,65.0,92.4,2.523725824,4.773453824,17.630408704,0.160886784,0.0
20,optimizer,65.0,0.0,2.523725824,4.773453824,17.630408704,0.160886784,0.0
21,forward,65.0,187.6,2.523725824,4.773875712,17.630666752,0.168521728,0.0
21,backward,84.0,92.3,2.523725824,4.773875712,17.630666752,0.168521728,0.0
21,optimizer,84.0,0.0,2.523725824,4.773875712,17.630666752,0.168521728,0.0
22,forward,84.0,177.7,2.523725824,4.75774976,17.613893632,0.17614848,0.0
22,backward,84.0,105.5,2.523725824,4.75774976,17.613893632,0.17614848,0.0
22,optimizer,84.0,512.7,2.523725824,4.75774976,17.613893632,0.17614848,0.0
23,forward,84.0,126.2,2.523725824,4.765249536,17.6195584,0.183816192,0.0
23,backward,73.0,92.7,2.523725824,4.765249536,17.6195584,0.183816192,0.0
23,optimizer,73.0,509.5,2.523725824,4.765249536,17.6195584,0.183816192,0.0
24,forward,73.0,148.3,2.523725824,4.772999168,17.62729984,0.191434752,0.0
24,backward,73.0,93.8,2.523725824,4.772999168,17.627557888,0.191434752,0.0
24,optimizer,73.0,0.0,2.523725824,4.772999168,17.627557888,0.191434752,0.0
25,forward,89.0,170.3,2.523725824,4.774068224,17.62859008,0.199036928,0.0
25,backward,89.0,107.1,2.523725824,4.774068224,17.62859008,0.199036928,0.0
25,optimizer,89.0,0.0,2.523725824,4.774068224,17.62859008,0.199036928,0.0
26,forward,89.0,177.0,2.523725824,4.77263872,17.628848128,0.206671872,0.0
26,backward,67.0,93.6,2.523725824,4.77263872,17.628848128,0.206671872,0.0
26,optimizer,67.0,515.4,2.523725824,4.77263872,17.628848128,0.206671872,0.0
27,forward,67.0,156.3,2.523725824,4.773625856,17.629364224,0.214274048,0.0
27,backward,84.0,105.2,2.523725824,4.773625856,17.629364224,0.214274048,0.0
27,optimizer,84.0,0.0,2.523725824,4.773625856,17.629364224,0.214274048,0.0
28,forward,84.0,184.5,2.523725824,4.773535744,17.629364224,0.221892608,0.0
28,backward,84.0,106.5,2.523725824,4.773535744,17.629364224,0.221892608,0.0
28,optimizer,84.0,0.0,2.523725824,4.773535744,17.629364224,0.221892608,0.0
29,forward,67.0,165.2,2.523725824,4.773236736,17.629364224,0.229543936,0.0
29,backward,67.0,106.2,2.523725824,4.773236736,17.629364224,0.229543936,0.0
29,optimizer,67.0,0.0,2.523725824,4.773236736,17.629364224,0.229543936,0.0
30,forward,67.0,152.9,2.523725824,4.773179392,17.629364224,0.237146112,0.0
30,backward,83.0,94.3,2.523725824,4.773179392,17.629364224,0.237146112,0.0
30,optimizer,83.0,514.9,2.523725824,4.773179392,17.629364224,0.237146112,0.0
31,forward,83.0,196.9,2.523725824,4.772831232,17.630138368,0.24479744,0.0
31,backward,83.0,92.2,2.523725824,4.772831232,17.630138368,0.24479744,0.0
31,optimizer,83.0,509.3,2.523725824,4.772831232,17.630138368,0.24479744,0.0
