step,gpu_util_pct,gpu_mem_util_pct,gpu_power_w,gpu_mem_alloc_mb,gpu_mem_reserved_mb,cpu_util_pct,cpu_mem_mb,disk_read_mb,disk_write_mb
1,0.0,0.0,27.501,32.06396484375,52.0,298.0,931.6015625,0.0,0.0
2,17.0,6.0,36.722,138.91650390625,1570.0,102.4,1330.21484375,0.0,0.0
3,17.0,6.0,43.727,138.04150390625,1606.0,135.5,1330.21875,0.0,0.0
4,58.0,25.0,70.014,138.04150390625,1606.0,143.2,1330.13671875,0.0,0.0
5,95.0,40.0,81.867,138.04150390625,1606.0,127.0,1337.3203125,0.0,0.0
6,95.0,40.0,128.738,138.04150390625,1606.0,135.4,1344.5078125,0.0,0.0
7,96.0,40.0,138.872,138.04150390625,1606.0,136.4,1352.234375,0.0,0.0
8,97.0,40.0,156.547,138.04150390625,1606.0,128.2,1352.45703125,0.0,0.0
9,97.0,40.0,170.529,138.04150390625,1606.0,137.2,1337.94921875,0.0,0.0
10,97.0,41.0,184.598,138.04150390625,1606.0,137.6,1337.94921875,0.0,0.0
11,97.0,41.0,198.431,138.04150390625,1606.0,126.5,1345.11328125,0.0,0.0
12,96.0,40.0,207.073,138.04150390625,1606.0,137.6,1345.11328125,0.0,0.0
13,96.0,40.0,210.81,138.04150390625,1606.0,126.2,1352.55078125,0.0,0.0
14,96.0,40.0,217.172,138.04150390625,1606.0,138.0,1352.55078125,0.0,0.0
15,96.0,40.0,217.531,138.04150390625,1606.0,127.5,1352.7890625,0.0,0.0
16,97.0,41.0,218.148,138.04150390625,1606.0,128.1,1352.7890625,0.0,0.0
17,97.0,41.0,217.593,138.04150390625,1606.0,135.9,1338.3125,0.0,0.0
18,98.0,40.0,217.587,138.04150390625,1606.0,126.5,1345.25,0.0,0.0
19,96.0,40.0,218.026,138.04150390625,1606.0,134.6,1352.72265625,0.0,0.0
20,96.0,40.0,217.355,138.04150390625,1606.0,137.8,1352.72265625,0.0,0.0
21,96.0,40.0,217.189,138.04150390625,1606.0,125.9,1338.25,0.0,0.0
22,96.0,40.0,217.152,138.04150390625,1606.0,135.3,1338.72265625,0.0,0.0
23,96.0,40.0,216.758,138.04150390625,1606.0,137.0,1338.86328125,0.0,0.0
24,96.0,40.0,216.715,138.04150390625,1606.0,127.8,1338.86328125,0.0,0.0
25,97.0,40.0,217.07,138.04150390625,1606.0,128.6,1338.9375,0.0,0.0
26,97.0,40.0,217.38,138.04150390625,1606.0,133.1,1345.5546875,0.0,0.0
27,97.0,40.0,217.358,138.04150390625,1606.0,137.8,1345.69140625,0.0,0.0
28,98.0,40.0,217.276,138.04150390625,1606.0,127.8,1345.69140625,0.0,0.0
29,98.0,40.0,217.019,138.04150390625,1606.0,127.8,1331.24609375,0.0,0.0
30,97.0,40.0,217.763,138.04150390625,1606.0,134.6,1338.40625,0.0,0.0
31,97.0,40.0,218.002,138.04150390625,1606.0,138.0,1338.40625,0.0,0.0
32,96.0,40.0,218.16,138.04150390625,1606.0,134.6,1345.90625,0.0,0.0
33,96.0,40.0,218.734,138.04150390625,1606.0,128.9,1345.90625,0.0,0.0
34,97.0,40.0,218.748,138.04150390625,1606.0,134.8,1353.30859375,0.0,0.0
35,97.0,40.0,218.749,138.04150390625,1606.0,128.7,1353.52734375,0.0,0.0
36,96.0,40.0,218.601,138.04150390625,1606.0,135.7,1339.0390625,0.0,0.0
37,96.0,40.0,219.271,138.04150390625,1606.0,128.9,1339.0390625,0.0,0.0
38,98.0,40.0,219.441,138.04150390625,1606.0,134.8,1346.46875,0.0,0.0
39,96.0,40.0,219.328,138.04150390625,1606.0,129.0,1346.46875,0.0,0.0
40,96.0,40.0,219.359,138.04150390625,1606.0,133.5,1332.23828125,0.0,0.0
41,96.0,40.0,219.355,138.04150390625,1606.0,135.8,1338.921875,0.0,0.0
42,96.0,40.0,219.255,138.04150390625,1606.0,136.4,1338.921875,0.0,0.0
43,96.0,40.0,219.198,138.04150390625,1606.0,128.8,1339.11328125,0.0,0.0
44,96.0,40.0,219.28,138.04150390625,1606.0,127.7,1339.11328125,0.0,0.0
45,97.0,40.0,219.57,138.04150390625,1606.0,135.5,1346.19921875,0.0,0.0
46,97.0,40.0,219.225,138.04150390625,1606.0,134.9,1346.96484375,0.0,0.0
47,97.0,40.0,219.044,138.04150390625,1606.0,127.2,1347.00390625,0.0,0.0
48,97.0,39.0,218.728,138.04150390625,1606.0,136.8,1347.00390625,0.0,0.0
49,97.0,39.0,219.077,138.04150390625,1606.0,137.9,1347.08984375,0.0,0.0
50,97.0,41.0,219.03,138.04150390625,1606.0,125.8,1353.9140625,0.0,0.0
51,97.0,41.0,219.208,138.04150390625,1606.0,137.5,1354.0390625,0.0,0.0
52,96.0,40.0,219.334,138.04150390625,1606.0,125.8,1339.51953125,0.0,0.0
53,96.0,40.0,219.168,138.04150390625,1606.0,137.6,1339.51953125,0.0,0.0
54,97.0,40.0,219.049,138.04150390625,1606.0,125.1,1346.8828125,0.0,0.0
55,97.0,40.0,218.448,138.04150390625,1606.0,137.1,1346.8828125,0.0,0.0
56,96.0,40.0,218.664,138.04150390625,1606.0,135.6,1347.01953125,0.0,0.0
57,96.0,40.0,218.733,138.04150390625,1606.0,127.8,1347.0234375,0.0,0.0
58,98.0,40.0,218.678,138.04150390625,1606.0,127.0,1347.0234375,0.0,0.0
59,97.0,40.0,218.53,138.04150390625,1606.0,134.8,1354.34765625,0.0,0.0
60,97.0,40.0,218.107,138.04150390625,1606.0,136.1,1354.34765625,0.0,0.0
61,96.0,40.0,217.917,138.04150390625,1606.0,127.8,1354.34765625,0.0,0.0
62,96.0,40.0,217.84,138.04150390625,1606.0,125.9,1339.9140625,0.0,0.0
63,97.0,40.0,217.835,138.04150390625,1606.0,134.3,1340.46484375,0.0,0.0
64,97.0,40.0,217.019,138.04150390625,1606.0,133.5,1347.2109375,0.0,0.0
65,95.0,40.0,217.092,138.04150390625,1606.0,136.2,1347.2109375,0.0,0.0
66,95.0,40.0,217.714,138.04150390625,1606.0,128.5,1347.2109375,0.0,0.0
67,98.0,40.0,217.542,138.04150390625,1606.0,127.7,1347.3515625,0.0,0.0
68,97.0,40.0,217.939,138.04150390625,1606.0,127.6,1347.3515625,0.0,0.0
69,97.0,40.0,217.537,138.04150390625,1606.0,136.0,1347.3515625,0.0,0.0
70,97.0,40.0,218.06,138.04150390625,1606.0,134.2,1333.37890625,0.0,0.0
71,97.0,40.0,217.779,138.04150390625,1606.0,133.9,1340.1796875,0.0,0.0
72,95.0,40.0,217.6,138.04150390625,1606.0,127.9,1340.1796875,0.0,0.0
73,95.0,40.0,217.615,138.04150390625,1606.0,135.9,1340.1796875,0.0,0.0
74,97.0,40.0,217.563,138.04150390625,1606.0,134.5,1347.35546875,0.0,0.0
75,97.0,40.0,217.907,138.04150390625,1606.0,136.1,1347.6015625,0.0,0.0
76,98.0,40.0,217.927,138.04150390625,1606.0,127.4,1347.6015625,0.0,0.0
77,97.0,40.0,217.598,138.04150390625,1606.0,126.3,1347.71484375,0.0,0.0
